domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
AspireTVAPsurvey.acf.gov,Yes,Yes,2,1,2026-02-09T00:00:00,2027-02-09T23:59:59,24291118787;24291118243,"C=CA, O=Entrust Limited, CN=Entrust DV TLS Issuing RSA CA 2"
acf-main-dev.acf.gov,Yes,Yes,1,1,2025-11-29T00:00:00,2026-12-28T23:59:59,22796464841,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
acf-main-pre-prod.acf.gov,Yes,Yes,1,1,2025-11-29T00:00:00,2026-12-28T23:59:59,22795721723,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
acf-main-test.acf.gov,Yes,Yes,1,1,2025-11-29T00:00:00,2026-12-28T23:59:59,22796738807,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
acf.gov,Yes,Yes,6,3,2025-11-28T00:00:00,2027-01-29T23:59:59,24949899701;24949899065;23467854162;22775598773;23467870894;24536525757,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA DV R36;C=US, O=Amazon, CN=Amazon RSA 2048 M01"
atims-dev.acf.gov,Yes,Yes,3,1,2025-05-05T00:00:00,2026-10-19T23:59:59,18242130376;19510461034;25406256363,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
atims-pre-prod.acf.gov,Yes,Yes,1,1,2025-07-16T00:00:00,2026-08-14T23:59:59,19716836932,"C=US, O=Amazon, CN=Amazon RSA 2048 M03"
atims-test.acf.gov,Yes,Yes,1,1,2025-07-16T00:00:00,2026-08-14T23:59:59,19715835716,"C=US, O=Amazon, CN=Amazon RSA 2048 M02"
atims.acf.gov,Yes,Yes,2,1,2025-07-31T00:00:00,2026-08-29T23:59:59,20020289093;20020983863,"C=US, O=Amazon, CN=Amazon RSA 2048 M02"
bitwarden.acf.gov,Yes,Yes,1,1,2025-05-17T00:00:00,2026-06-15T23:59:59,18465942356,"C=US, O=Amazon, CN=Amazon RSA 2048 M02"
blah.acf.gov,Yes,Yes,2,1,2026-02-02T00:00:00,2026-05-03T23:59:59,24140825624;24140825895,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
card-id.acf.gov,Yes,Yes,4,2,2025-07-16T00:00:00,2026-08-14T23:59:59,19736768963;19736756079;19736756080;19714955170,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
childcare-dev.acf.gov,Yes,Yes,2,1,2025-12-25T00:00:00,2027-01-23T23:59:59,23352607722;23351620143,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
childcare-pre-prod.acf.gov,Yes,Yes,1,1,2026-01-25T00:00:00,2027-02-23T23:59:59,23964889002,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
childcare-test.acf.gov,Yes,Yes,2,1,2026-01-27T00:00:00,2027-02-25T23:59:59,24005828784;24004673214,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
childcare.acf.gov,Yes,Yes,2,1,2026-01-26T00:00:00,2027-02-24T23:59:59,23982203184;23981178494,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
collaboration.acf.gov,Yes,Yes,2,1,2026-01-15T00:00:00,2027-01-25T23:59:59,23775441895;23775440813,"C=CA, O=Entrust Limited, CN=Entrust DV TLS Issuing RSA CA 2"
collaborationoffice.acf.gov,Yes,Yes,2,1,2026-01-15T00:00:00,2027-01-15T23:59:59,23783327641;23783327749,"C=CA, O=Entrust Limited, CN=Entrust DV TLS Issuing RSA CA 2"
confluence.acf.gov,Yes,Yes,2,1,2026-01-12T00:00:00,2027-02-10T23:59:59,23713403264;23713753210,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
connect-dev.acf.gov,Yes,Yes,2,1,2025-12-06T00:00:00,2027-01-04T23:59:59,22920254820;22918658439,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
connect-pre-prod.acf.gov,Yes,Yes,2,1,2025-12-25T00:00:00,2027-01-23T23:59:59,23351491863;23352605360,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
connect-test.acf.gov,Yes,Yes,2,1,2025-11-06T00:00:00,2026-12-05T23:59:59,22241956835;22243368375,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
connect.acf.gov,Yes,Yes,2,1,2025-12-25T00:00:00,2027-01-23T23:59:59,23350474230;23351757115,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
core-dev.acf.gov,Yes,Yes,8,2,2026-03-18T00:00:00,2026-10-08T23:59:59,25073305107;25214350614;25214353856;25073305631;25218590071;25073305283;25073304870;25073305455,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
credal-dev.acf.gov,Yes,Yes,1,1,2025-11-07T00:00:00,2026-12-06T23:59:59,22271876357,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
credal.acf.gov,Yes,Yes,1,1,2025-11-29T00:00:00,2026-12-28T23:59:59,22796128418,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
csbgpm.acf.gov,Yes,Yes,3,2,2025-05-15T20:24:49,2027-02-25T23:59:59,24639881473;24639881833;18428830746,"C=CA, O=Entrust Limited, CN=Entrust DV TLS Issuing RSA CA 2;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
csfeer-dev.acf.gov,Yes,Yes,1,1,2026-03-24T00:00:00,2026-10-07T23:59:59,25198706818,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
cwpm.acf.gov,Yes,Yes,4,2,2025-04-25T17:28:58,2027-04-04T23:59:59,18059630269;24787486313;24787462772;24787462811,"C=CA, O=Entrust Limited, CN=Entrust DV TLS Issuing RSA CA 2;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
dart-dev.acf.gov,Yes,Yes,2,1,2025-05-07T00:00:00,2026-06-06T23:59:59,18261289737;18262425667,"C=US, O=Amazon, CN=Amazon RSA 2048 M02"
dart-pre-prod.acf.gov,Yes,Yes,1,1,2025-05-29T00:00:00,2026-06-27T23:59:59,18683702579,"C=US, O=Amazon, CN=Amazon RSA 2048 M03"
dart-test.acf.gov,Yes,Yes,2,1,2025-05-26T00:00:00,2026-06-24T23:59:59,18627708947;18627061480,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
dart.acf.gov,Yes,Yes,1,1,2025-05-31T00:00:00,2026-06-29T23:59:59,18722781370,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
dev-ncsacw-website-cms.acf.gov,Yes,Yes,3,2,2025-06-11T00:00:00,2026-07-10T23:59:59,18959112113;18957071791;18958473855,"C=US, O=Amazon, CN=Amazon RSA 2048 M03;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
estimator.rads-dev.acf.gov,Yes,Yes,1,1,2025-05-09T00:00:00,2026-06-07T23:59:59,18308977700,"C=US, O=Amazon, CN=Amazon RSA 2048 M02"
filecloud.acf.gov,Yes,Yes,1,1,2025-09-03T00:00:00,2026-10-02T23:59:59,20756105888,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
gitlab-zpa.acf.gov,Yes,Yes,5,2,2026-02-20T00:00:00,2027-03-26T23:59:59,24536601122;24623847328;24536764849;24623847385;24536783164,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
gitlab18-zpa.management.acf.gov,No,Yes,1,1,2026-02-24T00:00:00,2026-09-09T23:59:59,24624769727,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
gitlab18.management.acf.gov,Yes,Yes,3,2,2025-12-03T00:00:00,2027-01-01T23:59:59,24624769727;22877719603;22877719611,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
go.acf.gov,Yes,Yes,2,1,2026-02-20T20:02:12,2026-05-21T20:02:11,24540994110;24541013843,"C=US, O=Let's Encrypt, CN=R13"
grantsperformance-dev.otip.acf.gov,Yes,Yes,2,1,2025-07-07T00:00:00,2026-08-05T23:59:59,19510486135;19510446548,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
grantsperformance-pre-prod.otip.acf.gov,Yes,Yes,2,1,2025-07-16T00:00:00,2026-08-14T23:59:59,19718174935;19716817736,"C=US, O=Amazon, CN=Amazon RSA 2048 M02"
grantsperformance-test.otip.acf.gov,Yes,Yes,2,1,2025-07-16T00:00:00,2026-08-14T23:59:59,19717280386;19715815618,"C=US, O=Amazon, CN=Amazon RSA 2048 M02"
grantsperformance.otip.acf.gov,Yes,Yes,1,1,2025-07-31T00:00:00,2026-08-29T23:59:59,20020288492,"C=US, O=Amazon, CN=Amazon RSA 2048 M02"
help.acf.gov,Yes,Yes,2,1,2026-02-11T23:48:20,2026-05-12T23:48:19,24345554609;24345549517,"C=US, O=Let's Encrypt, CN=R13"
homvee-dev.acf.gov,Yes,Yes,4,2,2025-03-21T00:00:00,2026-09-05T23:59:59,17281501955;24526289526;17283473720;24525336220,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
homvee-pre-prod.acf.gov,Yes,Yes,4,2,2025-04-08T00:00:00,2026-09-22T23:59:59,17726676614;24869636851;24869645432;24870615986,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
homvee-test.acf.gov,Yes,Yes,4,2,2025-04-08T00:00:00,2026-09-22T23:59:59,17726374981;24868809354;24869762567;17725121313,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
homvee.acf.gov,Yes,Yes,4,2,2025-04-24T00:00:00,2026-10-08T23:59:59,25212209604;25202985105;18042643338;25202966917,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
horizon.acf.gov,Yes,Yes,2,1,2025-08-25T00:00:00,2026-08-24T23:59:59,20573833357;20573833687,"C=CA, O=Entrust Limited, CN=Entrust DV TLS Issuing RSA CA 2"
internal-test.tags.acf.gov,Yes,Yes,2,1,2026-03-29T00:00:00,2026-10-12T23:59:59,25272384566;25277763518,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
internal-test.teenpregnancy.acf.gov,Yes,Yes,2,1,2026-03-29T00:00:00,2026-10-12T23:59:59,25269245652;25275262570,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
internal-test.wethinktwice.acf.gov,Yes,Yes,2,1,2026-03-29T00:00:00,2026-10-12T23:59:59,25275183679;25270799768,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
jira.acf.gov,Yes,Yes,2,1,2026-01-03T00:00:00,2027-02-01T23:59:59,23524146887;23524584336,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
jupyterlab.dart-dev.acf.gov,Yes,Yes,1,1,2025-10-07T00:00:00,2026-11-05T23:59:59,21551027017,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
keycloak.dart-dev.acf.gov,Yes,Yes,4,1,2025-04-28T00:00:00,2026-10-12T23:59:59,18113514656;25275810730;25319305426;25269993407,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
keycloak.dart-pre-prod.acf.gov,Yes,Yes,4,2,2025-04-23T00:00:00,2026-10-07T23:59:59,25186122882;25186105427;18022442220;25202166393,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Amazon, CN=Amazon RSA 2048 M03"
keycloak.dart-test.acf.gov,Yes,Yes,3,1,2025-05-02T00:00:00,2026-10-16T23:59:59,18183315455;25335544875;25334345643,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
keycloak.dart.acf.gov,Yes,Yes,3,1,2025-05-07T00:00:00,2026-10-21T23:59:59,18272906082;25387583438;25424422551,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
liheapch.acf.gov,No,Yes,3,2,2025-05-15T20:27:18,2027-04-06T23:59:59,18428863430;24824399257;24824399198,"C=CA, O=Entrust Limited, CN=Entrust DV TLS Issuing RSA CA 2;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
liheapch.acf.hhs.gov,Yes,No,3,2,2025-05-15T20:27:18,2027-04-06T23:59:59,18428863430;24824399257;24824399198,"C=CA, O=Entrust Limited, CN=Entrust DV TLS Issuing RSA CA 2;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
liheappm.acf.gov,Yes,Yes,3,2,2025-05-15T20:22:46,2027-04-06T23:59:59,24824377736;24824378755;18428797832,"C=CA, O=Entrust Limited, CN=Entrust DV TLS Issuing RSA CA 2;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
login-sbx.acf.gov,Yes,Yes,5,1,2026-02-10T21:02:59,2026-07-13T01:03:30,24974579735;24318938062;24974549187;24318958356;25513593007,"C=US, O=Let's Encrypt, CN=R13"
login.acf.gov,Yes,Yes,6,2,2026-01-25T17:03:00,2026-06-27T01:02:58,24648320549;24648297534;25275356601;23974889446;25340501359;23974907202,"C=US, O=Let's Encrypt, CN=R13;C=US, O=Let's Encrypt, CN=R12"
management.acf.gov,Yes,Yes,3,2,2025-04-25T00:00:00,2026-10-10T23:59:59,25245685085;18049003773;22877751462,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
mft.acf.gov,Yes,Yes,2,1,2025-11-11T00:00:00,2026-12-10T23:59:59,22380496642;22379051296,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
ncsacw-dev-static.acf.gov,Yes,Yes,4,3,2025-07-01T00:00:00,2026-08-25T23:59:59,19378455496;19905407097;19909082385;19942079341,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Amazon, CN=Amazon RSA 2048 M03;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
ncsacw-dev.acf.gov,Yes,Yes,3,2,2025-05-05T00:00:00,2026-10-19T23:59:59,25395670559;18958119700;18237315699,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
ncsacw-pre-prod.acf.gov,Yes,Yes,3,2,2025-07-22T00:00:00,2026-08-25T23:59:59,19899499416;19942312432;19840511617,"C=US, O=Amazon, CN=Amazon RSA 2048 M03;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
ncsacw-ta.acf.gov,Yes,Yes,1,1,2025-07-07T00:00:00,2026-08-05T23:59:59,19512676637,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
ncsacw-test-static.acf.gov,Yes,Yes,4,3,2025-07-18T00:00:00,2026-08-25T23:59:59,19942202395;19910675510;19760814305;19762804813,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Amazon, CN=Amazon RSA 2048 M03;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
ncsacw-test.acf.gov,Yes,Yes,3,1,2025-05-05T00:00:00,2026-10-19T23:59:59,25394936864;25357193713;18237447484,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
ncsacw-tutorials.acf.gov,Yes,Yes,1,1,2025-08-26T00:00:00,2026-09-24T23:59:59,20589328880,"C=US, O=Amazon, CN=Amazon RSA 2048 M02"
ncsacw.acf.gov,Yes,Yes,3,2,2025-07-23T00:00:00,2026-08-25T23:59:59,19942418404;19854722514;19901402675,"C=US, O=Amazon, CN=Amazon RSA 2048 M03;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
nct-dev.acf.gov,Yes,Yes,4,1,2025-04-01T00:00:00,2026-09-15T23:59:59,24728530107;17564356793;24729562513;24728540696,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
nct-pre-prod.acf.gov,Yes,Yes,2,1,2025-06-18T00:00:00,2026-07-17T23:59:59,19101524102;19102738081,"C=US, O=Amazon, CN=Amazon RSA 2048 M02"
nct-test.acf.gov,Yes,Yes,4,2,2025-04-01T00:00:00,2026-09-15T23:59:59,24729846539;24730902160;24729854568;17565240470,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
nct.acf.gov,Yes,Yes,3,2,2025-06-27T00:00:00,2026-07-29T23:59:59,19290874862;19354085702;19291872477,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Amazon, CN=Amazon RSA 2048 M03"
ncta-dev.acf.gov,Yes,Yes,2,2,2025-05-12T00:00:00,2026-10-26T23:59:59,18364240071;25506245670,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
ncta-pre-prod.acf.gov,Yes,Yes,2,1,2025-06-18T00:00:00,2026-07-17T23:59:59,19101523882;19102737699,"C=US, O=Amazon, CN=Amazon RSA 2048 M03"
ncta-test.acf.gov,Yes,Yes,3,2,2025-05-12T00:00:00,2026-10-26T23:59:59,18364333079;25491280586;25463258422,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
nctm-dev.acf.gov,Yes,Yes,5,2,2025-04-15T00:00:00,2026-09-29T23:59:59,17868291353;17863792077;25015446141;25015460967;25016414978,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
nctm-pre-prod.acf.gov,Yes,Yes,1,1,2025-07-08T00:00:00,2026-08-06T23:59:59,19532664609,"C=US, O=Amazon, CN=Amazon RSA 2048 M03"
nctm-test.acf.gov,Yes,Yes,3,2,2025-06-24T00:00:00,2026-08-16T23:59:59,19741809378;19232350014;19747594917,"C=US, O=Amazon, CN=Amazon RSA 2048 M03;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
nctm.acf.gov,Yes,Yes,1,1,2025-07-16T00:00:00,2026-08-14T23:59:59,19711889741,"C=US, O=Amazon, CN=Amazon RSA 2048 M03"
ncw-dev.acf.gov,No,Yes,4,3,2025-04-01T00:00:00,2026-08-25T23:59:59,19905407097;17564210882;19909082385;19942079341,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Amazon, CN=Amazon RSA 2048 M03;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
ncw-pre-prod.acf.gov,No,Yes,2,2,2025-07-22T00:00:00,2026-08-25T23:59:59,19840511298;19942312432,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
ncw-test.acf.gov,No,Yes,3,2,2025-04-01T00:00:00,2026-08-25T23:59:59,19942202395;19910675510;17564300017,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
ncw.acf.gov,No,Yes,2,2,2025-07-23T00:00:00,2026-08-25T23:59:59,19854722598;19942418404,"C=US, O=Amazon, CN=Amazon RSA 2048 M03;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
nexus-dev.acf.gov,No,Yes,2,1,2025-07-29T00:00:00,2026-07-29T23:59:59,19989943321;19989943087,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
nexus-test.acf.gov,No,Yes,2,1,2025-07-29T00:00:00,2026-07-29T23:59:59,19989943321;19989943087,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
nexus.acf.gov,Yes,Yes,2,1,2025-07-29T00:00:00,2026-07-29T23:59:59,19989943321;19989943087,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
nytd-services.acf.gov,Yes,Yes,2,2,2025-12-31T00:00:00,2027-01-31T23:59:59,23481034149;23517447524,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Amazon, CN=Amazon RSA 2048 M01"
occms-dev.acf.gov,Yes,Yes,8,3,2025-04-07T00:00:00,2026-09-28T23:59:59,17847985459;17849000379;17842661155;24995807409;17848558289;17847974125;17699220603;24995785805,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Amazon, CN=Amazon RSA 2048 M03;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
occms-pre-prod.acf.gov,Yes,Yes,2,1,2025-07-11T00:00:00,2026-08-09T23:59:59,19594392668;19595523630,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
occms-test.acf.gov,Yes,Yes,2,1,2025-07-10T00:00:00,2026-08-08T23:59:59,19573865045;19573420405,"C=US, O=Amazon, CN=Amazon RSA 2048 M03"
occms.acf.gov,Yes,Yes,1,1,2025-07-11T00:00:00,2026-08-09T23:59:59,19594452170,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
ocssf.acf.gov,Yes,Yes,4,2,2025-04-06T00:00:00,2026-09-20T23:59:59,24830739457;24829968705;17665227526;17663780097,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Amazon, CN=Amazon RSA 2048 M03"
operations.acf.gov,Yes,Yes,1,1,2025-08-15T00:00:00,2026-09-13T23:59:59,20341577531,"C=US, O=Amazon, CN=Amazon RSA 2048 M03"
opremethodsmeeting-dev.acf.gov,Yes,Yes,1,1,2025-11-06T00:00:00,2026-12-05T23:59:59,22245246101,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
ops.opre.acf.gov,Yes,Yes,4,1,2026-03-22T21:32:45,2026-06-20T21:52:02,25159230914;25159230517;25159437272;25159450259,"C=US, O=Let's Encrypt, CN=R13"
pages.management.acf.gov,Yes,Yes,1,1,2025-07-20T00:00:00,2026-08-18T23:59:59,19796610686,"C=US, O=Amazon, CN=Amazon RSA 2048 M03"
pathwaystowork-dev.acf.gov,Yes,Yes,2,1,2026-01-21T00:00:00,2027-02-19T23:59:59,23890858859;23892090816,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
pathwaystowork-pre-prod.acf.gov,Yes,Yes,2,1,2026-01-28T00:00:00,2027-02-26T23:59:59,24025769716;24024404488,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
pathwaystowork-test.acf.gov,Yes,Yes,1,1,2026-01-21T00:00:00,2027-02-19T23:59:59,23890678556,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
pathwaystowork.acf.gov,Yes,Yes,2,1,2026-01-28T00:00:00,2027-02-26T23:59:59,24026616758;24024941556,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
pexipedge.acf.gov,Yes,Yes,3,2,2025-05-29T17:16:39,2026-05-29T23:59:59,18693803605;18940167774;18940167637,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
preprodradsidp.acf.gov,Yes,Yes,2,1,2025-07-15T00:00:00,2026-08-13T23:59:59,19676383679;19674188231,"C=US, O=Amazon, CN=Amazon RSA 2048 M03"
rads-dev.acf.gov,Yes,Yes,3,3,2025-04-14T00:00:00,2026-10-29T23:59:59,18428695095;25526426536;17847781979,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M03;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
rads-pre-prod.acf.gov,Yes,Yes,3,1,2025-04-14T00:00:00,2026-07-22T23:59:59,19204915349;19203740529;17848409213,"C=US, O=Amazon, CN=Amazon RSA 2048 M03"
rads-test.acf.gov,Yes,Yes,2,2,2025-04-14T00:00:00,2026-06-20T23:59:59,18560264990;17848303783,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Amazon, CN=Amazon RSA 2048 M03"
rads.acf.gov,Yes,Yes,2,2,2025-04-14T00:00:00,2026-08-26T23:59:59,19956004712;17848477388,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
radsidp.acf.gov,Yes,Yes,1,1,2025-07-28T00:00:00,2026-08-26T23:59:59,19956002184,"C=US, O=Amazon, CN=Amazon RSA 2048 M02"
recipients.acf.gov,Yes,Yes,2,1,2026-02-17T00:00:00,2027-02-17T23:59:59,24471781424;24471779167,"C=CA, O=Entrust Limited, CN=Entrust DV TLS Issuing RSA CA 2"
