domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
2026test.census.gov,Yes,Yes,2,2,2025-06-26T19:47:42,2025-09-24T20:47:48,19273909105;19273909373,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
7a902a91.sni.cloudflaressl.com,Yes,No,3,2,2025-04-03T19:20:17,2025-07-02T20:20:24,17652234427;17611417077;17612664005,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
access.census.gov,Yes,Yes,9,5,2025-04-30T18:39:26,2026-05-08T23:59:59,18310069522;18150809541;18150808708;18940672148;18150297547;18310070883;18150316774;18951712723;18940685764,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1;C=US, O=""CLOUDFLARE, INC."", CN=Cloudflare TLS Issuing RSA CA 1;C=US, O=""CLOUDFLARE, INC."", CN=Cloudflare TLS Issuing ECC CA 1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
access.stage.census.gov,Yes,Yes,1,1,2024-10-25T00:00:00,2025-10-24T23:59:59,15077522439,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
accesscallback.census.gov,Yes,Yes,3,1,2024-07-24T00:00:00,2025-09-16T23:59:59,14587965806;13871180324;14588012813,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
accesscallbackdev.census.gov,Yes,Yes,3,1,2024-07-24T00:00:00,2025-09-17T23:59:59,13870953406;14597179023;14033944280,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
adfs.census.gov,Yes,Yes,2,1,2025-01-10T00:00:00,2026-01-28T23:59:59,16139228297;16450902015,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
adfslab.vlab.census.gov,Yes,Yes,1,1,2025-05-02T00:00:00,2026-05-01T23:59:59,18183434165,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
adfsvlab.vlab.census.gov,Yes,Yes,1,1,2025-05-30T00:00:00,2026-05-29T23:59:59,18713899615,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
adsdbtrs01.adsd.census.gov,No,Yes,1,1,2024-12-30T00:00:00,2026-01-06T23:59:59,15939093055,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
