domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
EO13650.development.gateway.cisa.gov,No,Yes,3,2,2025-06-17T00:00:00,2026-06-16T23:59:59,19103758157;19062508737;19062555136,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
EO13650.gateway.cisa.gov,No,Yes,21,2,2025-06-17T00:00:00,2026-06-16T23:59:59,20157642193;22210016415;19245435572;20290018459;19858191385;20180713924;19103758157;22553933385;20157657341;20290003322;20290002908;20180689498;19835471203;20180712978;19062508737;19103777205;22209837461;20300779460;19835471127;19062555136;19103765042,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
Malware.cisa.gov,Yes,Yes,1,1,2025-07-11T00:00:00,2026-08-06T23:59:59,19596869053,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
access-dev.cisa.gov,No,Yes,4,2,2025-09-16T11:59:11,2026-02-12T13:15:46,21057703068;22463842548;22463855402;21057718628,"C=US, O=Google Trust Services, CN=WR1;C=US, O=Google Trust Services, CN=WE1"
access-uat.cisa.gov,No,Yes,4,2,2025-09-16T11:59:11,2026-02-12T13:15:46,21057703068;22463842548;22463855402;21057718628,"C=US, O=Google Trust Services, CN=WR1;C=US, O=Google Trust Services, CN=WE1"
access.cisa.gov,No,Yes,4,2,2025-09-16T11:59:11,2026-02-12T13:15:46,21057703068;22463842548;22463855402;21057718628,"C=US, O=Google Trust Services, CN=WR1;C=US, O=Google Trust Services, CN=WE1"
cge.gateway.cisa.gov,No,Yes,9,2,2025-06-17T00:00:00,2026-06-16T23:59:59,19062508737;19103777205;19062555136;19245435572;19835471127;19103765042;19103758157;19858191385;19835471203,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
ci.protectivedns.cisa.gov,No,Yes,23,7,2024-12-10T00:00:00,2026-12-10T23:59:59,22768803263;22300955899;22300955745;20913921673;21712299081;20913912445;22705392577;22373197458;22768803859;20913912383;21425450228;21712313431;21712297433;21712313099;22300952637;21311917372;21377647562;20099866725;22705451986;22300953286;20913921787;15688629811;21306896113,"C=US, O=Let's Encrypt, CN=E7;C=US, O=Let's Encrypt, CN=R13;C=US, O=Let's Encrypt, CN=R12;C=US, O=Amazon, CN=Amazon RSA 2048 M03;C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Let's Encrypt, CN=E8;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
cisa.gov,No,Yes,50,4,2025-04-09T00:00:00,2026-09-22T23:59:59,21209045308;20438552877;22646084940;22441677488;18499335844;21133516975;21166729553;20463328242;21057718628;20463347795;20330286795;21974682909;22414312807;17740041308;22543193739;17982930156;17982940211;19884927581;22441660634;20839226916;21204032748;18789272541;20330264595;22777703694;21974901178;22240738774;17982938845;21114810620;22463855402;21209054120;22646100500;22418054317;21133552556;18499340096;21166901885;22463842548;17739982718;19884835755;22543159195;19250178429;18499345217;22414298597;21110109549;19103922592;20296480714;21110122380;19103922344;21057703068;21254519361;22418073812,"C=US, O=Google Trust Services, CN=WR1;C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=Google Trust Services, CN=WE1"
confluence.protectivedns.cisa.gov,Yes,Yes,1,1,2025-09-14T00:00:00,2026-10-13T23:59:59,21000948927,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
connect.cisa.gov,Yes,Yes,6,4,2025-10-30T12:17:35,2026-02-01T22:06:29,22188459296;22103230248;22188460156;22187429355;22103221061;22187429393,"C=US, O=Google Trust Services, CN=WE1;C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA DV R36;C=US, O=Google Trust Services, CN=WR1;C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA DV E36"
csccust.development.gateway.cisa.gov,No,Yes,3,2,2025-06-17T00:00:00,2026-06-16T23:59:59,19103758157;19062508737;19062555136,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
csccust.gateway.cisa.gov,No,Yes,21,2,2025-06-17T00:00:00,2026-06-16T23:59:59,20157642193;22210016415;19245435572;20290018459;19858191385;20180713924;19103758157;22553933385;20157657341;20290003322;20290002908;20180689498;19835471203;20180712978;19062508737;19103777205;22209837461;20300779460;19835471127;19062555136;19103765042,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
cybermarketplace.cisa.gov,No,Yes,26,2,2025-06-17T00:00:00,2026-06-16T23:59:59,20157642193;22210016415;22647452968;19245435572;19103765042;22621539798;22909780749;20290018459;22621574800;20180713924;19103758157;22553933385;20157657341;22910154324;20290003322;20290002908;20180689498;19835471203;20180712978;19062508737;19103777205;22209837461;20300779460;19835471127;19062555136;19858191385,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
dashboard.development.gateway.cisa.gov,No,Yes,3,2,2025-06-17T00:00:00,2026-06-16T23:59:59,19103758157;19062508737;19062555136,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
dashboard.gateway.cisa.gov,No,Yes,26,2,2025-06-17T00:00:00,2026-06-16T23:59:59,20157642193;22210016415;22647452968;19245435572;19103765042;22621539798;22909780749;20290018459;22621574800;20180713924;19103758157;22553933385;20157657341;22910154324;20290003322;20290002908;20180689498;19835471203;20180712978;19062508737;19103777205;22209837461;20300779460;19835471127;19062555136;19858191385,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
dev.protectivedns.cisa.gov,No,Yes,6,4,2024-12-10T00:00:00,2026-12-10T23:59:59,21712313431;21712297433;21712313099;22373197458;15688629811;21712299081,"C=US, O=Amazon, CN=Amazon RSA 2048 M03;C=US, O=Let's Encrypt, CN=R13;C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Let's Encrypt, CN=E7"
development.gateway.cisa.gov,Yes,Yes,4,2,2025-06-17T00:00:00,2026-07-07T23:59:59,19103758157;19062508737;19245507473;19062555136,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
devlearning.cisa.gov,No,Yes,18,2,2025-07-29T00:00:00,2026-09-22T23:59:59,21209045308;22240738774;22543193739;22418073812;22646084940;22441677488;19991131713;21166729553;21974901178;21209054120;22646100500;22441660634;22418054317;21204032748;21166901885;21974682909;21254519361;22543159195,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
edit-preview.cisa.gov,No,Yes,3,2,2024-12-23T00:00:00,2026-10-31T23:59:59,17561200268;22108504452;15867620495,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
edit-staging.cisa.gov,No,Yes,3,2,2024-12-23T00:00:00,2026-10-31T23:59:59,17561200268;22108504452;15867620495,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
edit-testint.cisa.gov,No,Yes,3,2,2024-12-23T00:00:00,2026-10-31T23:59:59,17561200268;22108504452;15867620495,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
edit-wcms-testint.dhs.gov,Yes,No,3,2,2024-12-23T00:00:00,2026-10-31T23:59:59,17561200268;22108504452;15867620495,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
edit.cisa.gov,No,Yes,3,2,2024-12-23T00:00:00,2026-10-31T23:59:59,17561200268;22108504452;15867620495,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
esubmissions.pciims.cisa.gov,No,Yes,9,2,2025-06-17T00:00:00,2026-06-16T23:59:59,19062508737;19103777205;19062555136;19245435572;19835471127;19103765042;19103758157;19858191385;19835471203,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
expo.cisa.gov,No,Yes,6,2,2025-06-17T00:00:00,2026-06-16T23:59:59,19062508737;19103777205;19062555136;19245435572;19103758157;19103765042,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
gateway.cisa.gov,No,Yes,27,2,2025-06-17T00:00:00,2026-07-08T23:59:59,20157642193;22210016415;22647452968;19245435572;19103765042;22621539798;22909780749;20290018459;22621574800;20180713924;19103758157;22553933385;20157657341;22910154324;20290003322;20290002908;20180689498;19835471203;20180712978;19062508737;19103777205;22209837461;20300779460;19835471127;19245451215;19062555136;19858191385,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
gitlab-launchpad.cisa.gov,No,Yes,6,2,2025-06-17T00:00:00,2026-06-16T23:59:59,19062508737;19103777205;19062555136;19245435572;19103758157;19103765042,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
