domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
api.commerce.gov,Yes,Yes,4,1,2026-01-16T15:20:35,2026-06-15T15:20:50,25047761322;23804402190;25047762217;23804398255,"C=US, O=Let's Encrypt, CN=R12"
bea.data.commerce.gov,Yes,Yes,4,2,2025-04-01T05:36:04,2027-03-06T05:44:32,24133699782;17549019002;17551140713;24132332860,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2023;C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2025"
beta.w1.space.commerce.gov,No,Yes,3,2,2026-01-27T22:12:24,2026-04-27T23:12:31,24021622281;24021641971;24021631267,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
bis.data.commerce.gov,Yes,Yes,4,2,2025-04-01T05:41:03,2027-03-06T05:51:33,24132416239;17549138426;17551175202;24133699985,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2023;C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2025"
camsic.commerce.gov,No,Yes,3,2,2026-01-27T22:12:24,2026-04-27T23:12:31,24021622281;24021641971;24021631267,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
cbscomprizon.eas.commerce.gov,Yes,Yes,2,1,2026-01-22T00:00:00,2027-02-04T23:59:59,23917628103;24034939588,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
cbsdev.eas.commerce.gov,Yes,Yes,1,1,2026-01-28T00:00:00,2027-02-11T23:59:59,24040568793,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
cbsdev.login.eas.commerce.gov,Yes,Yes,1,1,2026-01-28T00:00:00,2027-02-11T23:59:59,24040587618,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
cbstest.eas.commerce.gov,Yes,Yes,1,1,2026-01-28T00:00:00,2027-02-11T23:59:59,24040605719,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
cbstest.login.eas.commerce.gov,Yes,Yes,1,1,2026-01-28T00:00:00,2027-02-11T23:59:59,24040622917,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
census.data.commerce.gov,Yes,Yes,4,2,2025-04-01T06:42:14,2027-03-06T16:30:34,24142675841;24141603116;17552307723;17550318640,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2023;C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2025"
commerce.gov,Yes,Yes,321,3,2025-04-15T00:00:00,2026-04-27T23:12:31,21131130139;20808065478;18849525830;18270252196;24293451672;23634549903;24917040289;23317787235;21134230941;18290902152;21033769778;23615199796;20203610505;24961613507;19532711182;18693346986;22066262828;22979638652;18025291751;22442024528;23743835929;20768418019;23592389132;22443405449;22563768781;23160235139;21721028749;18290886226;24807643793;19712158229;21419347417;18059088115;18124279525;23592046324;21423908065;21401919426;24897776334;20946960904;23592009608;22200892581;21765433795;21381486474;24537431581;24597735586;18290884671;18020510242;22290642578;22709108838;18658589501;20441065716;21381454966;22445469372;21520586485;24185536947;20510045679;20183913617;18761037374;23299667569;24017265746;19755961227;22066255919;23160269203;23592353534;19550828852;18167106990;24037057177;22290675151;20637426268;18656158363;23885336940;23657784606;22413042292;22066243861;24166230471;20875772688;21351449384;20113641491;20115118188;22201101615;18939279772;24770494058;20441023785;18940473704;18774077514;21722331476;20661104775;24618788874;21425353823;24021622281;18365880313;18168593840;23159654929;21854413224;24760491046;21381170260;18805718407;19401144096;18365917687;22563795846;18761053376;24760045974;18041617974;18774056964;20637452658;18290902214;21765085867;21764811453;20113681102;19536182318;22066220098;18761041407;24619866721;18145111532;18290901269;19208121638;18128825209;23610741527;23140494249;18059060495;21886988296;21764768266;24761020710;18112149887;19354364088;19712195949;19426650777;22979357738;23137302482;19228650200;18849493829;24021641971;18290867783;22263634038;18290902694;19002076110;19904283925;18290888746;18124340963;21520624835;18761038434;21520920756;21425307709;20505205107;19354321031;22413067491;21721001937;20055998412;22979393303;18290885891;18236712326;18076121009;22443084379;20410863109;18041600209;23658742692;22750232845;20203589877;18386481532;24385343256;23806806690;19426704814;19550797068;22088529780;22709140429;22445449777;21972719362;21401950754;24314601035;21854364242;22442046146;20808033828;23299632928;24603945429;21972682818;18939307068;23140463971;18145072577;24469449228;24018457136;18502253448;18405273908;18405243421;23615226205;18128797101;19002065591;20015944339;18019128707;18020508730;17861967456;18386445703;22443135697;22186436703;24620041032;18016981706;24021631267;24019260915;18185405781;18150536068;20505175124;21423875152;18940426085;18656187388;22184817401;20410916067;23639408420;17863554635;19228609194;18236744096;18658616348;19401172079;20768368602;22709576635;23610710208;21520961918;23159668961;21134186845;22709545119;18167077764;24384044434;23160842472;20115095175;19536222445;20183954298;23806835769;20407572677;22186479115;20056022254;18270220737;18112175462;21765047352;22064071506;18185376116;20486008300;19208083276;21519346588;23785824292;20015988105;25117793631;22184770568;20405231641;18761053380;20510078784;23139638705;18020508897;22088504298;21272440014;20056378584;23785246605;21765392374;20946994122;21886914957;23885302840;21419137183;19904303829;18041601684;24896151188;21033732321;20407627247;22064033865;23637639634;18290901799;24361788091;22750257899;20805966263;19532662036;18761054279;21768006631;18563330056;23317822929;22443428004;21722304014;19208605789;18150511152;18290869078;20165588769;18693351181;19755920940;24361810847;20485972688;20405174564;21767974559;22066274574;24018486676;21419385519;22200916801;20875728161;20113053725;18563305591;18025266480;21351414153;24601870723;20661063099;21131166526;24805277637;18168568979;17884668676;18502276302;22201129880;24615443270;22979679217;20056360716;19578556024;22263587834;23160895191;20113104711;18290901366;20056535390;21519307235;21419100034;18805686468;20056504277;23139602190;20805922587;18020508698;24537961985;19578592235;21272581264;23137335468;21381209584;19208637741;18233185457,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=Google Trust Services, CN=WR1;C=US, O=Google Trust Services, CN=WE1"
connection.commerce.gov,No,Yes,3,2,2026-01-27T22:12:24,2026-04-27T23:12:31,24021622281;24021641971;24021631267,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
crequestcensus.eas.commerce.gov,Yes,Yes,2,1,2026-01-22T00:00:00,2027-02-04T23:59:59,23917656081;24034975946,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
crequestdtcensus.eas.commerce.gov,Yes,Yes,1,1,2025-04-18T00:00:00,2026-04-17T23:59:59,17923773794,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
crequestdtos.eas.commerce.gov,Yes,Yes,1,1,2025-04-17T00:00:00,2026-04-16T23:59:59,17909306191,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
crequestnoaa.eas.commerce.gov,Yes,Yes,2,1,2026-01-22T00:00:00,2027-02-04T23:59:59,24035128033;23917880164,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
crequestos.eas.commerce.gov,Yes,Yes,2,1,2026-01-22T00:00:00,2027-02-04T23:59:59,23917910826;24035158535,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
crequesttrain.eas.commerce.gov,Yes,Yes,2,1,2026-01-22T00:00:00,2027-02-04T23:59:59,23917941292;24035173781,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
csc.eas.commerce.gov,Yes,Yes,1,1,2026-01-15T00:00:00,2027-02-11T23:59:59,23783245806,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
cscdev.eas.commerce.gov,Yes,Yes,1,1,2025-06-02T00:00:00,2026-06-01T23:59:59,18772779956,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
csctest.eas.commerce.gov,Yes,Yes,1,1,2025-06-02T00:00:00,2026-06-01T23:59:59,18772804701,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
cscvpn.camsic.commerce.gov,Yes,Yes,1,1,2025-10-23T00:00:00,2026-11-16T23:59:59,21941602094,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=Thawte TLS RSA CA G1"
d.commerce.gov,No,Yes,316,3,2025-04-23T00:00:00,2026-04-27T23:12:31,21131130139;20808065478;18849525830;18270252196;24293451672;23634549903;24917040289;23317787235;21134230941;18290902152;21033769778;23615199796;20203610505;24961613507;19532711182;18693346986;22066262828;22979638652;18025291751;22442024528;23743835929;20768418019;23592389132;22443405449;22563768781;23160235139;21721028749;18290886226;24807643793;19712158229;21419347417;18059088115;18124279525;23592046324;21423908065;21401919426;24897776334;20946960904;23592009608;22200892581;21765433795;21381486474;24537431581;24597735586;18290884671;18020510242;22290642578;22709108838;18658589501;20441065716;21381454966;22445469372;21520586485;24185536947;20510045679;20183913617;18761037374;23299667569;24017265746;19755961227;22066255919;23160269203;23592353534;19550828852;18167106990;24037057177;22290675151;20637426268;18656158363;23885336940;23657784606;22413042292;22066243861;24166230471;20875772688;21351449384;20113641491;20115118188;22201101615;18939279772;24770494058;20441023785;18940473704;18774077514;21722331476;20661104775;24618788874;21425353823;24021622281;18365880313;18168593840;23159654929;21854413224;24760491046;21381170260;18805718407;19401144096;18365917687;22563795846;18761053376;24760045974;18041617974;18774056964;20637452658;18290902214;21765085867;21764811453;20113681102;19536182318;22066220098;18761041407;24619866721;18145111532;18290901269;19208121638;18128825209;23610741527;23140494249;18059060495;21886988296;21764768266;24761020710;18112149887;19354364088;19712195949;19426650777;22979357738;23137302482;19228650200;18849493829;24021641971;18290867783;22263634038;18290902694;19002076110;19904283925;18290888746;18124340963;21520624835;18761038434;21520920756;21425307709;20505205107;19354321031;22413067491;21721001937;20055998412;22979393303;18290885891;18236712326;18076121009;22443084379;20410863109;18041600209;23658742692;22750232845;20203589877;18386481532;24385343256;23806806690;19426704814;19550797068;22088529780;22709140429;22445449777;21972719362;21401950754;24314601035;21854364242;22442046146;20808033828;23299632928;24603945429;21972682818;18939307068;23140463971;18145072577;24469449228;24018457136;18502253448;18405273908;18405243421;23615226205;18128797101;19002065591;20015944339;18020508730;18386445703;22443135697;22186436703;24620041032;24021631267;24019260915;18185405781;18150536068;20505175124;21423875152;18940426085;18656187388;22184817401;20410916067;23639408420;19228609194;18236744096;18658616348;19401172079;20768368602;22709576635;23610710208;21520961918;23159668961;21134186845;22709545119;18167077764;24384044434;23160842472;20115095175;19536222445;20183954298;23806835769;20407572677;22186479115;20056022254;18270220737;18112175462;21765047352;22064071506;18185376116;20486008300;19208083276;21519346588;23785824292;20015988105;25117793631;22184770568;20405231641;18761053380;20510078784;23139638705;18020508897;22088504298;21272440014;20056378584;23785246605;21765392374;20946994122;21886914957;23885302840;21419137183;19904303829;18041601684;24896151188;21033732321;20407627247;22064033865;23637639634;18290901799;24361788091;22750257899;20805966263;19532662036;18761054279;21768006631;18563330056;23317822929;22443428004;21722304014;19208605789;18150511152;18290869078;20165588769;18693351181;19755920940;24361810847;20485972688;20405174564;21767974559;22066274574;24018486676;21419385519;22200916801;20875728161;20113053725;18563305591;18025266480;21351414153;24601870723;20661063099;21131166526;24805277637;18168568979;18502276302;22201129880;24615443270;22979679217;20056360716;19578556024;22263587834;23160895191;20113104711;18290901366;20056535390;21519307235;21419100034;18805686468;20056504277;23139602190;20805922587;18020508698;24537961985;19578592235;21272581264;23137335468;21381209584;19208637741;18233185457,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=Google Trust Services, CN=WR1;C=US, O=Google Trust Services, CN=WE1"
data.commerce.gov,No,Yes,3,2,2026-01-27T22:12:24,2026-04-27T23:12:31,24021622281;24021641971;24021631267,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
docgovta-test.commerce.gov,No,Yes,7,1,2025-04-15T00:00:00,2026-04-15T23:59:59,17863554635;18076121009;18020508897;18019128707;17863577884;18233185457;18016981706,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
docgovta.commerce.gov,No,Yes,7,1,2025-04-15T00:00:00,2026-04-15T23:59:59,17863554635;18076121009;18020508897;18019128707;18233185457;18016981706;17863564180,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
docosofmda.commerce.gov,Yes,Yes,2,1,2025-05-05T00:00:00,2026-04-15T23:59:59,18233185457;18233185703,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
e-learning.commerce.gov,No,Yes,3,2,2026-01-27T22:12:24,2026-04-27T23:12:31,24021622281;24021641971;24021631267,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
ea.commerce.gov,No,Yes,3,2,2026-01-27T22:12:24,2026-04-27T23:12:31,24021622281;24021641971;24021631267,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
eas.commerce.gov,No,Yes,3,2,2026-01-27T22:12:24,2026-04-27T23:12:31,24021622281;24021641971;24021631267,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
eda-cdn.commerce.gov,Yes,Yes,2,1,2025-09-17T00:00:00,2026-10-16T23:59:59,21073229764;21074754535,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
eda.data.commerce.gov,Yes,Yes,4,2,2025-04-01T07:33:20,2027-03-06T16:53:36,17551382148;17553435212;24141952426;24143525412,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2023;C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2025"
esa.data.commerce.gov,Yes,Yes,4,2,2025-03-31T22:01:56,2027-03-05T22:07:40,24126460816;17542340363;24127680122;17541048175,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2023;C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2025"
ets2censustest.eas.commerce.gov,Yes,Yes,1,1,2026-02-18T00:00:00,2027-03-04T23:59:59,24496325634,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
ets2dev.eas.commerce.gov,Yes,Yes,1,1,2025-05-01T00:00:00,2026-04-30T23:59:59,18169200276,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
ets2devsouthred.eas.commerce.gov,Yes,Yes,1,1,2025-05-01T00:00:00,2026-04-30T23:59:59,18169186607,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
ets2nisttest.eas.commerce.gov,Yes,Yes,1,1,2026-02-18T00:00:00,2027-03-04T23:59:59,24496342714,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
ets2prodcensus.eas.commerce.gov,Yes,Yes,1,1,2025-09-03T00:00:00,2026-09-02T23:59:59,20766311259,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
ets2prodnist.eas.commerce.gov,Yes,Yes,1,1,2025-09-03T00:00:00,2026-09-02T23:59:59,20766325461,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
ets2test.eas.commerce.gov,Yes,Yes,1,1,2025-05-01T00:00:00,2026-04-30T23:59:59,18169211221,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
ets2testbrownbeara.eas.commerce.gov,Yes,Yes,1,1,2025-05-01T00:00:00,2026-04-30T23:59:59,18169164048,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
foia-pal-test.commerce.gov,No,Yes,6,1,2025-04-23T00:00:00,2026-04-15T23:59:59,18017001328;18076121009;18020508897;18019128707;18233185457;18016981706,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
foia-pal.commerce.gov,No,Yes,6,1,2025-04-23T00:00:00,2026-04-15T23:59:59,18076121009;18020508897;18019128707;18017024207;18233185457;18016981706,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
foia-test.commerce.gov,No,Yes,6,1,2025-04-23T00:00:00,2026-04-15T23:59:59,18017009793;18076121009;18020508897;18019128707;18233185457;18016981706,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
foia.commerce.gov,No,Yes,6,1,2025-04-23T00:00:00,2026-04-15T23:59:59,18016995449;18076121009;18020508897;18019128707;18233185457;18016981706,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
hfmprod.eas.commerce.gov,Yes,Yes,1,1,2026-02-18T00:00:00,2027-03-04T23:59:59,24490317823,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
hfms.eas.commerce.gov,Yes,Yes,1,1,2025-10-28T00:00:00,2026-11-24T23:59:59,22064165129,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
hr-dev.eas.commerce.gov,Yes,Yes,1,1,2026-01-28T00:00:00,2027-02-25T23:59:59,24040475791,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
hr-sand.eas.commerce.gov,Yes,Yes,1,1,2025-10-29T00:00:00,2026-11-05T23:59:59,22086141280,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
hr-test.eas.commerce.gov,Yes,Yes,1,1,2025-06-02T00:00:00,2026-06-01T23:59:59,18772630658,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
hr.commerce.gov,No,Yes,3,2,2026-01-27T22:12:24,2026-04-27T23:12:31,24021622281;24021641971;24021631267,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
hr.eas.commerce.gov,Yes,Yes,1,1,2025-08-25T00:00:00,2026-08-24T23:59:59,20565180534,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
hyperionprod.eas.commerce.gov,Yes,Yes,1,1,2025-11-13T00:00:00,2026-12-11T23:59:59,22445364715,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
hyperiontest.eas.commerce.gov,Yes,Yes,1,1,2025-11-13T00:00:00,2026-12-11T23:59:59,22445363032,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
ita.data.commerce.gov,Yes,Yes,4,2,2025-04-01T06:33:12,2027-03-06T06:45:42,17552284803;24132664396;24134735460;17550106457,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2023;C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2025"
learn.commerce.gov,No,Yes,3,2,2026-01-27T22:12:24,2026-04-27T23:12:31,24021622281;24021641971;24021631267,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
learning.commerce.gov,No,Yes,3,2,2026-01-27T22:12:24,2026-04-27T23:12:31,24021622281;24021641971;24021631267,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
list.commerce.gov,No,Yes,9,1,2025-04-15T00:00:00,2026-04-15T23:59:59,17861972925;17863554635;18076121009;18020508897;18019128707;17863290932;17861967456;18233185457;18016981706,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
login.csc.eas.commerce.gov,No,Yes,4,3,2026-01-15T00:00:00,2027-02-11T23:59:59,24021622281;23783261634;24021641971;24021631267,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
login.cscdev.eas.commerce.gov,Yes,Yes,1,1,2025-06-02T00:00:00,2026-06-01T23:59:59,18772736755,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
login.csctest.eas.commerce.gov,Yes,Yes,1,1,2025-06-02T00:00:00,2026-06-01T23:59:59,18772752223,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
mashup.eas.commerce.gov,Yes,Yes,2,1,2025-11-14T00:00:00,2026-12-03T23:59:59,22465473113;22462965423,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
mashupdt.eas.commerce.gov,Yes,Yes,1,1,2025-04-15T00:00:00,2026-04-14T23:59:59,17862419294,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
mbda.data.commerce.gov,Yes,Yes,4,2,2025-04-01T07:21:20,2027-03-06T16:38:34,17552382960;17551060412;24141731433;24142677086,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2023;C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2025"
nist.data.commerce.gov,Yes,Yes,4,2,2025-03-29T17:08:12,2027-03-03T17:13:24,17494176140;24081956057;24083347687;24081996222,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2023;C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2025"
noaa.data.commerce.gov,Yes,Yes,4,2,2025-04-01T01:35:27,2027-03-06T01:42:03,17544580261;17546568774;24130063159;24129302692,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2023;C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2025"
ntia.data.commerce.gov,Yes,Yes,4,2,2025-04-01T07:30:20,2027-03-06T16:50:37,24143524647;17553424031;17551298682;24141911074,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2023;C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2025"
ntis.data.commerce.gov,Yes,Yes,4,2,2025-03-29T18:13:03,2027-03-03T18:18:26,24082930667;17496161294;17495133295;24084324429,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2023;C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2025"
performance.commerce.gov,Yes,Yes,1,1,2025-08-31T22:27:38,2026-10-02T22:27:37,20709614864,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2025"
processtoolbox.eas.commerce.gov,Yes,Yes,2,1,2025-10-28T00:00:00,2026-10-28T23:59:59,22442994317;22067594664,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
relo.eas.commerce.gov,Yes,Yes,1,1,2025-11-12T00:00:00,2026-12-03T23:59:59,22421124308,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
relodt.eas.commerce.gov,Yes,Yes,1,1,2025-08-27T00:00:00,2026-08-26T23:59:59,20612407693,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
relosand.eas.commerce.gov,Yes,Yes,1,1,2026-01-28T00:00:00,2027-02-11T23:59:59,24040533160,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
remoteapps.eas.commerce.gov,Yes,Yes,1,1,2025-06-02T00:00:00,2026-06-01T23:59:59,18772819099,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
remoteappspiv.eas.commerce.gov,Yes,Yes,1,1,2025-09-03T00:00:00,2026-09-02T23:59:59,20770907725,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
reports-dev.eas.commerce.gov,Yes,Yes,1,1,2025-08-27T00:00:00,2026-08-26T23:59:59,20612436637,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
reports-sand.eas.commerce.gov,Yes,Yes,1,1,2025-04-17T00:00:00,2026-04-16T23:59:59,17908195377,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
reports.eas.commerce.gov,Yes,Yes,1,1,2025-11-12T00:00:00,2026-12-13T23:59:59,22421089913,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
sandbox.eas.commerce.gov,Yes,Yes,1,1,2025-11-12T00:00:00,2026-12-13T23:59:59,22412660808,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
sandbox.login.eas.commerce.gov,Yes,Yes,1,1,2025-11-12T00:00:00,2026-12-13T23:59:59,22412702695,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
search.commerce.gov,No,Yes,2,1,2026-01-20T14:00:00,2026-04-20T13:59:59,23882183563;23882165756,"C=US, O=Let's Encrypt, CN=R12"
search.usa.gov,Yes,No,2,1,2026-01-20T14:00:00,2026-04-20T13:59:59,23882183563;23882165756,"C=US, O=Let's Encrypt, CN=R12"
space.commerce.gov,No,Yes,4,3,2025-07-20T00:00:00,2026-08-18T23:59:59,24021622281;24021641971;19788336167;24021631267,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1;C=US, O=Amazon, CN=Amazon RSA 2048 M02"
splash-a.eas.commerce.gov,No,Yes,1,1,2026-01-15T00:00:00,2027-02-05T23:59:59,23784010411,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
splash.eas.commerce.gov,Yes,Yes,1,1,2026-01-15T00:00:00,2027-02-05T23:59:59,23784010411,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
uspto.data.commerce.gov,Yes,Yes,4,2,2025-03-31T14:36:49,2027-03-05T14:39:57,17535187653;24120160479;24120144821;24121016382,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2023;C=BE, O=GlobalSign nv-sa, CN=GlobalSign GCC R6 AlphaSSL CA 2025"
vminetdt.eas.commerce.gov,Yes,Yes,1,1,2025-11-14T00:00:00,2026-12-03T23:59:59,22464062197,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
www.commerce.gov,Yes,Yes,1,1,2025-08-18T00:00:00,2026-09-16T23:59:59,20398347987,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
www.space.commerce.gov,No,Yes,1,1,2025-07-20T00:00:00,2026-08-18T23:59:59,19788336167,"C=US, O=Amazon, CN=Amazon RSA 2048 M02"
