domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
SPTC-XPWYE-03.jabber.dea.gov,No,Yes,1,1,2026-04-10T00:00:00,2026-10-25T23:59:59,25468403831,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
SPTC-XPWYE-04.jabber.dea.gov,No,Yes,1,1,2026-04-10T00:00:00,2026-10-25T23:59:59,25468403831,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
XPWYE-Cluster.jabber.dea.gov,No,Yes,1,1,2026-04-10T00:00:00,2026-10-25T23:59:59,25468403831,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
acf-xpwye-01.jabber.dea.gov,No,Yes,1,1,2026-04-10T00:00:00,2026-10-25T23:59:59,25468403831,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
acf-xpwye-02.jabber.dea.gov,No,Yes,1,1,2026-04-10T00:00:00,2026-10-25T23:59:59,25468403831,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
acf-xpwye-03.jabber.dea.gov,No,Yes,1,1,2026-04-10T00:00:00,2026-10-25T23:59:59,25468403831,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
acf-xpwye-04.jabber.dea.gov,No,Yes,1,1,2026-04-10T00:00:00,2026-10-25T23:59:59,25468403831,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
admin-stage.dea.gov,No,Yes,5,2,2025-10-19T00:00:00,2026-10-20T23:59:59,24043981422;24043956563;21815218588;21815123890;24043953875,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
admin.dea.gov,No,Yes,5,2,2025-10-19T00:00:00,2026-10-20T23:59:59,24043981422;24043956563;21815218588;21815123890;24043953875,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
autodiscover.dea.gov,No,Yes,1,1,2026-02-18T00:00:00,2027-03-21T23:59:59,24492152185,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
autodiscover.deficloud.dea.gov,No,Yes,1,1,2026-04-20T00:00:00,2026-11-04T23:59:59,25609881105,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
collab-edge.jabber.dea.gov,No,Yes,1,1,2026-04-10T00:00:00,2026-10-25T23:59:59,25468403831,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
contactcenter.diversion.dea.gov,No,Yes,2,2,2026-01-28T00:00:00,2026-10-20T23:59:59,24043956563;24043981422,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
dea.gov,No,Yes,7,2,2025-10-19T00:00:00,2026-10-24T23:59:59,24043981422;24043956563;21981519763;21981360306;21815218588;21815123890;24043953875,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
