domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
1edprod-ext.ed.gov,Yes,Yes,2,1,2025-07-30T00:00:00,2026-07-29T23:59:59,20154115313;20008959887,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
1edprod.ed.gov,Yes,Yes,2,1,2026-01-03T00:00:00,2026-04-14T23:59:59,23530414452;23699887906,"C=US, O=""DigiCert, Inc."", CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1"
1edproddr-ext.ed.gov,No,Yes,2,1,2025-07-30T00:00:00,2026-07-29T23:59:59,20154115313;20008959887,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
1edproddr.ed.gov,Yes,Yes,4,1,2025-08-25T00:00:00,2026-04-14T23:59:59,23780240790;23723298751;20572252849;20571278799,"C=US, O=""DigiCert, Inc."", CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1"
1edstg.ed.gov,Yes,Yes,1,1,2026-01-29T00:00:00,2026-07-28T23:59:59,24056473087,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
21apr.ed.gov,Yes,Yes,1,1,2025-05-06T00:00:00,2026-05-06T23:59:59,18252127144,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
DEVFSAESB-PRIV.ED.GOV,No,Yes,1,1,2025-12-04T00:00:00,2026-12-03T23:59:59,22895159910,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
DEVFSAESB.ED.GOV,No,Yes,1,1,2025-12-04T00:00:00,2026-12-03T23:59:59,22895159910,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
Department of Education,Yes,No,2,1,2025-12-08T00:00:00,2027-01-05T23:59:59,23096924075;22995266987,"C=US, O=""DigiCert, Inc."", CN=DigiCert Verified Mark RSA4096 SHA256 2021 CA1"
ESB.VDC.ED.GOV,No,Yes,1,1,2025-12-04T00:00:00,2026-12-03T23:59:59,22895121453,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
ESBDP-NONPROD.ED.GOV,Yes,Yes,1,1,2025-12-04T00:00:00,2026-12-03T23:59:59,22895159910,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
ESBDP-PROD.ED.GOV,Yes,Yes,1,1,2026-01-20T00:00:00,2027-01-19T23:59:59,23885349552,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
FSAESB-PRIV.ED.GOV,No,Yes,1,1,2026-01-20T00:00:00,2027-01-19T23:59:59,23885349552,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
FSAESB.ED.GOV,No,Yes,1,1,2026-01-20T00:00:00,2027-01-19T23:59:59,23885349552,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
PERFFSAESB-PRIV.ED.GOV,No,Yes,1,1,2025-12-04T00:00:00,2026-12-03T23:59:59,22895159910,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
PERFFSAESB.ED.GOV,No,Yes,1,1,2025-12-04T00:00:00,2026-12-03T23:59:59,22895159910,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
STAGEFSAESB-PRIV.ED.GOV,No,Yes,1,1,2025-12-04T00:00:00,2026-12-03T23:59:59,22895159910,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
STAGEFSAESB.ED.GOV,No,Yes,1,1,2025-12-04T00:00:00,2026-12-03T23:59:59,22895159910,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
TESTFSAESB-PRIV.ED.GOV,No,Yes,1,1,2025-12-04T00:00:00,2026-12-03T23:59:59,22895159910,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
TESTFSAESB.ED.GOV,No,Yes,1,1,2025-12-04T00:00:00,2026-12-03T23:59:59,22895159910,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
VDC-PROD.ED.GOV,Yes,Yes,1,1,2025-12-04T00:00:00,2026-12-03T23:59:59,22895121453,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
VDPPERFFSAESB.ED.GOV,No,Yes,1,1,2025-12-04T00:00:00,2026-12-03T23:59:59,22895159910,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
aaec.ed.gov,Yes,Yes,3,2,2025-01-28T00:00:00,2027-02-03T23:59:59,16423830093;16423829518;24183294504,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=GB, ST=Greater Manchester, L=Salford, O=Sectigo Limited, CN=Sectigo RSA Domain Validation Secure Server CA"
ae.relay.tools.ed.gov,No,Yes,2,1,2025-05-02T00:00:00,2026-11-19T23:59:59,22621295702;18183046061,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
aefla.ed.gov,Yes,Yes,2,1,2026-01-08T06:12:58,2026-04-08T06:12:57,23626496723;23626498608,"C=US, O=Let's Encrypt, CN=E7"
aims.ed.gov,Yes,Yes,1,1,2025-09-22T00:00:00,2026-10-13T23:59:59,21206422030,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
aimssso.ed.gov,No,Yes,1,1,2025-09-22T00:00:00,2026-10-13T23:59:59,21206422030,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
analytics-origin.cod.ed.gov,No,Yes,2,1,2025-03-28T00:00:00,2027-01-27T23:59:59,17469672754;24036629034,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
analytics-platform-pdo.edmaps.ed.gov,No,Yes,1,1,2025-08-25T00:00:00,2026-09-18T23:59:59,20574915764,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
analytics-platform.edmaps.ed.gov,No,Yes,1,1,2025-08-25T00:00:00,2026-09-18T23:59:59,20574915764,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
analytics.cod.ed.gov,No,Yes,3,2,2025-03-28T00:00:00,2027-01-27T23:59:59,21740606668;17469672754;24036629034,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
aniedams.ed.gov,No,Yes,1,1,2025-07-21T00:00:00,2026-07-20T23:59:59,19813577498,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
answers.ed.gov,No,Yes,3,2,2025-12-19T00:00:00,2027-02-09T23:59:59,23224788794;24312850897;23262162494,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
api.cod.ed.gov,No,Yes,2,1,2025-03-28T00:00:00,2027-01-27T23:59:59,17469672754;24036629034,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
api.covid-relief-data.ed.gov,Yes,Yes,1,1,2026-02-04T00:00:00,2027-02-03T23:59:59,24182426749,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
api.edpass.ed.gov,No,Yes,1,1,2025-11-05T00:00:00,2026-11-04T23:59:59,22229627589,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
api.emdr.ed.gov,No,Yes,1,1,2026-01-15T00:00:00,2027-01-14T23:59:59,23789487550,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
api.enaep.cotw-ng.naep.ed.gov,No,Yes,1,1,2025-10-07T18:25:02,2026-11-04T18:54:41,21553190248,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certs.godaddy.com/repository/, CN=Go Daddy Secure Certificate Authority - G2"
api.fsapartners.ed.gov,No,Yes,2,1,2025-12-11T19:18:53,2026-03-11T19:18:52,23060754551;23060778564,"C=US, O=Let's Encrypt, CN=R13"
api.ftim.ed.gov,Yes,Yes,1,1,2025-04-23T00:00:00,2026-05-13T23:59:59,18018533572,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
api.ies.ed.gov,Yes,Yes,2,1,2025-06-09T00:00:00,2026-07-07T23:59:59,18918925345;18917765084,"C=US, O=Amazon, CN=Amazon RSA 2048 M02"
api21apr.ed.gov,Yes,Yes,1,1,2025-11-10T00:00:00,2026-11-09T23:59:59,22369318975,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
apitest21apr.ed.gov,Yes,Yes,1,1,2025-11-10T00:00:00,2026-11-09T23:59:59,22369354092,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
apitrain21apr.ed.gov,Yes,Yes,1,1,2025-11-10T00:00:00,2026-11-09T23:59:59,22369406502,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
apps.myeddebt.ed.gov,Yes,Yes,4,2,2025-07-11T00:00:00,2026-10-13T23:59:59,19595456029;21633511412;21633462723;23437587641,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1"
apps.test.edmaps.ed.gov,No,Yes,8,2,2025-12-22T18:30:54,2026-05-11T17:15:41,24315377011;23442381433;23300281693;23442398935;24295163862;23300254794;24294934705;24315373368,"C=US, O=Let's Encrypt, CN=R13;C=US, O=Let's Encrypt, CN=R12"
apps.test.nsldsfap.ed.gov,Yes,Yes,4,2,2026-01-28T13:23:19,2026-05-10T20:12:37,24294924675;24036586201;24036613090;24294921401,"C=US, O=Let's Encrypt, CN=R12;C=US, O=Let's Encrypt, CN=R13"
apps.test.tivod.atagc.com,Yes,No,4,1,2025-12-08T20:35:41,2026-05-10T20:08:17,22988096191;24294849350;22988134645;24294840203,"C=US, O=Let's Encrypt, CN=R13"
as2.enaep-dev.naep.ed.gov,No,Yes,1,1,2025-10-07T18:25:02,2026-11-04T18:54:41,21553190248,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certs.godaddy.com/repository/, CN=Go Daddy Secure Certificate Authority - G2"
