domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
48c-mule-prod.energy.gov,Yes,Yes,2,1,2026-01-23T00:00:00,2027-01-23T23:59:59,23939455992;23939457152,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
48c-mule-qa.energy.gov,Yes,Yes,2,1,2026-01-23T00:00:00,2027-01-23T23:59:59,23939458276;23939455117,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
48c-mule-uat.energy.gov,Yes,Yes,2,1,2026-01-23T00:00:00,2027-01-23T23:59:59,23939456329;23939457153,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
48e-mule-prod.energy.gov,Yes,Yes,2,1,2026-01-15T00:00:00,2027-01-15T23:59:59,23786533486;23786534703,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
48e-mule-qa.energy.gov,Yes,Yes,2,1,2025-12-18T00:00:00,2026-12-18T23:59:59,23202950881;23202951203,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
48e-mule-uat.energy.gov,Yes,Yes,2,1,2026-01-15T00:00:00,2027-01-15T23:59:59,23786546482;23786546347,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
AVAEASAPPPR02.doe.gov,Yes,No,2,1,2026-03-11T00:00:00,2027-03-11T23:59:59,24926342137;24926342075,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
Transport.transcom.energy.gov,No,Yes,1,1,2025-07-17T17:27:13,2026-07-20T19:58:45,19737992797,"C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
a2e.energy.gov,Yes,Yes,2,1,2026-03-13T00:00:00,2026-09-26T23:59:59,24954487100;24952370496,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
afdc.energy.gov,No,Yes,3,1,2026-03-09T00:00:00,2026-10-23T23:59:59,25700342795;24866242149;25449235826,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
aloha.nnsa.energy.gov,Yes,Yes,2,1,2026-03-31T00:00:00,2026-10-15T23:59:59,25293287941;25293287454,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
amsc.energy.gov,Yes,Yes,3,2,2026-06-07T17:02:15,2026-09-05T18:02:21,27182235003;26973959299;26973953758,"C=US, O=Google Trust Services, CN=WR1;C=US, O=Google Trust Services, CN=WE1"
annualmeritreview.energy.gov,Yes,Yes,6,2,2026-04-25T10:13:42,2026-09-21T11:28:40,27421340431;27421322716;26175330013;27421388065;26005301964;25811614676,"C=US, O=Google Trust Services, CN=WR1;C=US, O=Google Trust Services, CN=WE1"
apcs.energy.gov,Yes,Yes,2,1,2026-01-29T00:00:00,2027-01-29T23:59:59,24060395078;24060394440,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
api-mule-internal-prod.energy.gov,Yes,Yes,2,1,2026-06-09T00:00:00,2026-12-24T23:59:59,27031181332;27031236239,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
api-mule-internal-qa.energy.gov,Yes,Yes,2,1,2026-06-09T00:00:00,2026-12-24T23:59:59,27031184093;27031237279,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
api-mule-internal-uat.energy.gov,Yes,Yes,2,1,2026-06-09T00:00:00,2026-12-24T23:59:59,27031236864;27031182080,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
api-mule-prod.energy.gov,Yes,Yes,2,1,2026-02-04T00:00:00,2027-02-04T23:59:59,24186707809;24186723608,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
api-mule-qa.energy.gov,Yes,Yes,2,1,2025-12-18T00:00:00,2026-12-18T23:59:59,23202985423;23202964636,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
api-mule-uat.energy.gov,Yes,Yes,2,1,2026-01-15T00:00:00,2027-01-15T23:59:59,23786545981;23786546567,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
api.assist-test.scmc.energy.gov,Yes,Yes,1,1,2026-03-13T00:00:00,2026-09-26T23:59:59,24963252688,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
api.livewire.energy.gov,Yes,Yes,4,2,2026-05-02T15:20:37,2026-09-29T15:20:40,26008804857;27621762819;26008805957;27621780844,"C=US, O=Let's Encrypt, CN=YR2;C=US, O=Let's Encrypt, CN=R12"
app.energy.gov,Yes,Yes,2,1,2025-09-24T00:00:00,2026-09-24T23:59:59,21248348659;21248348212,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
