domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
ATCFACTDEV.FAA.GOV,Yes,Yes,1,1,2025-05-19T00:00:00,2026-06-17T23:59:59,18502679269,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
ATCFacT.faa.gov,Yes,Yes,2,1,2025-01-08T00:00:00,2026-02-20T23:59:59,16098429936;17847797883,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
AVSAACOKCD77.avs.faa.gov,Yes,Yes,1,1,2024-09-23T00:00:00,2025-10-22T23:59:59,14658694889,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
AVSAACOKCG7.avs.faa.gov,Yes,Yes,2,1,2024-09-05T00:00:00,2025-10-02T23:59:59,14439274951;14452645871,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
AircraftRegistryOutput.faa.gov,Yes,Yes,1,1,2025-01-23T00:00:00,2026-02-10T23:59:59,16374380701,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
Api-dev.weathercams.faa.gov,No,Yes,14,2,2024-10-12T00:00:00,2025-12-06T23:59:59,16696060061;15801046481;14895207863;20422414119;20573520127;15326887066;17746776845;15640239070;19533105214;16955120835;16938150628;20203383763;18292840122;17607988926,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
Api.weathercams.faa.gov,No,Yes,14,2,2024-10-12T00:00:00,2025-12-06T23:59:59,16696060061;15801046481;14895207863;20422414119;20573520127;15326887066;17746776845;15640239070;19533105214;16955120835;16938150628;20203383763;18292840122;17607988926,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
BCSS.faa.gov,Yes,Yes,1,1,2024-10-24T00:00:00,2025-11-20T23:59:59,15068330254,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
BCSSDR.faa.gov,Yes,Yes,1,1,2024-10-24T00:00:00,2025-11-20T23:59:59,15067898899,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
BCSSTest.faa.gov,Yes,Yes,1,1,2024-10-24T00:00:00,2025-11-20T23:59:59,15067898865,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
