domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
10x.gsa.gov,Yes,Yes,2,1,2026-07-21T09:21:23,2026-10-19T09:21:22,28120586429;28120579374,"C=US, O=Let's Encrypt, CN=YR1"
889-dev.smartpay.gsa.gov,No,Yes,1,1,2026-02-12T00:00:00,2027-03-13T23:59:59,24360542596,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
889-stg.smartpay.gsa.gov,No,Yes,1,1,2026-02-12T00:00:00,2027-03-13T23:59:59,24360543031,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
889-test.smartpay.gsa.gov,No,Yes,1,1,2026-02-12T00:00:00,2027-03-13T23:59:59,24360543139,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
889.smartpay.gsa.gov,No,Yes,5,2,2026-03-04T00:00:00,2027-02-17T23:59:59,27962666218;28515959213;27962661379;28513525477;24786595704,"C=US, O=Let's Encrypt, CN=YR2;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
899-dev.smartpay.gsa.gov,No,Yes,1,1,2026-02-11T00:00:00,2027-03-12T23:59:59,24335588901,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
899-stg.smartpay.gsa.gov,No,Yes,1,1,2026-02-11T00:00:00,2027-03-12T23:59:59,24335590285,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
899-test.smartpay.gsa.gov,No,Yes,1,1,2026-02-11T00:00:00,2027-03-12T23:59:59,24335629419,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
8astars-dev.fas.gsa.gov,Yes,Yes,1,1,2026-07-26T00:00:00,2027-02-08T23:59:59,28257900464,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
8astars-test.fas.gsa.gov,Yes,Yes,1,1,2026-07-26T00:00:00,2027-02-08T23:59:59,28256610890,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
8astars.fas.gsa.gov,Yes,Yes,1,1,2026-07-26T00:00:00,2027-02-08T23:59:59,28257151654,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
