domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
340bopais-stg.hrsa.gov,No,Yes,6,3,2025-08-20T20:14:55,2026-11-22T14:03:05,27809543639;27809555452;27288524662;27288533187;20464776485;26383271459,"C=US, O=Let's Encrypt, CN=YR2;C=US, O=Let's Encrypt, CN=YR1;C=US, O=IdenTrust, OU=HydrantID Trusted Certificate Service, CN=HydrantID Server CA O1"
340bopais.hrsa.gov,No,Yes,5,2,2025-06-18T19:48:01,2026-12-27T19:53:01,19102984911;27809543639;27809555452;20506929087;27097922204,"C=US, O=IdenTrust, OU=HydrantID Trusted Certificate Service, CN=HydrantID Server CA O1;C=US, O=Let's Encrypt, CN=YR1"
340bpricing-stg.hrsa.gov,No,Yes,5,3,2026-05-01T22:43:41,2026-11-16T22:42:41,27809543639;26284378158;27809555452;27288524662;27288533187,"C=US, O=Let's Encrypt, CN=YR2;C=US, O=Let's Encrypt, CN=YR1;C=US, O=IdenTrust, OU=HydrantID Trusted Certificate Service, CN=HydrantID Server CA O1"
340bpricing.hrsa.gov,No,Yes,4,2,2025-08-22T17:02:41,2026-12-27T19:52:01,27097897089;20506641240;27809555452;27809543639,"C=US, O=IdenTrust, OU=HydrantID Trusted Certificate Service, CN=HydrantID Server CA O1;C=US, O=Let's Encrypt, CN=YR1"
340bpricingsubmissions-stg.hrsa.gov,No,Yes,5,3,2026-05-01T22:43:57,2026-11-16T22:42:57,26284378319;27809543639;27809555452;27288524662;27288533187,"C=US, O=Let's Encrypt, CN=YR2;C=US, O=Let's Encrypt, CN=YR1;C=US, O=IdenTrust, OU=HydrantID Trusted Certificate Service, CN=HydrantID Server CA O1"
340bpricingsubmissions.hrsa.gov,No,Yes,4,2,2025-08-22T17:03:14,2026-12-27T19:52:39,20506654088;27097897876;27809555452;27809543639,"C=US, O=IdenTrust, OU=HydrantID Trusted Certificate Service, CN=HydrantID Server CA O1;C=US, O=Let's Encrypt, CN=YR1"
340bregistration-stg.hrsa.gov,No,Yes,6,3,2025-08-20T20:15:20,2026-11-22T14:03:30,27809543639;27288524662;27809555452;26383280930;27288533187;20464777402,"C=US, O=Let's Encrypt, CN=YR2;C=US, O=Let's Encrypt, CN=YR1;C=US, O=IdenTrust, OU=HydrantID Trusted Certificate Service, CN=HydrantID Server CA O1"
340bregistration.hrsa.gov,No,Yes,5,2,2025-06-18T19:48:25,2026-12-27T19:53:23,27097923508;27809543639;19102983939;27809555452;20506930334,"C=US, O=IdenTrust, OU=HydrantID Trusted Certificate Service, CN=HydrantID Server CA O1;C=US, O=Let's Encrypt, CN=YR1"
access3.nih.gov,Yes,No,2,1,2025-08-01T00:00:00,2026-08-01T23:59:59,20053257466;20053257664,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
ahrf-stage.hdw.hrsa.gov,No,Yes,11,4,2026-02-25T20:37:35,2027-03-27T20:36:35,27214364206;25915721329;26551077350;27214359347;26096914959;26096449499;26498489302;25915751629;26551076193;26499384424;24644032362,"C=US, O=Let's Encrypt, CN=R12;C=US, O=Let's Encrypt, CN=YR1;C=US, O=Let's Encrypt, CN=R13;C=US, O=IdenTrust, OU=HydrantID Trusted Certificate Service, CN=HydrantID Server CA O1"
