domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
01.directpay.irs.gov,No,Yes,1,1,2025-04-03T09:57:33,2026-05-02T04:00:00,17601644536,"C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
03.directpay.irs.gov,No,Yes,3,1,2025-05-09T13:25:11,2026-06-09T04:00:00,18308575567;18308588505;18308588894,"C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
1042sdi.for.irs.gov,Yes,Yes,2,1,2025-04-28T00:00:00,2026-05-27T23:59:59,18098837388;18099363365,"C=US, O=Amazon, CN=Amazon RSA 2048 M03"
3mgc.irs.gov,Yes,Yes,2,1,2025-10-10T00:00:00,2026-11-10T23:59:59,21623785575;21623776238,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
3mge.irs.gov,Yes,Yes,2,1,2025-10-10T00:00:00,2026-11-10T23:59:59,21628153674;21628177273,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
3mgw.irs.gov,Yes,Yes,2,1,2025-08-04T00:00:00,2026-09-04T23:59:59,20114287817;20114287968,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
Dev.connect.irs.gov,Yes,Yes,1,1,2025-04-02T19:13:43,2026-05-02T04:00:00,17587597130,"C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
Stageva.connect.irs.gov,Yes,Yes,2,1,2025-04-30T14:31:45,2026-05-30T04:00:00,18146818285;21574444480,"C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
Test.connect.irs.gov,Yes,Yes,1,1,2025-04-02T19:13:43,2026-05-02T04:00:00,17587597571,"C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
Testva.connect.irs.gov,Yes,Yes,2,1,2025-04-30T14:31:45,2026-05-30T04:00:00,18146818094;21574466290,"C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
Va.connect.irs.gov,Yes,Yes,2,1,2025-04-30T14:31:45,2026-05-30T04:00:00,21574454370;18146817423,"C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
act01.for.irs.gov,No,Yes,2,1,2025-08-07T00:00:00,2026-09-07T23:59:59,20177113801;20177114233,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
act02.for.irs.gov,No,Yes,2,1,2025-08-07T00:00:00,2026-09-07T23:59:59,20177113801;20177114233,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
act03.for.irs.gov,No,Yes,2,1,2025-08-07T00:00:00,2026-09-07T23:59:59,20177113801;20177114233,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
act04.for.irs.gov,No,Yes,2,1,2025-08-07T00:00:00,2026-09-07T23:59:59,20177113801;20177114233,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
api.alt.www4.irs.gov,No,Yes,8,2,2025-08-18T00:00:00,2026-10-22T23:59:59,21889874317;21889879908;20406649087;23458001565;20406673193;23458004923;21918709502;21918726571,"C=US, O=Let's Encrypt, CN=R13;C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
api.www4.irs.gov,No,Yes,8,3,2025-08-18T00:00:00,2026-10-22T23:59:59,20406701469;21889236422;21889233567;23457558242;20406702073;23457567565;21918709502;21918726571,"C=US, O=Let's Encrypt, CN=R12;C=US, O=Let's Encrypt, CN=R13;C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
apialteite.www4.irs.gov,No,Yes,2,1,2025-12-11T10:54:16,2026-03-11T10:54:15,23053272275;23053253385,"C=US, O=Let's Encrypt, CN=R12"
apieite.www4.irs.gov,No,Yes,2,1,2025-12-11T10:54:16,2026-03-11T10:54:15,23053272275;23053253385,"C=US, O=Let's Encrypt, CN=R12"
apipete.www4.irs.gov,No,Yes,2,1,2025-12-11T10:54:16,2026-03-11T10:54:15,23053272275;23053253385,"C=US, O=Let's Encrypt, CN=R12"
apps.irs.gov,No,Yes,8,2,2025-10-28T08:43:21,2026-11-17T23:59:59,22058836635;22230716331;22058840093;23583630870;22544615554;22544633128;23583627624;22230696414,"C=US, O=Let's Encrypt, CN=R13;C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
apps.perf.irs.gov,No,Yes,6,3,2025-08-18T00:00:00,2026-08-18T23:59:59,20408725868;21944962154;23496542309;20408725662;23496561522;21944967867,"C=US, O=Let's Encrypt, CN=R12;C=US, O=Let's Encrypt, CN=R13;C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
apps.perfstaging.irs.gov,No,Yes,6,3,2025-08-18T00:00:00,2026-08-18T23:59:59,20408725868;21944962154;23496542309;20408725662;23496561522;21944967867,"C=US, O=Let's Encrypt, CN=R12;C=US, O=Let's Encrypt, CN=R13;C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
ar.taxpayeradvocate.irs.gov,No,Yes,2,1,2025-11-09T04:33:49,2026-02-07T04:33:48,22328619914;22328620147,"C=US, O=Let's Encrypt, CN=R12"
assistance-dev.for.irs.gov,Yes,Yes,2,1,2025-12-01T23:00:46,2026-03-01T23:00:45,22852144646;22852148764,"C=US, O=Let's Encrypt, CN=R13"
assistance-load.for.irs.gov,Yes,Yes,4,2,2025-10-09T21:00:42,2026-03-08T23:00:54,22990494206;22990456155;21608890231;21608893121,"C=US, O=Let's Encrypt, CN=R12;C=US, O=Let's Encrypt, CN=R13"
