domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
GRANTSNET.JUSTICE.GOV,Yes,Yes,1,1,2025-09-18T00:00:00,2026-10-19T23:59:59,21111023416,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
STS-DEV.eoir.justice.gov,Yes,Yes,1,1,2025-01-23T00:00:00,2026-01-22T23:59:59,16375503012,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
UAT.GRANTSNET.JUSTICE.GOV,Yes,Yes,1,1,2025-09-18T00:00:00,2026-10-19T23:59:59,21111023174,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
USAWIFI.JUSTICE.GOV,Yes,Yes,1,1,2025-07-22T00:00:00,2026-07-21T23:59:59,19838621637,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
akamai-staging.justice.gov,No,Yes,3,1,2025-05-30T00:00:00,2026-02-27T23:59:59,22595998396;22598503820;18716695565,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
authoring.usaflix.justice.gov,No,Yes,1,1,2025-09-25T00:00:00,2026-09-24T23:59:59,21272749084,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
case-access.eoir.justice.gov,No,Yes,2,1,2025-01-23T00:00:00,2026-01-22T23:59:59,22504403421;16375541828,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
certauth.STS.EOIR.JUSTICE.GOV,No,Yes,2,1,2025-01-23T00:00:00,2026-01-22T23:59:59,22504502398;16375504075,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
certauth.sts-dev.EOIR.JUSTICE.GOV,No,Yes,1,1,2025-01-23T00:00:00,2026-01-22T23:59:59,16375503012,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
civ.justice.gov,No,Yes,17,8,2025-09-02T13:32:36,2026-02-10T17:07:07,20746155808;22416941973;20746836675;22288454189;20746337311;22288460489;20746156878;22416958166;22417072553;22417052129;22288454970;20746832751;20746410055;22288488680;22417015692;22417068897;22417018297,"C=US, O=Let's Encrypt, CN=R12;C=US, O=SSL Corporation, CN=Cloudflare TLS Issuing RSA CA 3;C=US, O=Google Trust Services, CN=WR1;C=US, O=""CLOUDFLARE, INC."", CN=Cloudflare TLS Issuing ECC CA 1;C=US, O=""CLOUDFLARE, INC."", CN=Cloudflare TLS Issuing RSA CA 1;C=US, O=Google Trust Services, CN=WE1;C=US, O=Let's Encrypt, CN=E8;C=US, O=SSL Corporation, CN=Cloudflare TLS Issuing ECC CA 3"
civilrights.justice.gov,Yes,Yes,2,1,2025-10-15T11:02:11,2026-01-13T11:02:10,21736241775;21736245994,"C=US, O=Let's Encrypt, CN=R13"
connect-mobile.justice.gov,Yes,Yes,2,1,2025-02-19T00:00:00,2026-02-18T23:59:59,22508541566;16772408961,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
connect-portal.justice.gov,Yes,Yes,2,1,2025-02-28T00:00:00,2026-02-27T23:59:59,22510207936;16873603856,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
connect.justice.gov,Yes,Yes,2,1,2025-02-19T00:00:00,2026-02-18T23:59:59,16769495247;22508665933,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
connect3.justice.gov,Yes,Yes,2,1,2025-02-19T00:00:00,2026-02-18T23:59:59,16769493456;22508666491,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
cora.civ.justice.gov,Yes,Yes,2,1,2025-03-19T00:00:00,2026-03-19T23:59:59,17242125563;17273621057,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
