domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
aaa.loc.gov,Yes,Yes,14,7,2026-05-18T00:00:00,2026-12-01T23:59:59,28767841736;28035055626;28767844776;28035229027;28035041770;26427219493;28035227689;28765904154;28767843904;28035061812;28035052879;28035234019;28765904613;28035231661,"C=US, O=Let's Encrypt, CN=YR1;C=US, O=Google Trust Services, CN=WR1;C=US, O=Let's Encrypt, CN=YE2;C=US, O=Google Trust Services, CN=WE1;C=US, O=Let's Encrypt, CN=YE1;C=US, O=Let's Encrypt, CN=YR2;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
accmg2.loc.gov,Yes,Yes,2,2,2026-08-11T22:15:27,2026-11-09T23:15:33,28754567145;28754610027,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
acfdc2.lib.loc.gov,Yes,Yes,2,1,2025-10-16T00:00:00,2026-10-16T23:59:59,21761157420;21761118369,"C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
acs-staging.loc.gov,Yes,Yes,5,2,2026-08-11T22:41:02,2026-11-10T00:05:42,28755675221;28755101037;29180954503;28755130563;28755643377,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
aga1.loc.gov,Yes,Yes,3,2,2026-08-11T22:13:09,2026-11-09T23:13:15,28754555492;28754514045;28754526412,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
annotation.labs.loc.gov,Yes,Yes,1,1,2026-07-14T00:00:00,2027-01-27T23:59:59,27922805105,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
anywhere-adventures.labs.loc.gov,Yes,Yes,1,1,2026-05-17T00:00:00,2026-11-30T23:59:59,26400764583,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
api.bard-staging.loc.gov,Yes,Yes,3,3,2026-07-13T00:00:00,2027-01-26T23:59:59,28825077242;28840750306;27891616018,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
api.dlsreporting.loc.gov,Yes,Yes,7,4,2025-09-01T00:00:00,2027-02-15T23:59:59,20717102080;28771106356;28771644777;28768429671;28774678091;28454582345;28768440233,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
api.nlsbard.loc.gov,Yes,Yes,5,3,2026-07-15T00:00:00,2027-01-28T23:59:59,28857529798;27945061263;28838225803;28867422325;28813143093,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
api.nlsbardpractice.loc.gov,Yes,Yes,1,1,2026-02-17T00:00:00,2027-03-18T23:59:59,24460668855,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
api.repo.loc.gov,No,Yes,4,3,2026-04-13T00:00:00,2026-10-27T23:59:59,27649419145;25814468214;27649440637;27815710594,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
ask.loc.gov,Yes,Yes,2,1,2026-08-10T05:06:40,2026-11-08T05:06:39,28696829256;28696836401,"C=US, O=Let's Encrypt, CN=YR2"
authorities-staging.loc.gov,Yes,Yes,4,3,2026-06-24T00:00:00,2027-01-07T23:59:59,29141182205;27436233683;28758537780;28758589399,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
authorities.loc.gov,Yes,Yes,7,3,2026-07-13T00:00:00,2027-01-26T23:59:59,28457858824;28459821530;27889183659;28512504389;28459805780;28457851328;28457912937,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
autodiscover.lib.loc.gov,No,Yes,2,1,2026-08-18T00:00:00,2027-03-04T23:59:59,28804296387;28842918033,"C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
autodiscover.loc.gov,No,Yes,2,1,2026-08-18T00:00:00,2027-03-04T23:59:59,28804296387;28842918033,"C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
avc9.loc.gov,Yes,Yes,4,2,2026-08-11T22:44:18,2026-11-10T00:09:19,28755198791;28755790436;28755168625;28756154489,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
bard-old.loc.gov,Yes,Yes,4,2,2026-08-12T21:32:18,2026-11-11T00:07:05,28790792755;28798451787;28795099277;28798447213,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
bard-prod.loc.gov,Yes,Yes,6,3,2026-02-04T00:00:00,2027-03-04T23:59:59,28755777125;28755179471;28755780102;28756395874;24170907895;28755168364,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
bard-staging.loc.gov,Yes,Yes,13,4,2026-06-15T00:00:00,2027-03-17T23:59:59,27839781264;27359917162;28902755847;28754532073;29213086144;29212406659;28963088374;29032945196;27359577142;27359584326;27839774591;27206623997;28754532072,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
bard.loc.gov,Yes,Yes,5,3,2026-02-04T00:00:00,2027-03-04T23:59:59,28755533622;24170907895;28755058034;28755031542;28755939236,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
bcs.pics2.loc.gov,Yes,Yes,6,2,2026-08-13T07:52:50,2026-11-11T12:43:13,28792825103;28821956872;29158872005;28821565692;28830561892;28806713311,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
