domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
alpha.sam.gov,Yes,Yes,4,2,2025-01-08T17:04:59,2026-05-19T23:59:59,18459253991;16096400763;16782577701;19518226964,"C=US, O=SSL Corporation, CN=Entrust EV TLS Issuing RSA CA 1;C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
alpha2.sam.gov,Yes,Yes,4,2,2025-01-07T18:17:07,2026-05-19T23:59:59,19518692264;18459285861;18459313605;16074881710,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
alphareporting.sam.gov,Yes,Yes,5,3,2024-10-23T16:29:42,2026-05-15T23:59:59,15057001395;19518625268;16781820174;18445552568;15176693703,"C=US, O=SSL Corporation, CN=Entrust EV TLS Issuing RSA CA 1;C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2014 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1M"
api-alpha-test.sam.gov,Yes,Yes,2,2,2025-04-25T12:41:25,2026-05-19T23:59:59,18459180772;18056068575,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
api-alpha.sam.gov,Yes,Yes,5,2,2025-01-07T18:19:11,2026-05-19T23:59:59,19518411946;16074911284;18459284033;16782545471;16096534402,"C=US, O=SSL Corporation, CN=Entrust EV TLS Issuing RSA CA 1;C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
api.sam.gov,Yes,Yes,4,2,2025-01-08T17:13:59,2026-05-19T23:59:59,19517615776;16782545471;18459242352;16096534402,"C=US, O=SSL Corporation, CN=Entrust EV TLS Issuing RSA CA 1;C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
charlie.sam.gov,Yes,Yes,2,1,2025-05-17T00:00:00,2026-05-19T23:59:59,18459356041;19518331403,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
cio.gov,Yes,No,2,1,2025-06-26T00:00:00,2026-07-19T23:59:59,19727134099;19267054406,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
github-legacy.sam.gov,Yes,Yes,2,2,2025-02-18T17:03:45,2026-05-19T23:59:59,18468175444;16766487007,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
icharlie.sam.gov,Yes,Yes,2,2,2024-08-21T12:34:59,2026-05-19T23:59:59,18468095786;14229498636,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2012 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1K"
iprod.sam.gov,Yes,Yes,3,2,2025-05-16T00:00:00,2026-05-19T23:59:59,18445912778;18485219623;18447534179,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
iuat.sam.gov,Yes,Yes,1,1,2025-05-02T00:00:00,2026-05-01T23:59:59,18183850489,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
iuat2.sam.gov,Yes,Yes,1,1,2025-05-17T00:00:00,2026-05-19T23:59:59,18467887660,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
jemkins-npbackup-legacy.sam.gov,No,Yes,1,1,2025-05-17T00:00:00,2026-05-19T23:59:59,18468160778,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
jenkins-np-legacy.sam.gov,Yes,Yes,2,2,2025-02-19T22:21:02,2026-05-19T23:59:59,18468201403;16774512139,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
jenkins-npbackup-legacy.sam.gov,Yes,Yes,2,2,2025-03-29T13:26:28,2026-05-19T23:59:59,18468160778;17490794544,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
