domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
1.usa.gov,Yes,Yes,4,2,2026-04-03T20:21:17,2026-08-31T20:21:07,26838138923;25377405139;26838137955;25373151798,"C=US, O=Let's Encrypt, CN=R13;C=US, O=Let's Encrypt, CN=YR1"
analytics.usa.gov,Yes,Yes,4,2,2026-04-07T19:21:17,2026-09-04T19:21:07,26948971267;25412033070;25622001820;26948968553,"C=US, O=Let's Encrypt, CN=YR2;C=US, O=Let's Encrypt, CN=R13"
answers.usa.gov,Yes,Yes,4,2,2026-04-10T20:30:50,2026-09-07T20:21:06,25473344813;27032822672;25711872897;27032821174,"C=US, O=Let's Encrypt, CN=R13;C=US, O=Let's Encrypt, CN=YR1"
api-proxy-dev.usa.gov,Yes,Yes,4,2,2026-04-06T16:21:17,2026-09-03T16:21:06,25421581379;26918845179;26918850366;25570210326,"C=US, O=Let's Encrypt, CN=YR2;C=US, O=Let's Encrypt, CN=R12"
api-proxy-stage.usa.gov,Yes,Yes,4,2,2026-04-06T18:21:16,2026-09-03T18:21:06,25672938504;26921282372;26921290648;25423243451,"C=US, O=Let's Encrypt, CN=R13;C=US, O=Let's Encrypt, CN=YR1"
api-proxy.usa.gov,Yes,Yes,4,2,2026-04-06T19:21:17,2026-09-03T19:21:07,26922531286;25381297438;26922531867;25675339205,"C=US, O=Let's Encrypt, CN=YR2;C=US, O=Let's Encrypt, CN=R12"
api.usa.gov,Yes,Yes,4,2,2026-04-12T19:30:51,2026-09-09T20:51:11,27100770624;25541478099;27100778909;25572656463,"C=US, O=Let's Encrypt, CN=R12;C=US, O=Let's Encrypt, CN=YR1"
apps.usa.gov,Yes,Yes,4,2,2026-04-10T20:20:51,2026-09-07T20:21:06,25465251203;27032823485;27032821172;25492292959,"C=US, O=Let's Encrypt, CN=R12;C=US, O=Let's Encrypt, CN=YR1"
benefits-tool.usa.gov,Yes,Yes,2,1,2026-05-14T17:21:21,2026-08-12T17:21:20,26340152964;26340151498,"C=US, O=Let's Encrypt, CN=R13"
beta-dev.usa.gov,No,Yes,2,1,2026-04-28T19:20:36,2026-07-27T19:20:35,25889367140;25889355504,"C=US, O=Let's Encrypt, CN=R12"
beta-dr.usa.gov,Yes,Yes,4,1,2026-03-25T19:20:56,2026-08-22T19:21:32,25219248566;25219222729;26611910568;26611913456,"C=US, O=Let's Encrypt, CN=R12"
beta-stage.usa.gov,Yes,Yes,4,2,2026-03-29T23:20:55,2026-08-26T23:20:56,26718954732;25281064840;25281047510;26718957364,"C=US, O=Let's Encrypt, CN=R12;C=US, O=Let's Encrypt, CN=YR1"
beta.usa.gov,Yes,Yes,2,1,2026-05-18T22:21:21,2026-08-16T22:21:20,26450384084;26450395072,"C=US, O=Let's Encrypt, CN=R13"
blog.usa.gov,Yes,Yes,2,1,2026-05-09T17:21:16,2026-08-07T17:21:15,26211184087;26211157945,"C=US, O=Let's Encrypt, CN=R12"
business.usa.gov,Yes,Yes,4,2,2026-04-10T19:20:51,2026-09-07T19:21:06,25755725585;25525273860;27031701928;27031701675,"C=US, O=Let's Encrypt, CN=R13;C=US, O=Let's Encrypt, CN=YR1"
cms-dev.usa.gov,Yes,Yes,2,1,2026-04-28T19:20:36,2026-07-27T19:20:35,25889367140;25889355504,"C=US, O=Let's Encrypt, CN=R12"
cms-dr.usa.gov,Yes,Yes,4,2,2026-03-25T19:20:56,2026-08-22T19:21:32,25219249733;25219223523;26611908550;26611915959,"C=US, O=Let's Encrypt, CN=R13;C=US, O=Let's Encrypt, CN=R12"
