domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
Wwwns.vaccines.gov,No,Yes,15,2,2024-07-08T00:00:00,2026-05-12T23:59:59,17583594475;15067121588;16452590451;17586847017;13807956868;17589651845;17586518642;14063655052;17608484086;13661657130;13805450918;18958352008;18316414351;17584234465;15067435387,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
es.vaccines.gov,Yes,Yes,4,1,2025-05-09T22:27:56,2025-09-02T14:44:22,18808077735;18315914183;18808076272;18315914177,"C=US, O=Let's Encrypt, CN=E6"
origin.vaccines.gov,No,Yes,4,2,2024-08-08T14:04:02,2026-01-17T12:53:29,17882313980;16417334641;14048011405;15045066452,"C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2012 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1K;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
vaccines.gov,No,Yes,14,4,2024-08-08T14:04:02,2026-05-12T23:59:59,17583594475;14048011405;16452590451;17586847017;17589651845;16417334641;17586518642;15045066452;17608484086;17882313980;18958352008;18316414351;17584234465;15067435387,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2012 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1K;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
www-new.cdc.gov,Yes,No,1,1,2025-06-20T10:54:43,2026-06-19T12:39:57,19135437207,"C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
www-new.vaccines.gov,No,Yes,1,1,2025-06-20T10:54:43,2026-06-19T12:39:57,19135437207,"C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
www.cdc.gov,Yes,No,20,4,2024-07-08T00:00:00,2026-06-19T12:47:34,17583594475;16452590451;14063655052;13661657130;18316414351;19135433419;13807956868;16417334641;15045066452;17608484086;13805450918;18958352008;14048011405;17586518642;15067435387;15067121588;17589651845;17882313980;17586847017;17584234465,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2012 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1K;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
www.staging-new.vaccines.gov,No,Yes,1,1,2025-06-20T10:54:43,2026-06-19T12:39:57,19135437207,"C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
www.staging.vaccines.gov,No,Yes,5,2,2024-08-08T14:04:02,2026-06-19T12:47:34,14048011405;19135433419;16417334641;15045066452;17882313980,"C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2012 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1K;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
www.vaccines.gov,No,Yes,20,4,2024-07-08T00:00:00,2026-06-19T12:47:34,17583594475;16452590451;14063655052;13661657130;18316414351;19135433419;13807956868;16417334641;15045066452;17608484086;13805450918;18958352008;14048011405;17586518642;15067435387;15067121588;17589651845;17882313980;17586847017;17584234465,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2012 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1K;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
