domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
airquality-x.weather.gov,No,Yes,1,1,2025-02-03T00:00:00,2026-03-05T23:59:59,16483351287,"C=US, O=Amazon, CN=Amazon RSA 2048 M02"
airquality.weather.gov,No,Yes,1,1,2025-02-03T00:00:00,2026-03-05T23:59:59,16483351287,"C=US, O=Amazon, CN=Amazon RSA 2048 M02"
alerts-v2.weather.gov,No,Yes,5,3,2025-04-12T00:00:00,2026-04-15T23:59:59,20898240710;19266653312;20898241036;19266653644;17794028240,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=R13"
alerts.weather.gov,No,Yes,5,3,2025-04-12T00:00:00,2026-04-15T23:59:59,20898240710;19266653312;20898241036;19266653644;17794028240,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=R13"
api.weather.gov,No,Yes,5,3,2025-04-12T00:00:00,2026-04-15T23:59:59,20898240710;19266653312;20898241036;19266653644;17794028240,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=R13"
beta.weather.gov,Yes,Yes,4,2,2025-07-08T21:20:53,2025-12-05T21:21:31,20837707077;20838359687;19537619365;19537611278,"C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=R13"
digital-x.weather.gov,No,Yes,1,1,2025-02-03T00:00:00,2026-03-05T23:59:59,16483351287,"C=US, O=Amazon, CN=Amazon RSA 2048 M02"
digital.weather.gov,Yes,Yes,1,1,2025-02-03T00:00:00,2026-03-05T23:59:59,16483351287,"C=US, O=Amazon, CN=Amazon RSA 2048 M02"
forecast.weather.gov,No,Yes,5,3,2025-04-12T00:00:00,2026-04-15T23:59:59,20898240710;19266653312;20898241036;19266653644;17794028240,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=R13"
ftp.ocean.weather.gov,No,Yes,2,1,2025-08-04T19:05:22,2025-11-02T19:05:21,20118345884;20118349381,"C=US, O=Let's Encrypt, CN=R11"
