domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
Executive Office of the President,Yes,No,2,1,2025-05-06T00:00:00,2026-05-06T23:59:59,18265971321;18305926719,"C=US, O=""DigiCert, Inc."", CN=DigiCert Verified Mark RSA4096 SHA256 2021 CA1"
apply.whitehouse.gov,Yes,Yes,1,1,2025-12-02T00:00:00,2027-01-02T23:59:59,22869104475,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
events.whitehouse.gov,Yes,Yes,1,1,2025-12-02T00:00:00,2027-01-02T23:59:59,22869153720,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
fellows.whitehouse.gov,No,Yes,2,1,2025-04-01T00:00:00,2027-02-14T23:59:59,17543021841;24386374050,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
joinus.whitehouse.gov,Yes,Yes,2,1,2026-01-01T15:49:00,2026-04-01T15:48:59,23498226681;23498229957,"C=US, O=Let's Encrypt, CN=E8"
tours.whitehouse.gov,Yes,Yes,5,3,2025-11-25T12:36:15,2027-01-02T23:59:59,23989603520;22724336952;23989613725;22724338190;22869122078,"C=US, O=Let's Encrypt, CN=E7;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=Let's Encrypt, CN=E8"
uis.uat.usajobs.gov,Yes,No,2,1,2025-04-01T00:00:00,2027-02-14T23:59:59,17543021841;24386374050,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
visit.whitehouse.gov,Yes,Yes,2,1,2026-01-15T17:50:28,2026-04-15T17:50:27,23787517761;23787535254,"C=US, O=Let's Encrypt, CN=E7"
whitehouse.gov,Yes,Yes,11,5,2025-05-06T00:00:00,2026-05-06T23:59:59,22941135502;24136326196;24010138193;22941135573;24010130828;24136325798;22746958339;23359584272;18265971321;22743867270;18305926719,"C=US, O=""DigiCert, Inc."", CN=DigiCert Verified Mark RSA4096 SHA256 2021 CA1;C=US, O=Let's Encrypt, CN=E8;C=US, O=Let's Encrypt, CN=E7;C=US, O=Google Trust Services, CN=WE1;C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA DV E36"
www.whitehouse.gov,No,Yes,4,2,2025-11-26T11:12:09,2026-04-27T10:13:59,22746958339;24010138193;22743867270;24010130828,"C=US, O=Let's Encrypt, CN=E7;C=US, O=Let's Encrypt, CN=E8"
