timestamp,link_request,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,host_ip,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains,cpe,wordpress.Plugins,wordpress.Themes
2026-07-10T12:22:40.004159186Z,null,null,aws,cloud,,443,https://declaration250.archives.gov,declaration250.archives.gov,https://www.archives.gov/freedom250,302 Found,https,,nginx,,text/html,GET,declaration250.archives.gov,52.44.89.206,/,,,,,,116.917667ms,,null,"[""52.44.89.206"",""52.206.136.3""]","[""2600:1f18:43e8:f301:9046:c05f:75e7:c481"",""2600:1f18:43e8:f302:b470:d266:4d03:3ed8""]",null,"[""HSTS"",""Nginx""]",3,7,302,138,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""1.1.1.1:53""]",null,null,null,,
2026-07-10T12:22:40.028843683Z,null,null,aws,cloud,,443,https://clintonlibrary.gov,clintonlibrary.gov,https://www.clintonlibrary.gov/,302 Found,https,,nginx,,text/html,GET,clintonlibrary.gov,52.44.89.206,/,,,,,,141.891306ms,,null,"[""52.44.89.206"",""52.206.136.3""]","[""2600:1f18:43e8:f301:9046:c05f:75e7:c481"",""2600:1f18:43e8:f302:b470:d266:4d03:3ed8""]",null,"[""HSTS"",""Nginx""]",3,7,302,138,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53""]",null,null,null,,
2026-07-10T12:22:40.029256039Z,null,null,aws,cloud,,443,https://archives.gov,archives.gov,https://www.archives.gov/,301 Moved Permanently,https,,nginx,,text/html,GET,archives.gov,52.44.89.206,/,,,,,,142.08473ms,,null,"[""52.44.89.206"",""52.206.136.3""]","[""2600:1f18:43e8:f302:b470:d266:4d03:3ed8"",""2600:1f18:43e8:f301:9046:c05f:75e7:c481""]",null,"[""HSTS"",""Nginx""]",5,7,301,162,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""127.0.0.53:53""]",null,null,null,,
2026-07-10T12:22:40.051760561Z,null,null,aws,cloud,,443,https://alb.test-om.nac-mvp.archives.gov,alb.test-om.nac-mvp.archives.gov,,403 Forbidden,https,,awselb/2.0,,text/html,GET,alb.test-om.nac-mvp.archives.gov,35.171.219.188,/,,,,,,163.623873ms,,null,"[""35.171.219.188"",""100.48.146.182""]",null,"[""alb-test-om-1984272869.us-east-1.elb.amazonaws.com""]","[""Amazon ELB"",""Amazon Web Services""]",3,6,403,118,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53""]",null,null,null,,
2026-07-10T12:22:40.067664728Z,null,null,aws,cloud,,443,https://alb.dev.nac-mvp.archives.gov,alb.dev.nac-mvp.archives.gov,,403 Forbidden,https,,awselb/2.0,,text/html,GET,alb.dev.nac-mvp.archives.gov,75.101.146.123,/,,,,,,179.779157ms,,null,"[""35.174.146.82"",""75.101.146.123""]",null,"[""alb-dev-1661412271.us-east-1.elb.amazonaws.com""]","[""Amazon ELB"",""Amazon Web Services""]",3,6,403,118,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""1.0.0.1:53""]",null,null,null,,
2026-07-10T12:22:40.111130352Z,null,null,aws,cloud,,443,https://blogs.archives.gov,blogs.archives.gov,https://www.archives.gov/social-media/blogs,302 Moved,https,,,,text/html,GET,blogs.archives.gov,3.210.108.33,/,,,,,,222.694167ms,,null,"[""3.210.108.33"",""52.91.127.149""]","[""2600:1f18:43e8:f301:e57f:33a:b9cf:5c43"",""2600:1f18:43e8:f302:5674:df23:d1eb:73a""]",null,null,15,16,302,332,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.4.4:53""]",null,null,null,,
2026-07-10T12:22:40.116185913Z,null,null,aws,cloud,,443,https://blogs.qa.archives.gov,blogs.qa.archives.gov,https://blogs.qa.archives.gov/nara-login/?destination=/?,302 Found,https,,,,text/html,GET,blogs.qa.archives.gov,98.84.249.211,/,,,,,,221.466312ms,,null,"[""98.84.249.211"",""52.202.156.18""]",null,null,null,60,13,302,794,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.0.0.1:53""]",null,null,null,,
2026-07-10T12:22:40.126299557Z,null,null,cloudfront,cdn,,443,https://archieai-pilot.archives.gov,archieai-pilot.archives.gov,,NARA - ArchieAI,https,,AmazonS3,,text/html,GET,archieai-pilot.archives.gov,18.160.200.124,/,,,,,,208.027507ms,,null,"[""18.160.200.25"",""18.160.200.105"",""18.160.200.63"",""18.160.200.124""]",null,"[""d1gkf9aa7otf2a.cloudfront.net""]","[""Amazon CloudFront"",""Amazon S3"",""Amazon Web Services"",""Google Tag Manager""]",176,34,200,1240,false,false,false,true,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.8.8:53""]",null,null,null,,
2026-07-10T12:22:40.137542661Z,null,null,,,,443,https://arcis.archives.gov,arcis.archives.gov,https://arcis.archives.gov/arcis,302 Found,https,,Oracle-HTTP-Server-11g,,text/html,GET,arcis.archives.gov,207.245.165.133,/,,,,,,249.433525ms,,null,"[""207.245.165.133""]",null,null,"[""HSTS"",""Oracle HTTP Server""]",15,7,302,243,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.4.4:53""]",null,null,null,,
2026-07-10T12:22:40.142381256Z,null,null,aws,cloud,,443,https://d250.archives.gov,d250.archives.gov,https://www.archives.gov/freedom250,302 Found,https,,nginx,,text/html,GET,d250.archives.gov,52.44.89.206,/,,,,,,254.172157ms,,null,"[""52.44.89.206"",""52.206.136.3""]","[""2600:1f18:43e8:f302:b470:d266:4d03:3ed8"",""2600:1f18:43e8:f301:9046:c05f:75e7:c481""]",null,"[""HSTS"",""Nginx""]",3,7,302,138,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""127.0.0.53:53""]",null,null,null,,
2026-07-10T12:22:40.154497032Z,null,null,aws,cloud,,443,https://clintonwhitehouse4.archives.gov,clintonwhitehouse4.archives.gov,,Welcome To The White House,https,,,,text/html,GET,clintonwhitehouse4.archives.gov,32.199.99.208,/,,,,,,162.021646ms,,null,"[""32.199.99.208"",""23.22.6.33""]","[""2600:1f18:43e8:f302:a9d7:f5df:f22d:ad03"",""2600:1f18:43e8:f301:f57b:71c:298a:c309""]",null,"[""Google Tag Manager"",""HSTS""]",1032,264,200,13206,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53""]",null,null,null,,
2026-07-10T12:22:40.173400913Z,null,null,aws,cloud,,443,https://clintonwhitehouse3.archives.gov,clintonwhitehouse3.archives.gov,,Welcome To The White House,https,,,,text/html,GET,clintonwhitehouse3.archives.gov,23.22.6.33,/,,,,,,161.634266ms,,null,"[""23.22.6.33"",""32.199.99.208""]","[""2600:1f18:43e8:f302:a9d7:f5df:f22d:ad03"",""2600:1f18:43e8:f301:f57b:71c:298a:c309""]",null,"[""Google Tag Manager"",""HSTS""]",1416,398,200,10531,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53""]",null,null,null,,
2026-07-10T12:22:40.190161942Z,null,null,aws,cloud,,443,https://alb.test-dme.nac-mvp.archives.gov,alb.test-dme.nac-mvp.archives.gov,,403 Forbidden,https,,awselb/2.0,,text/html,GET,alb.test-dme.nac-mvp.archives.gov,98.95.188.16,/,,,,,,302.255365ms,,null,"[""52.3.171.85"",""98.95.188.16""]",null,"[""alb-test-dme-1047948591.us-east-1.elb.amazonaws.com""]","[""Amazon ELB"",""Amazon Web Services""]",3,6,403,118,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null,null,,
