timestamp,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains
2025-09-08T12:02:47.882775968Z,null,,,,443,https://alb.catalog.archives.gov,alb.catalog.archives.gov,,,https,,,,text/html,GET,3.82.124.162,/,,,,,,62.424783ms,,null,"[""34.194.42.74"",""3.82.124.162""]",null,null,"[""Express"",""Node.js""]",3,1,404,13,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.8.8:53""]",null,null
2025-09-08T12:02:47.901262328Z,null,,,,443,https://blogs.archives.gov,blogs.archives.gov,https://www.archives.gov/social-media/blogs,302 Moved,https,,,,text/html,GET,54.204.72.53,/,,,,,,76.443478ms,,null,"[""34.205.107.80"",""54.204.72.53""]","[""2600:1f18:43e8:f301:2ceb:cd63:15e8:1842"",""2600:1f18:43e8:f302:7069:4034:387d:efc0""]",null,null,15,16,302,332,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.4.4:53""]",null,null
2025-09-08T12:02:47.903126244Z,null,,,,443,https://civilrightscoldcases.archives.gov,civilrightscoldcases.archives.gov,https://crcca.archives.gov/,302 Found,https,,nginx,,text/html,GET,52.44.89.206,/,,,,,,78.829446ms,,null,"[""52.44.89.206"",""52.206.136.3""]","[""2600:1f18:43e8:f302:b470:d266:4d03:3ed8"",""2600:1f18:43e8:f301:9046:c05f:75e7:c481""]",null,"[""HSTS"",""Nginx""]",3,7,302,138,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.0.0.1:53""]",null,null
2025-09-08T12:02:47.917895224Z,null,cloudfront,cdn,,443,https://das.archives.gov,das.archives.gov,,ERROR: The request could not be satisfied,https,,CloudFront,,text/html,GET,3.167.112.15,/,,,,,,93.541835ms,,null,"[""3.167.112.62"",""3.167.112.105"",""3.167.112.47"",""3.167.112.15""]",null,null,"[""Amazon CloudFront"",""Amazon Web Services""]",101,20,403,986,false,false,false,true,false,false,,null,,,,"[""1.0.0.1:53""]",null,null
2025-09-08T12:02:47.922356805Z,null,,,,443,https://aad.archives.gov,aad.archives.gov,http://aad.archives.gov/aad/index.jsp,,https,,,,,GET,18.204.102.37,/,,,,,,103.686427ms,,null,"[""18.204.102.37""]","[""2620:0:2b0:10f2::112""]",null,"[""HSTS""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null
2025-09-08T12:02:47.927808653Z,null,,,,443,https://alb.dev-om.nac-mvp.archives.gov,alb.dev-om.nac-mvp.archives.gov,,403 Forbidden,https,,awselb/2.0,,text/html,GET,52.6.106.127,/,,,,,,107.661922ms,,null,"[""52.6.106.127"",""44.219.95.125""]",null,"[""alb-dev-om-201426299.us-east-1.elb.amazonaws.com""]","[""Amazon ELB"",""Amazon Web Services""]",3,6,403,118,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.4.4:53""]",null,null
2025-09-08T12:02:47.931653648Z,null,cloudfront,cdn,,443,https://archie.archives.gov,archie.archives.gov,,NARA - ArchieAI,https,,AmazonS3,,text/html,GET,18.160.41.120,/,,,,,,100.28868ms,,null,"[""18.160.41.108"",""18.160.41.128"",""18.160.41.120"",""18.160.41.113""]",null,"[""d1gkf9aa7otf2a.cloudfront.net""]","[""Amazon CloudFront"",""Amazon S3"",""Amazon Web Services"",""Google Tag Manager""]",176,34,200,1240,false,false,false,true,false,false,,null,,,,"[""8.8.8.8:53"",""1.1.1.1:53""]",null,null
2025-09-08T12:02:47.941018875Z,null,,,,443,https://blogs.qa.archives.gov,blogs.qa.archives.gov,https://blogs.qa.archives.gov/nara-login/?destination=/?,302 Found,https,,,,text/html,GET,52.2.208.163,/,,,,,,113.138062ms,,null,"[""52.204.177.1"",""52.2.208.163""]",null,null,null,60,13,302,794,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.4.4:53""]",null,null
2025-09-08T12:02:47.941938626Z,null,cloudfront,cdn,,443,https://archieai-pilot.archives.gov,archieai-pilot.archives.gov,,NARA - ArchieAI,https,,AmazonS3,,text/html,GET,18.160.41.108,/,,,,,,107.169113ms,,null,"[""18.160.41.120"",""18.160.41.128"",""18.160.41.113"",""18.160.41.108""]",null,"[""d1gkf9aa7otf2a.cloudfront.net""]","[""Amazon CloudFront"",""Amazon S3"",""Amazon Web Services"",""Google Tag Manager""]",176,34,200,1240,false,false,false,true,false,false,,null,,,,"[""8.8.4.4:53"",""8.8.8.8:53""]",null,null
2025-09-08T12:02:47.945253183Z,null,,,,443,https://alb.test-om.nac-mvp.archives.gov,alb.test-om.nac-mvp.archives.gov,,403 Forbidden,https,,awselb/2.0,,text/html,GET,54.173.125.140,/,,,,,,124.060283ms,,null,"[""54.173.125.140"",""34.225.93.186""]",null,"[""alb-test-om-1984272869.us-east-1.elb.amazonaws.com""]","[""Amazon ELB"",""Amazon Web Services""]",3,6,403,118,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.4.4:53""]",null,null
