timestamp,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains
2025-09-10T11:57:02.457379536Z,null,,,,443,https://atf.gov,atf.gov,https://www.atf.gov/,,https,,,,,GET,149.101.82.14,/,,,,,,145.007712ms,,null,"[""149.101.82.14""]","[""2607:f330:8400:2010:8020::40""]",null,"[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53""]",null,null
2025-09-10T11:57:02.481816586Z,null,,,,443,https://edit.atf.gov,edit.atf.gov,,403 Permission Denied,https,,nginx,,text/html,GET,52.2.107.142,/,,,,,,167.821524ms,,null,"[""52.2.107.142""]",null,null,"[""Nginx"",""Varnish""]",76,17,403,461,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""1.0.0.1:53""]",null,null
2025-09-10T11:57:02.495001739Z,null,cloudfront,cdn,,443,https://search.usa.gov,search.usa.gov,,We're sorry - something went wrong. 403,https,,CloudFront,,text/html,GET,3.167.163.9,/,,,,,,180.832278ms,,null,"[""3.167.163.9"",""3.167.163.92"",""3.167.163.44"",""3.167.163.25""]","[""2600:9000:27da:6a00:a:4fc7:79c0:93a1"",""2600:9000:27da:b600:a:4fc7:79c0:93a1"",""2600:9000:27da:9e00:a:4fc7:79c0:93a1"",""2600:9000:27da:ac00:a:4fc7:79c0:93a1"",""2600:9000:27da:1800:a:4fc7:79c0:93a1"",""2600:9000:27da:1e00:a:4fc7:79c0:93a1"",""2600:9000:27da:2e00:a:4fc7:79c0:93a1"",""2600:9000:27da:a000:a:4fc7:79c0:93a1""]",null,"[""Amazon CloudFront"",""Amazon Web Services"",""HSTS""]",109,22,403,595,false,false,false,true,false,false,,null,,,,"[""127.0.0.53:53"",""8.8.8.8:53""]",null,null
2025-09-10T11:57:02.515651797Z,null,,,,443,https://digital.atf.gov,digital.atf.gov,,,https,,nginx,,text/html,GET,3.210.226.237,/,,,,,,203.412759ms,,null,"[""3.210.226.237""]",null,null,"[""Nginx"",""Varnish""]",2,1,403,17,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53""]",null,null
2025-09-10T11:57:02.518202674Z,null,,,,443,https://edit2.atf.gov,edit2.atf.gov,,403 Permission Denied,https,,nginx,,text/html,GET,52.2.107.142,/,,,,,,205.453045ms,,null,"[""52.2.107.142""]",null,null,"[""Nginx"",""Varnish""]",76,17,403,461,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""8.8.4.4:53""]",null,null
2025-09-10T11:57:02.55960892Z,null,,,,443,https://nvp.airship.atf.gov,nvp.airship.atf.gov,https://g.zpa-auth.net:443/IevTunx4Bg/doauth?origurl=https%3A%2F%2Fnvp%2Eairship%2Eatf%2Egov%3A443%2F,,https,,ZBA/1.0,,text/html,GET,170.85.49.48,/,,,,,,247.372152ms,,null,"[""170.85.49.49"",""170.85.49.48""]","[""2605:4300:2c12:1:8457:671c:d135:1343"",""2605:4300:2c12:0:88e2:60b3:5ef5:51c7""]","[""4013.72057976290017280.h.g.zpa-app.net"",""exporter.zpagov.net"",""exporter.gslb.zpagov.net"",""was3.exporter.gslb.zpagov.net"",""exporter-lb-be09eb149ec1c51f.elb.us-gov-east-1.amazonaws.com""]","[""HSTS""]",0,0,303,0,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53""]",null,null
2025-09-10T11:57:02.604614125Z,null,cloudfront,cdn,,443,https://regulations.atf.gov,regulations.atf.gov,,eRegulations,https,,,,text/html,GET,52.85.12.22,/,,,,,,217.765832ms,,null,"[""52.85.12.27"",""52.85.12.22"",""52.85.12.115"",""52.85.12.104""]","[""2600:9000:2020:8e00:7:aa1c:4200:93a1"",""2600:9000:2020:f400:7:aa1c:4200:93a1"",""2600:9000:2020:8400:7:aa1c:4200:93a1"",""2600:9000:2020:2200:7:aa1c:4200:93a1"",""2600:9000:2020:bc00:7:aa1c:4200:93a1"",""2600:9000:2020:1200:7:aa1c:4200:93a1"",""2600:9000:2020:8800:7:aa1c:4200:93a1"",""2600:9000:2020:9800:7:aa1c:4200:93a1""]","[""d2gjhji0hnkhl4.cloudfront.net""]","[""Amazon CloudFront"",""Amazon S3"",""Amazon Web Services"",""HSTS"",""jQuery:3.5.1""]",4679,408,200,15214,false,false,false,true,false,false,,null,,,,"[""8.8.4.4:53"",""1.0.0.1:53""]",null,null
2025-09-10T11:57:02.608127515Z,null,,,,443,https://nessapp.atf.gov,nessapp.atf.gov,,,https,,Microsoft-IIS/10.0,,,GET,149.101.82.238,/,,,,,,295.543112ms,,null,"[""149.101.82.238""]",null,null,"[""HSTS"",""IIS:10.0"",""Microsoft ASP.NET"",""Windows Server""]",0,0,404,0,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.8.8:53""]",null,null
2025-09-10T11:57:02.622724429Z,null,,,,443,https://felezcheck.atf.gov,felezcheck.atf.gov,/FELEzCheck,,https,,,,,GET,149.101.82.88,/,,,,,,310.430309ms,,null,"[""149.101.82.88""]",null,null,"[""HSTS""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""1.1.1.1:53""]",null,null
2025-09-10T11:57:02.625042906Z,null,,,,443,https://sccmcmg02.atf.gov,sccmcmg02.atf.gov,,,https,,Microsoft-IIS/10.0,,,GET,20.141.143.234,/,,,,,,313.150052ms,,null,"[""20.141.143.234""]",null,"[""sccmcmg02.usgovvirginia.cloudapp.usgovcloudapi.net""]","[""HSTS"",""IIS:10.0"",""Windows Server""]",0,0,500,0,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53""]",null,null
2025-09-10T11:57:02.625958195Z,null,,,,443,https://dev2.atf.gov,dev2.atf.gov,,,https,,nginx,,text/html,GET,52.2.107.142,/,,,,,,315.211723ms,,null,"[""52.2.107.142""]",null,null,"[""Acquia Cloud Platform:next"",""Amazon Web Services"",""Basic"",""Nginx"",""Varnish""]",0,0,401,0,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null
2025-09-10T11:57:02.626014274Z,null,,,,443,https://fflezcheck.atf.gov,fflezcheck.atf.gov,/FFLEzCheck,,https,,,,,GET,149.101.82.81,/,,,,,,313.836487ms,,null,"[""149.101.82.81""]",null,null,"[""HSTS""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53""]",null,null
2025-09-10T11:57:02.632704222Z,null,,,,443,https://ness.atf.gov,ness.atf.gov,,NESS Application,https,,,,text/html,GET,149.101.82.237,/,,,,,,303.045763ms,,null,"[""149.101.82.237""]",null,null,"[""HSTS""]",71,19,200,1095,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""127.0.0.53:53""]",null,null
2025-09-10T11:57:02.638556427Z,null,,,,443,https://staging.itds-datapush-ws.atf.gov,staging.itds-datapush-ws.atf.gov,,Error,https,,JBoss-EAP/7,,text/html,GET,149.101.107.179,/,,,,,,324.943267ms,,null,"[""149.101.107.179""]","[""2607:f330:5000:1210::b3""]",null,"[""HSTS""]",4,1,404,74,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""1.0.0.1:53""]",null,null
2025-09-10T11:57:02.642516722Z,null,,,,443,https://stage2.atf.gov,stage2.atf.gov,,,https,,nginx,,text/html,GET,52.2.107.142,/,,,,,,330.944105ms,,null,"[""52.2.107.142""]",null,null,"[""Acquia Cloud Platform:next"",""Amazon Web Services"",""Basic"",""Nginx"",""Varnish""]",0,0,401,0,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null
2025-09-10T11:57:02.646073975Z,null,,,,443,https://api.etrace-release.atf.gov,api.etrace-release.atf.gov,,,https,,,,text/html,GET,149.101.107.144,/,,,,,,326.26938ms,,null,"[""149.101.107.144""]","[""2607:f330:5000:1210::90""]",null,"[""HSTS""]",878,142,404,3596,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.4.4:53""]",null,null
2025-09-10T11:57:02.655664002Z,null,,,,443,https://staging.itds-eventexchange-ws.atf.gov,staging.itds-eventexchange-ws.atf.gov,,JBoss EAP 7,https,,JBoss-EAP/7,,text/html,GET,149.101.107.180,/,,,,,,336.250104ms,,null,"[""149.101.107.180""]","[""2607:f330:5000:1210::b4""]",null,"[""HSTS""]",249,55,200,1517,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""1.0.0.1:53""]",null,null
2025-09-10T11:57:02.657666398Z,null,cloudfront,cdn,,80,http://search.atf.gov,search.atf.gov,,ERROR: The request could not be satisfied,http,,CloudFront,,text/html,GET,3.167.163.44,/,,,,,,23.469885ms,,null,"[""3.167.163.9"",""3.167.163.44"",""3.167.163.92"",""3.167.163.25""]",null,"[""atf.sites.infr.search.usa.gov""]","[""Amazon CloudFront"",""Amazon Web Services""]",91,20,403,915,false,false,false,true,false,false,,null,,,,"[""8.8.8.8:53"",""8.8.4.4:53""]",null,null
2025-09-10T11:57:02.660426492Z,null,,,,443,https://dev.atf.gov,dev.atf.gov,,,https,,nginx,,text/html,GET,52.2.107.142,/,,,,,,349.310913ms,,null,"[""52.2.107.142""]",null,null,"[""Acquia Cloud Platform:next"",""Amazon Web Services"",""Basic"",""Drupal"",""Nginx"",""PHP"",""Varnish""]",0,0,401,0,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""127.0.0.53:53""]",null,null
2025-09-10T11:57:02.661450946Z,null,,,,443,https://beta.atf.gov,beta.atf.gov,,,https,,nginx,,text/html,GET,52.2.107.142,/,,,,,,350.59255ms,,null,"[""52.2.107.142""]",null,null,"[""Acquia Cloud Platform:next"",""Amazon Web Services"",""Basic"",""Drupal"",""Nginx"",""PHP"",""Varnish""]",0,0,401,0,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""8.8.8.8:53""]",null,null
2025-09-10T11:57:02.671886308Z,null,,,,443,https://nessapptest.atf.gov,nessapptest.atf.gov,,,https,,Kestrel,,,GET,149.101.82.234,/,,,,,,360.344799ms,,null,"[""149.101.82.234""]",null,null,"[""HSTS"",""Kestrel"",""Microsoft ASP.NET""]",0,0,404,0,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.1.1.1:53""]",null,null
2025-09-10T11:57:02.687266176Z,null,,,,443,https://eforms.atf.gov,eforms.atf.gov,,eForms,https,,,,text/html,GET,149.101.82.73,/,,,,,,359.073821ms,,null,"[""149.101.82.73""]",null,null,"[""HSTS""]",37,15,200,723,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53""]",null,null
2025-09-10T11:57:02.695373966Z,null,,,,443,https://etrace.atf.gov,etrace.atf.gov,https://app.atf.gov/adfs/ls?Y2FsbGJhY2sg=aHR0cDovL2V0cmFjZS5hdGYuZ292&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&SAMLRequest=fZJNT%2BMwEIb%2FiuW7E6e0ZGO1lUoLbKTSVm12D1yQ60zBUmIHz6S7%2FHvSFFg4LCdL8%2FHOPO94jLquGjVr6clt4bkFJPa3rhyqPjHhbXDKa7SonK4BFRm1m90t1SCSqgmevPEV%2F9TyfYdGhEDWO87yxYSvV9fL9W2%2BeoAsyWQqpchMdimG6ehC7OWPoQA5vEgh3XdvytlvCNj1Tngn1QkgtpA7JO2oC8nBSMhMJLJIEjVKlRzcc7YJ%2FmhLCKtukwnPi%2Bs7Nvf13jooOVt0sNZp6iWfiBpUcaybJtJ0iB79MdblAeMKe5ke9Mq60rrH7xn35yJUP4tiIzbrXcHZ7J177h22NYQdhKM18Gu7%2FDcaKGgDH9NPbm6hqV4ibXrLpuNTSPXcYWoJakGlMG884%2Fhzdny%2B64k7X2x8Zc0Lu%2FGh1vT%2F5ZMo6SO2FIe%2BVLUOGzD2YE92zarK%2F5kH0NRZSaEFzuLpeerXDzR9BQ%3D%3D&RelayState=http%3A%2F%2Fetrace.atf.gov%2FsamlLogin.action&Z29MaXZlRGF0ZSAg=RmViIDI2LCAyMDI0&bGFuZyAg=ZW4g&ZGlzYWJsZUludGVybmFs=dHJ1ZSAg&Signature=GVmfyR%2Fks9DyWlQuL%2BLeAmVBgsD0lPgDv2uUUfgEoWcgp8dWZ8jxnfb3evdWJMfOCZGKFHJXX6sq6jqptmyRgVZbdoiByZMP8jT%2BcUgrY3gtz6GP9wkATnlLCSFNaAh%2BU5rbThgbVErYzru1pHE4iqsKOfhlsI8PR4QEG9RBjwTNYv5pH0wpIqQ03P4cTbE2zFySzRKAgjNsA66VmmmxlS2b%2FTrREq8z1KVNRmk%2FCbzcEsML35b5Ad2NPIaeAPRWg8zjHsv1UEtYhnNPkbmEqc2NuoEyYtls%2BKAMEhOvFp%2FCR3J0WV%2F4qNNvFPNTLZsMymQalhyKF4tZ6z1jJhZ1nQ%3D%3D&dGhlbWUg=ZXRyYWNl,,https,,JBoss-EAP/7,,text/html,GET,149.101.82.69,/,,,,,,383.017269ms,,null,"[""149.101.82.69""]",null,null,"[""HSTS"",""Java"",""JavaServer Pages:2.3""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""8.8.4.4:53""]",null,null
2025-09-10T11:57:02.709581913Z,null,,,,443,https://etrace-ext.pilot.atf.gov,etrace-ext.pilot.atf.gov,https://app.pilot.atf.gov/adfs/ls/?Y2FsbGJhY2sg=aHR0cDovL2V0cmFjZS1leHQucGlsb3QuYXRmLmdvdiAg&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&SAMLRequest=fZJRb9owFIX%2FSuR3JzFrBbEAiUG3RaKAINtDXyonuQFLjp353rD2388JqtZNWl%2Bvzzm%2B37HnqFrTyVVPF3uEnz0gRS%2BtsSjHgwXrvZVOoUZpVQsoqZKn1eNWTuJUdt6Rq5xh7ywfOxQieNLOsijfLNh%2B97Ddf813z2mdiWkzrfisVg2%2FK%2BuSZ9NM8DQTszv4JLJZWbLoB3gM3gULUSEAsYfcIilLYZRO7oOci7QQQt5PZTp5YtHBu6uuwe%2FCJguWFw%2BP0dq1pbZQs2gTYLVVNEZeiDqUSaK6Lu60cRQrauKzuyaqbjAxmIxpI%2B9nbWttzx%2BjljcRym9FceCH%2Falg0eoNf%2B0s9i34E%2FirruD7cftnAyCvKuDwQv8sMtR7hM68xqoaO1zOh5Eci%2FDLgY4XG%2F4GyMm7vjSAF%2BcC53mevFfPbw8%2FFJNvDs7o6jX64nyr6P9YIhbjRNe8GaWyt9hBpRs99Lkyxv1ae1AUuibfA4uS5e3Wv3%2FY8jc%3D&RelayState=http%3A%2F%2Fetrace-ext.pilot.atf.gov%2FsamlLogin.action&Z29MaXZlRGF0ZSAg=QXVnIDcsIDIwMjMgKGZvciB0ZXN0aW5nIHB1cnBvc2VzIHRoaXMgaXMgYXJiaXRyYXJ5KSAg&bGFuZyAg=ZW4g&ZGlzYWJsZUludGVybmFs=dHJ1ZSAg&Signature=LZys6PaTwniqEgnF8fTGmICZCUajcveJFL6unvSUexclHIWbu%2BM5kHXKQaIsaxO9lR9YEtxV5CFvZ64eAMnMqB4yA8YMEkXka5%2BUGV520DwMGPa8AYRDvgHt504OC68evHLAS%2FDcJWrIHJMCqeg%2F%2BUJQwrscrW6ljh0YNl6Y4doRDkxAimfu%2B3vtukjklbJ2gEiVURJ9TXDI%2FbnJo8CxZ4yclUqeO%2FDbygMVhRUuB9c1R4mtk%2B4lDGWtasJ4NtBkHbNoJ8rQwlvE%2BY1PcvwOKBZHvCH92BgIo02byQjh18BXpxJwdhaZ7s4nf6qagqjYqbhJGBo002rNuxFEUIxvJA%3D%3D&dGhlbWUg=ZXRyYWNl,,https,,JBoss-EAP/7,,text/html,GET,149.101.107.201,/,,,,,,397.497527ms,,null,"[""149.101.107.201""]","[""2607:f330:5000:1210::c9""]",null,"[""HSTS"",""Java"",""JavaServer Pages:2.3""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""127.0.0.53:53""]",null,null
2025-09-10T11:57:02.710918818Z,null,,,,443,https://nesstest.atf.gov,nesstest.atf.gov,,NESS Application,https,,nginx/1.26.3,,text/html,GET,149.101.82.235,/,,,,,,372.429721ms,,null,"[""149.101.82.235""]",null,null,"[""HSTS"",""Nginx:1.26.3""]",71,19,200,1076,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.1.1.1:53""]",null,null
2025-09-10T11:57:02.716830829Z,null,,,,443,https://etrace-release.atf.gov,etrace-release.atf.gov,,Etrace,https,,,,text/html,GET,149.101.107.143,/,,,,,,387.427188ms,,null,"[""149.101.107.143""]","[""2607:f330:5000:1210::8f""]",null,"[""Express"",""HSTS"",""Node.js""]",59,14,200,1526,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""8.8.4.4:53""]",null,null
2025-09-10T11:57:02.736850756Z,null,,,,80,http://ems.airship.atf.gov,ems.airship.atf.gov,https://ems.airship.atf.gov/,,http,,ZBA/1.0,,text/html,GET,170.85.49.49,/,,,,,,60.560733ms,,null,"[""170.85.49.49"",""170.85.49.48""]","[""2605:4300:2c12:1:8457:671c:d135:1343"",""2605:4300:2c12:0:88e2:60b3:5ef5:51c7""]","[""4012.72057976290017280.h.g.zpa-app.net"",""exporter.zpagov.net"",""exporter.gslb.zpagov.net"",""was3.exporter.gslb.zpagov.net"",""exporter-lb-be09eb149ec1c51f.elb.us-gov-east-1.amazonaws.com""]","[""HSTS""]",0,0,303,0,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""1.0.0.1:53""]",null,null
2025-09-10T11:57:02.792400562Z,null,,,,443,https://www2.atf.gov,www2.atf.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,23.7.70.150,/,,,,,,354.005976ms,,null,"[""23.7.70.150""]","[""2600:1418:a000:18f::2c16"",""2600:1418:a000:18a::2c16""]","[""www.atf.gov.edgekey.net"",""e11286.dscna.akamaiedge.net""]","[""HSTS""]",13,10,403,364,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""8.8.8.8:53""]",null,null
2025-09-10T11:57:02.805376413Z,null,,,,443,https://api.atf.gov,api.atf.gov,,403 Forbidden,https,,nginx/1.14.1,,text/html,GET,149.101.107.33,/,,,,,,487.543306ms,,null,"[""149.101.107.33""]",null,null,"[""HSTS"",""Nginx:1.14.1""]",70,13,403,571,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.8.8:53""]",null,null
