timestamp,link_request,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,host_ip,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains,cpe,wordpress.Plugins,wordpress.Themes
2026-06-24T12:14:07.274681962Z,null,null,,,,443,https://NHCSdata.cdc.gov,NHCSdata.cdc.gov,https://NHCSdata.cdc.gov/Web/Account/Login.htm,Redirect,https,,,,text/html,GET,NHCSdata.cdc.gov,198.232.252.165,/,,,,,,58.558642ms,,null,"[""198.232.252.165""]",null,null,"[""HSTS""]",48,1,302,539,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null,null,,
2026-06-24T12:14:07.280740377Z,null,null,,,,443,https://4mmp.cdc.gov,4mmp.cdc.gov,https://www.cdc.gov/hiv-data/mmp/,,https,,,,,GET,4mmp.cdc.gov,23.221.227.229,/,,,,,,71.963866ms,,null,"[""23.221.227.205"",""23.221.227.229""]","[""2600:1408:9000::172d:b4c8"",""2600:1408:9000::17c9:1fc2""]","[""4mmp.cdc.gov.edgekey.net"",""e163759.dsca.akamaiedge.net""]","[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53""]",null,null,null,,
2026-06-24T12:14:07.331231944Z,null,null,,,,443,https://afd-mmria.cdc.gov,afd-mmria.cdc.gov,/Account/SignIn,,https,,,,,GET,afd-mmria.cdc.gov,23.205.106.69,/,,,,,,120.238042ms,,null,"[""23.205.106.69"",""23.205.106.68""]","[""2600:1408:ec00:2e::1735:baf"",""2600:1408:ec00:2e::1735:bad""]","[""afd-mmria.cdc.gov.edgekey.net"",""e113800.dscb.akamaiedge.net""]","[""HSTS""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""1.1.1.1:53""]",null,null,null,,
2026-06-24T12:14:07.332010205Z,null,null,,,,443,https://advo.techlab.cdc.gov,advo.techlab.cdc.gov,https://advo.techlab.cdc.gov/guacamole/,301 Moved Permanently,https,,nginx/1.24.0 (Ubuntu),,text/html,GET,advo.techlab.cdc.gov,50.184.4.150,/,,,,,,121.40135ms,,null,"[""50.184.4.150""]",null,null,"[""HSTS"",""Nginx:1.24.0"",""Ubuntu""]",6,7,301,178,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53""]",null,null,null,,
2026-06-24T12:14:07.354863343Z,null,null,,,,443,https://airc.cdc.gov,airc.cdc.gov,https://auth.cdc.gov/siteminderagent/forms/login.fcc?TYPE=33554433&REALMOID=06-298e4da9-ed38-492e-abe7-70703f703416&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=CD98HqjCmn9Xw621WZeUAly1pi8ZJTtHT4KOD78Jr8fnUD7YNG0hR4Nj491EBsq0&TARGET=-SM-https%3a%2f%2fairc%2ecdc%2egov%2f,,https,,,,,GET,airc.cdc.gov,23.221.227.219,/,,,,,,145.470849ms,,null,"[""23.221.227.203"",""23.221.227.202"",""23.221.227.200"",""23.221.227.218"",""23.221.227.216"",""23.221.227.228"",""23.221.227.229"",""23.221.227.219"",""23.221.227.199""]","[""2600:1408:c400:11::17cd:6b5b"",""2600:1408:c400:11::17cd:6b53""]","[""airc.cdc.gov.edgekey.net"",""e128788.dsca.akamaiedge.net""]","[""HSTS""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.0.0.1:53""]",null,null,null,,
2026-06-24T12:14:07.35524854Z,null,null,,,,443,https://PreMedServices.cdc.gov,PreMedServices.cdc.gov,,403 - Forbidden: Access is denied.,https,,,,text/html,GET,PreMedServices.cdc.gov,198.246.106.53,/,,,,,,137.996208ms,,null,"[""198.246.106.53""]",null,"[""premedservices.glb.cdc.gov""]","[""HSTS""]",73,29,403,1233,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53""]",null,null,null,,
2026-06-24T12:14:07.361609963Z,null,null,,,,443,https://aipubmedsearch.techlab.cdc.gov,aipubmedsearch.techlab.cdc.gov,,Streamlit,https,,nginx,,text/html,GET,aipubmedsearch.techlab.cdc.gov,50.184.47.114,/,,,,,,137.512729ms,,null,"[""50.184.47.114""]",null,null,"[""HSTS"",""Nginx""]",37,1,200,891,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""8.8.4.4:53""]",null,null,null,,
2026-06-24T12:14:07.367107924Z,null,null,,,,443,https://ED3N.cdc.gov,ED3N.cdc.gov,,ED3N,https,,,,text/html,GET,ED3N.cdc.gov,23.48.104.54,/,,,,,,149.265168ms,,null,"[""23.55.176.197"",""23.48.104.54""]","[""2600:1408:a:21::212:4388"",""2600:1408:a:21::212:439a""]","[""ed3n.cdc.gov.edgekey.net"",""e128788.dsca.akamaiedge.net""]","[""Azure"",""Azure Front Door"",""HSTS""]",98,20,200,678,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.4.4:53""]",null,null,null,,
2026-06-24T12:14:07.372975208Z,null,null,,,,443,https://IMATS-train.cdc.gov,IMATS-train.cdc.gov,https://auth.cdc.gov/siteminderagent/forms/login.fcc?TYPE=33554433&REALMOID=06-b3a1a995-c4ca-4854-a602-d538dce6ab96&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-wVOH5KiVoajsxd%2fe1mtFL%2frvuY4NG4P0BuecufzXabyPk8AWiZ%2f109TeFU2sw3dv&TARGET=-SM-https%3a%2f%2fIMATS--train%2ecdc%2egov%2f,,https,,Microsoft-IIS/10.0,,,GET,IMATS-train.cdc.gov,198.246.106.148,/,,,,,,163.750546ms,,null,"[""198.246.106.148""]",null,"[""imats-train.glb.cdc.gov""]","[""HSTS"",""IIS:10.0"",""Windows Server""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.4.4:53""]",null,null,null,,
2026-06-24T12:14:07.374753897Z,null,null,,,,443,https://al-mmria.cdc.gov,al-mmria.cdc.gov,/Account/SignIn,,https,,,,,GET,al-mmria.cdc.gov,23.202.230.229,/,,,,,,165.319736ms,,null,"[""23.202.230.229"",""23.202.230.204""]","[""2600:1408:5400:35::17ca:e6e5"",""2600:1408:5400:35::17ca:e6cc""]","[""al-mmria.cdc.gov.edgekey.net"",""e113800.dscb.akamaiedge.net""]","[""HSTS""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""8.8.8.8:53""]",null,null,null,,
