timestamp,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains
2025-09-12T12:06:15.956425451Z,null,cloudflare,waf,,443,https://access-dev.cisa.gov,access-dev.cisa.gov,,Just a moment...,https,,cloudflare,,text/html,GET,172.65.90.26,/,,,,,,46.339991ms,,null,"[""172.65.90.24"",""172.65.90.25"",""172.65.90.26"",""172.65.90.27""]","[""2606:4700:78::90:0:180"",""2606:4700:78::90:0:181"",""2606:4700:78::90:0:182"",""2606:4700:78::90:0:183""]",null,"[""Cloudflare"",""Cloudflare Bot Management"",""HTTP/3""]",108,1,403,8734,false,false,false,true,false,false,,null,,,,"[""1.1.1.1:53""]",null,null
2025-09-12T12:06:15.963872965Z,null,,,,443,https://devlearning.cisa.gov,devlearning.cisa.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,23.38.228.70,/,,,,,,88.500304ms,,null,"[""23.38.228.70""]","[""2600:1406:5600:781::3ff9"",""2600:1406:5600:788::3ff9""]","[""devlearning.cisa.gov.edgekey.net"",""e16377.dsca.akamaiedge.net""]","[""HSTS"",""HTTP/3""]",13,10,403,372,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.4.4:53""]",null,null
2025-09-12T12:06:15.972790583Z,null,,,,443,https://cybermarketplace.cisa.gov,cybermarketplace.cisa.gov,https://www.cisa.gov/resources-tools/programs/cyber-marketplace,,https,,AkamaiGHost,,,GET,23.56.191.27,/,,,,,,100.61565ms,,null,"[""23.56.191.27""]","[""2600:1406:5600:78d::12b4"",""2600:1406:5600:793::12b4""]","[""cybermarketplace.cisa.gov.edgekey.net"",""e4788.dsca.akamaiedge.net""]","[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53""]",null,null
2025-09-12T12:06:15.975415676Z,null,cloudflare,waf,,443,https://gitlab-launchpad.cisa.gov,gitlab-launchpad.cisa.gov,,Just a moment...,https,,cloudflare,,text/html,GET,172.65.90.27,/,,,,,,42.62658ms,,null,"[""172.65.90.26"",""172.65.90.25"",""172.65.90.24"",""172.65.90.27""]","[""2606:4700:78::90:0:181"",""2606:4700:78::90:0:180"",""2606:4700:78::90:0:182"",""2606:4700:78::90:0:183""]",null,"[""Cloudflare"",""Cloudflare Bot Management"",""HTTP/3""]",108,1,403,8804,false,false,false,true,false,false,,null,,,,"[""127.0.0.53:53""]",null,null
2025-09-12T12:06:15.978234869Z,null,,,,443,https://cisa.gov,cisa.gov,https://www.cisa.gov/,,https,,AkamaiGHost,,,GET,23.66.134.222,/,,,,,,109.298753ms,,null,"[""23.66.134.222""]","[""2600:1406:6c00:284::3ff9"",""2600:1406:6c00:2a1::3ff9""]",null,"[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53""]",null,null
2025-09-12T12:06:15.994782359Z,null,,,,443,https://edit.cisa.gov,edit.cisa.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,23.56.120.26,/,,,,,,100.819592ms,,null,"[""23.56.120.26""]","[""2600:1406:2e00:98d::2325"",""2600:1406:2e00:986::2325""]","[""edit.cisa.gov.edgekey.net"",""e8997.dsca.akamaiedge.net""]","[""HSTS""]",13,10,403,367,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53""]",null,null
2025-09-12T12:06:16.011152772Z,null,cloudflare,waf,,443,https://access-uat.cisa.gov,access-uat.cisa.gov,,Just a moment...,https,,cloudflare,,text/html,GET,172.65.90.24,/,,,,,,54.954933ms,,null,"[""172.65.90.27"",""172.65.90.25"",""172.65.90.26"",""172.65.90.24""]","[""2606:4700:78::90:0:183"",""2606:4700:78::90:0:180"",""2606:4700:78::90:0:182"",""2606:4700:78::90:0:181""]",null,"[""Cloudflare"",""Cloudflare Bot Management"",""HTTP/3""]",108,1,403,8777,false,false,false,true,false,false,,null,,,,"[""8.8.8.8:53"",""8.8.4.4:53""]",null,null
2025-09-12T12:06:16.015363875Z,null,,,,443,https://edit-preview.cisa.gov,edit-preview.cisa.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,23.56.120.26,/,,,,,,142.96408ms,,null,"[""23.56.120.26""]","[""2600:1406:5600:788::2325"",""2600:1406:5600:78e::2325""]","[""edit-preview.cisa.gov.edgekey.net"",""e8997.dsca.akamaiedge.net""]","[""HSTS""]",13,10,403,379,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""8.8.4.4:53""]",null,null
2025-09-12T12:06:16.020025699Z,null,cloudflare,waf,,443,https://launchpad.cisa.gov,launchpad.cisa.gov,,Just a moment...,https,,cloudflare,,text/html,GET,172.65.90.25,/,,,,,,59.540787ms,,null,"[""172.65.90.24"",""172.65.90.26"",""172.65.90.25"",""172.65.90.27""]","[""2606:4700:78::90:0:180"",""2606:4700:78::90:0:181"",""2606:4700:78::90:0:182"",""2606:4700:78::90:0:183""]",null,"[""Cloudflare"",""Cloudflare Bot Management"",""HTTP/3""]",108,1,403,8690,false,false,false,true,false,false,,null,,,,"[""127.0.0.53:53"",""1.0.0.1:53""]",null,null
2025-09-12T12:06:16.031230422Z,null,cloudflare,waf,,443,https://access.cisa.gov,access.cisa.gov,,Just a moment...,https,,cloudflare,,text/html,GET,172.65.90.26,/,,,,,,80.753558ms,,null,"[""172.65.90.25"",""172.65.90.24"",""172.65.90.26"",""172.65.90.27""]","[""2606:4700:78::90:0:180"",""2606:4700:78::90:0:181"",""2606:4700:78::90:0:182"",""2606:4700:78::90:0:183""]",null,"[""Cloudflare"",""Cloudflare Bot Management"",""HTTP/3""]",108,1,403,8730,false,false,false,true,false,false,,null,,,,"[""8.8.8.8:53"",""1.0.0.1:53""]",null,null
2025-09-12T12:06:16.039112659Z,null,cloudflare,waf,,443,https://gwids.cisa.gov,gwids.cisa.gov,,Just a moment...,https,,cloudflare,,text/html,GET,172.65.90.26,/,,,,,,79.042417ms,,null,"[""172.65.90.24"",""172.65.90.25"",""172.65.90.26"",""172.65.90.27""]","[""2606:4700:78::90:0:181"",""2606:4700:78::90:0:180"",""2606:4700:78::90:0:183"",""2606:4700:78::90:0:182""]",null,"[""Cloudflare"",""Cloudflare Bot Management"",""HTTP/3""]",108,1,403,8793,false,false,false,true,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.4.4:53""]",null,null
2025-09-12T12:06:16.04321204Z,null,,,,443,https://learning.cisa.gov,learning.cisa.gov,https://learning.cisa.gov/login/index.php,Redirect,https,,Apache/2.4.41 (Ubuntu),,text/html,GET,96.6.230.222,/,,,,,,163.145434ms,,null,"[""96.6.230.222""]","[""2600:1406:2e00:98c::3ff9"",""2600:1406:2e00:983::3ff9""]","[""learning.cisa.gov.edgekey.net"",""e16377.dsca.akamaiedge.net""]","[""Apache HTTP Server:2.4.41"",""HSTS"",""HTTP/3"",""Moodle"",""PHP"",""Ubuntu""]",322,51,303,1505,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""127.0.0.53:53""]",null,null
2025-09-12T12:06:16.045880602Z,null,cloudflare,waf,,443,https://expo.cisa.gov,expo.cisa.gov,,Just a moment...,https,,cloudflare,,text/html,GET,172.65.90.25,/,,,,,,130.889218ms,,null,"[""172.65.90.24"",""172.65.90.25"",""172.65.90.26"",""172.65.90.27""]","[""2606:4700:78::90:0:180"",""2606:4700:78::90:0:181"",""2606:4700:78::90:0:182"",""2606:4700:78::90:0:183""]",null,"[""Cloudflare"",""Cloudflare Bot Management"",""HTTP/3""]",108,1,403,8771,false,false,false,true,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.8.8:53""]",null,null
2025-09-12T12:06:16.050865812Z,null,,,,443,https://registration.gateway.cisa.gov,registration.gateway.cisa.gov,https://gateway.cisa.gov/ipGwRegistration/,,https,,AkamaiGHost,,,GET,23.56.191.27,/,,,,,,70.92595ms,,null,"[""23.56.191.27""]","[""2600:1406:2e00:987::12b4"",""2600:1406:2e00:98b::12b4""]","[""registration.gateway.cisa.gov.edgekey.net"",""e4788.dsca.akamaiedge.net""]",null,0,0,301,0,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""127.0.0.53:53""]",null,null
2025-09-12T12:06:16.06372545Z,null,,,,443,https://edit-testint.cisa.gov,edit-testint.cisa.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,104.98.223.107,/,,,,,,191.050834ms,,null,"[""104.98.223.107""]","[""2600:1406:40:380::2325"",""2600:1406:40:382::2325""]","[""edit-testint.cisa.gov.edgekey-staging.net"",""e8997.dsca.akamaiedge-staging.net""]","[""HSTS""]",13,10,403,377,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""8.8.8.8:53""]",null,null
2025-09-12T12:06:16.071529509Z,null,cloudflare,waf,,443,https://presidentscup.cisa.gov,presidentscup.cisa.gov,,Just a moment...,https,,cloudflare,,text/html,GET,172.65.90.24,/,,,,,,120.934182ms,,null,"[""172.65.90.27"",""172.65.90.26"",""172.65.90.25"",""172.65.90.24""]","[""2606:4700:78::90:0:183"",""2606:4700:78::90:0:182"",""2606:4700:78::90:0:180"",""2606:4700:78::90:0:181""]",null,"[""Cloudflare"",""Cloudflare Bot Management"",""HTTP/3""]",108,1,403,8843,false,false,false,true,false,false,,null,,,,"[""127.0.0.53:53""]",null,null
2025-09-12T12:06:16.074353551Z,null,,,,443,https://edit-staging.cisa.gov,edit-staging.cisa.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,104.98.223.107,/,,,,,,203.998183ms,,null,"[""104.98.223.107""]","[""2600:1406:40:380::2325"",""2600:1406:40:382::2325""]","[""edit-staging.cisa.gov.edgekey-staging.net"",""e8997.dsca.akamaiedge-staging.net""]","[""HSTS""]",13,10,403,377,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.4.4:53""]",null,null
