timestamp,link_request,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,host_ip,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains,cpe,wordpress.Plugins,wordpress.Themes
2026-03-20T11:26:58.335606449Z,null,null,cloudfront,cdn,,443,https://dashboard.data.gov,dashboard.data.gov,https://data.gov/metrics/,301 Moved Permanently,https,,,,text/html,GET,dashboard.data.gov,3.170.115.75,/,,,,,,186.057189ms,,null,"[""3.170.115.113"",""3.170.115.80"",""3.170.115.98"",""3.170.115.75""]","[""2600:9000:287f:0:3:f833:8e00:93a1"",""2600:9000:287f:5000:3:f833:8e00:93a1"",""2600:9000:287f:2400:3:f833:8e00:93a1"",""2600:9000:287f:800:3:f833:8e00:93a1"",""2600:9000:287f:aa00:3:f833:8e00:93a1"",""2600:9000:287f:bc00:3:f833:8e00:93a1"",""2600:9000:287f:fe00:3:f833:8e00:93a1"",""2600:9000:287f:5800:3:f833:8e00:93a1""]","[""dashboard.data.gov.external-domains-production.cloud.gov""]","[""Amazon CloudFront"",""Amazon Web Services"",""HSTS""]",5,7,301,169,false,false,false,true,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.8.8:53""]",null,null,null,,
2026-03-20T11:26:58.41269993Z,null,null,cloudfront,cdn,,443,https://catalog.data.gov,catalog.data.gov,https://catalog.data.gov/dataset/,Redirecting...,https,,,,text/html,GET,catalog.data.gov,3.161.225.110,/,,,,,,261.397763ms,,null,"[""3.161.225.61"",""3.161.225.110"",""3.161.225.12"",""3.161.225.72""]","[""2600:9000:26c9:aa00:1:569b:bd00:93a1"",""2600:9000:26c9:f400:1:569b:bd00:93a1"",""2600:9000:26c9:5600:1:569b:bd00:93a1"",""2600:9000:26c9:5c00:1:569b:bd00:93a1"",""2600:9000:26c9:6000:1:569b:bd00:93a1"",""2600:9000:26c9:7800:1:569b:bd00:93a1"",""2600:9000:26c9:9800:1:569b:bd00:93a1"",""2600:9000:26c9:f000:1:569b:bd00:93a1""]","[""d2s65feajdp88k.cloudfront.net""]","[""Amazon CloudFront"",""Amazon Web Services"",""HSTS""]",18,5,302,253,false,false,false,true,false,false,,null,,,,"[""8.8.8.8:53"",""8.8.4.4:53""]",null,null,null,,
2026-03-20T11:26:58.431377665Z,null,null,cloudfront,cdn,,443,https://catalog-dev.data.gov,catalog-dev.data.gov,https://catalog-dev.data.gov/dataset/,Redirecting...,https,,,,text/html,GET,catalog-dev.data.gov,13.225.61.9,/,,,,,,281.169122ms,,null,"[""13.225.61.9"",""13.225.61.97"",""13.225.61.106"",""13.225.61.43""]","[""2600:9000:21da:9000:e:1825:7540:93a1"",""2600:9000:21da:8c00:e:1825:7540:93a1"",""2600:9000:21da:4e00:e:1825:7540:93a1"",""2600:9000:21da:ce00:e:1825:7540:93a1"",""2600:9000:21da:ea00:e:1825:7540:93a1"",""2600:9000:21da:1a00:e:1825:7540:93a1"",""2600:9000:21da:9a00:e:1825:7540:93a1"",""2600:9000:21da:2800:e:1825:7540:93a1""]","[""d2jqk88ququ1n9.cloudfront.net""]","[""Amazon CloudFront"",""Amazon Web Services"",""HSTS""]",18,5,302,261,false,false,false,true,false,false,,null,,,,"[""8.8.4.4:53"",""1.0.0.1:53""]",null,null,null,,
2026-03-20T11:26:58.43292176Z,null,null,aws,cloud,,443,https://federation.data.gov,federation.data.gov,https://resources.data.gov/resources/us-data-federation/,301 Moved Permanently,https,,,,text/html,GET,federation.data.gov,52.61.54.88,/,,,,,,283.019148ms,,null,"[""160.1.63.190"",""52.61.54.88""]","[""2600:1f12:18a:7d01:89bc:3901:acea:bbec"",""2600:1f12:18a:7d00:11f1:6d3e:fec6:5c41""]","[""federation.data.gov.external-domains-production.cloud.gov""]","[""HSTS""]",5,7,301,169,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.1.1.1:53""]",null,null,null,,
2026-03-20T11:26:58.473214766Z,null,null,aws,cloud,,443,https://api.data.gov,api.data.gov,,api.data.gov,https,,,,text/html,GET,api.data.gov,15.200.140.112,/,,,,,,219.426483ms,,null,"[""3.31.7.118"",""15.200.140.112""]",null,null,"[""Amazon Web Services"",""HSTS"",""Hugo:0.129.0"",""USWDS""]",593,16,200,13687,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""127.0.0.53:53""]",null,null,null,,
2026-03-20T11:26:58.47492992Z,null,null,aws,cloud,,443,https://climate.data.gov,climate.data.gov,https://data.gov/climate/,301 Moved Permanently,https,,,,text/html,GET,climate.data.gov,3.30.128.28,/,,,,,,325.181796ms,,null,"[""3.30.128.28"",""3.32.125.83""]","[""2600:1f12:18a:7d00:29f3:cd76:d28c:8fa0"",""2600:1f12:18a:7d01:5dad:9b6c:dd3f:a5a4""]","[""climate.data.gov.external-domains-production.cloud.gov""]","[""HSTS""]",5,7,301,169,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""127.0.0.53:53""]",null,null,null,,
2026-03-20T11:26:58.496831825Z,null,null,cloudfront,cdn,,443,https://harvest.data.gov,harvest.data.gov,/organization_list/,Redirecting...,https,,,,text/html,GET,harvest.data.gov,52.222.205.59,/,,,,,,345.449134ms,,null,"[""52.222.205.128"",""52.222.205.61"",""52.222.205.59"",""52.222.205.76""]","[""2600:9000:2027:1200:13:20d2:1c0:93a1"",""2600:9000:2027:f400:13:20d2:1c0:93a1"",""2600:9000:2027:8600:13:20d2:1c0:93a1"",""2600:9000:2027:200:13:20d2:1c0:93a1"",""2600:9000:2027:d000:13:20d2:1c0:93a1"",""2600:9000:2027:6000:13:20d2:1c0:93a1"",""2600:9000:2027:8400:13:20d2:1c0:93a1"",""2600:9000:2027:2800:13:20d2:1c0:93a1""]","[""harvest.data.gov.external-domains-production.cloud.gov""]","[""Amazon CloudFront"",""Amazon S3"",""Amazon Web Services"",""HSTS""]",18,5,302,225,false,false,false,true,false,false,,null,,,,"[""1.1.1.1:53"",""1.0.0.1:53""]",null,null,null,,
2026-03-20T11:26:58.798553702Z,null,null,cloudfront,cdn,,443,https://catalog-stage.data.gov,catalog-stage.data.gov,,,https,,CloudFront,,,GET,catalog-stage.data.gov,13.249.205.61,/,,,,,,649.466259ms,,null,"[""13.249.205.97"",""13.249.205.28"",""13.249.205.61"",""13.249.205.30""]","[""2600:9000:209c:a000:15:83b9:3680:93a1"",""2600:9000:209c:9e00:15:83b9:3680:93a1"",""2600:9000:209c:d200:15:83b9:3680:93a1"",""2600:9000:209c:d000:15:83b9:3680:93a1"",""2600:9000:209c:800:15:83b9:3680:93a1"",""2600:9000:209c:5000:15:83b9:3680:93a1"",""2600:9000:209c:d800:15:83b9:3680:93a1"",""2600:9000:209c:2c00:15:83b9:3680:93a1""]","[""d1u59lafwydg4a.cloudfront.net""]","[""Amazon CloudFront"",""Amazon Web Services"",""Basic""]",0,0,401,0,false,false,false,true,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.8.8:53""]",null,null,null,,
2026-03-20T11:26:58.915882092Z,null,null,cloudfront,cdn,,443,https://resources.data.gov,resources.data.gov,,Home | resources.data.gov,https,,,,text/html,GET,resources.data.gov,3.170.115.114,/,,,,,,361.451827ms,,null,"[""3.170.115.114"",""3.170.115.37"",""3.170.115.97"",""3.170.115.20""]","[""2600:9000:287f:f200:5:bd91:b080:93a1"",""2600:9000:287f:d400:5:bd91:b080:93a1"",""2600:9000:287f:2c00:5:bd91:b080:93a1"",""2600:9000:287f:2000:5:bd91:b080:93a1"",""2600:9000:287f:6200:5:bd91:b080:93a1"",""2600:9000:287f:c800:5:bd91:b080:93a1"",""2600:9000:287f:b200:5:bd91:b080:93a1"",""2600:9000:287f:6c00:5:bd91:b080:93a1""]","[""resources.data.gov.external-domains-production.cloud.gov""]","[""Amazon CloudFront"",""Amazon Web Services"",""Google Tag Manager"",""HSTS"",""USWDS""]",10740,920,200,45078,false,false,false,true,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.8.8:53""]",null,null,null,,
2026-03-20T11:26:59.105939776Z,null,null,aws,cloud,,443,https://www.data.gov,www.data.gov,https://data.gov/,301 Moved Permanently,https,,,,text/html,GET,www.data.gov,3.30.128.28,/,,,,,,353.939246ms,,null,"[""3.30.128.28"",""3.32.125.83""]","[""2600:1f12:18a:7d00:29f3:cd76:d28c:8fa0"",""2600:1f12:18a:7d01:5dad:9b6c:dd3f:a5a4""]","[""www.data.gov.external-domains-production.cloud.gov""]","[""HSTS""]",5,7,301,169,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""8.8.4.4:53""]",null,null,null,,
