timestamp,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains
2025-09-08T12:01:39.884392601Z,null,,,,443,https://5500search.dol.gov,5500search.dol.gov,https://www.efast.dol.gov/5500search/,,https,,,,,GET,72.247.207.92,/,,,,,,200.241042ms,,null,"[""72.247.207.92""]","[""2600:1404:cc00:18c::2071"",""2600:1404:cc00:187::2071""]","[""www.efast.dol.gov.edgekey.net"",""e8305.dscb.akamaiedge.net""]","[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.8.8:53""]",null,null
2025-09-08T12:01:39.893874735Z,null,,,,443,https://api.dol.gov,api.dol.gov,,,https,,,,text/html,GET,3.222.112.38,/,,,,,,208.358853ms,,null,"[""3.222.112.38"",""54.234.70.173"",""54.85.201.174""]",null,"[""d-issfbuyvji.execute-api.us-east-1.amazonaws.com""]","[""HSTS""]",34,6,200,200,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.0.0.1:53""]",null,null
2025-09-08T12:01:39.897713168Z,null,,,,443,https://api-wds.dol.gov,api-wds.dol.gov,,,https,,,,application/json,GET,3.208.220.122,/,,,,,,211.979383ms,,null,"[""3.208.220.122"",""54.209.243.23"",""54.196.80.18""]",null,"[""d-423y7mqa3k.execute-api.us-east-1.amazonaws.com""]",null,3,1,403,42,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.4.4:53""]",null,null
2025-09-08T12:01:39.903757923Z,null,,,,443,https://api.arpaui-id.dol.gov,api.arpaui-id.dol.gov,,,https,,,,application/json,GET,50.16.226.226,/,,,,,,219.375895ms,,null,"[""50.16.226.226"",""34.192.131.203"",""54.226.156.112""]",null,"[""d-fglrll1pqj.execute-api.us-east-1.amazonaws.com""]",null,3,1,403,42,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""8.8.4.4:53""]",null,null
2025-09-08T12:01:39.909719029Z,null,,,,443,https://apiprod.dol.gov,apiprod.dol.gov,,,https,,,,text/html,GET,54.84.59.231,/,,,,,,223.767457ms,,null,"[""34.197.194.147"",""52.3.3.153"",""54.84.59.231""]",null,"[""d-issfbuyvji.execute-api.us-east-1.amazonaws.com""]","[""HSTS""]",34,6,200,200,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""8.8.4.4:53""]",null,null
2025-09-08T12:01:39.910700602Z,null,,,,443,https://api.lostandfound-intake.dol.gov,api.lostandfound-intake.dol.gov,,,https,,,,application/json,GET,34.235.194.255,/,,,,,,226.481089ms,,null,"[""54.165.14.210"",""34.235.194.255"",""35.173.169.18""]",null,"[""d-8f543ciis4.execute-api.us-east-1.amazonaws.com""]",null,3,1,403,42,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null
2025-09-08T12:01:39.94068444Z,null,cloudfront,cdn,,443,https://arpaui-ipp-ok.dol.gov,arpaui-ipp-ok.dol.gov,,ERROR: The request could not be satisfied,https,,CloudFront,,text/html,GET,52.222.205.49,/,,,,,,114.535091ms,,null,"[""52.222.205.68"",""52.222.205.39"",""52.222.205.50"",""52.222.205.49""]","[""2600:9000:2027:4000:a:38ee:bb80:93a1"",""2600:9000:2027:2a00:a:38ee:bb80:93a1"",""2600:9000:2027:600:a:38ee:bb80:93a1"",""2600:9000:2027:b600:a:38ee:bb80:93a1"",""2600:9000:2027:fa00:a:38ee:bb80:93a1"",""2600:9000:2027:d000:a:38ee:bb80:93a1"",""2600:9000:2027:fe00:a:38ee:bb80:93a1"",""2600:9000:2027:ec00:a:38ee:bb80:93a1""]","[""dlopm805uot0u.cloudfront.net""]","[""Amazon CloudFront"",""Amazon Web Services""]",91,20,403,919,false,false,false,true,false,false,,null,,,,"[""8.8.4.4:53""]",null,null
2025-09-08T12:01:39.944986795Z,null,,,,443,https://api.uat-arpaui-id.dol.gov,api.uat-arpaui-id.dol.gov,,,https,,,,application/json,GET,18.205.131.92,/,,,,,,260.263564ms,,null,"[""34.231.218.143"",""18.214.80.211"",""18.205.131.92""]",null,"[""d-hp4jyqtztf.execute-api.us-east-1.amazonaws.com""]",null,1,1,403,23,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""127.0.0.53:53""]",null,null
2025-09-08T12:01:39.949621836Z,null,,,,443,https://DEVELOPER.DOL.GOV,DEVELOPER.DOL.GOV,,,https,,Microsoft-IIS/10.0,,text/html,GET,152.180.11.167,/,,,,,,265.332363ms,,null,"[""152.180.11.167""]","[""2607:f250:d020:3005:152:180:11:167f""]",null,"[""HSTS"",""IIS:10.0"",""Microsoft ASP.NET"",""Windows Server""]",11,1,401,58,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""1.1.1.1:53""]",null,null
2025-09-08T12:01:39.951299951Z,null,,,,443,https://api.seasonaljobs.dol.gov,api.seasonaljobs.dol.gov,https://api.seasonaljobs.dol.gov/user/login,Redirecting to https://api.seasonaljobs.dol.gov/user/login,https,,,,text/html,GET,13.107.246.66,/,,,,,,263.71676ms,,null,"[""13.107.246.66""]","[""2620:1ec:bdf::57""]","[""flag-production-hwe9cygyemhtgue8.a02.azurefd.net"",""shed.dual-low.s-part-0038.t-0009.t-msedge.net"",""s-part-0038.t-0009.t-msedge.net"",""shed.dual-low.s-part-0029.t-0009.t-msedge.net"",""s-part-0029.t-0009.t-msedge.net""]","[""Azure"",""Azure Front Door"",""Drupal"",""HSTS"",""PHP"",""Varnish:7.1""]",60,12,302,418,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.0.0.1:53""]",null,null
