timestamp,link_request,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,host_ip,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains,cpe,wordpress.Plugins,wordpress.Themes
2026-03-12T11:24:21.887706247Z,null,null,,,,80,http://access.fda.gov,access.fda.gov,,Invalid URL,http,,AkamaiGHost,,text/html,GET,access.fda.gov,23.194.161.182,/,,,,,,5.902381ms,,null,"[""23.194.161.182""]","[""2600:1407:3c00:889::308a"",""2600:1407:3c00:89d::308a""]","[""resolver.fda.gov.akadns.net"",""www.fda.gov.edgekey.net"",""e12426.dscb.akamaiedge.net""]",null,8,8,400,308,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""127.0.0.53:53""]",null,null,null,,
2026-03-12T11:24:21.888574013Z,null,null,,,,80,http://access.preprod.fda.gov,access.preprod.fda.gov,,Invalid URL,http,,AkamaiGHost,,text/html,GET,access.preprod.fda.gov,23.194.161.182,/,,,,,,14.701946ms,,null,"[""23.194.161.182""]","[""2600:1407:3c00:889::308a"",""2600:1407:3c00:89d::308a""]","[""resolver.fda.gov.akadns.net"",""www.fda.gov.edgekey.net"",""e12426.dscb.akamaiedge.net""]",null,8,8,400,308,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.8.8:53""]",null,null,null,,
2026-03-12T11:24:21.888590846Z,null,null,,,,80,http://access-mig.preprod.fda.gov,access-mig.preprod.fda.gov,,Invalid URL,http,,AkamaiGHost,,text/html,GET,access-mig.preprod.fda.gov,23.194.161.182,/,,,,,,4.716317ms,,null,"[""23.194.161.182""]","[""2600:1407:3c00:7a0::308a"",""2600:1407:3c00:799::308a""]","[""access.preprod.fda.gov"",""resolver.fda.gov.akadns.net"",""www.fda.gov.edgekey.net"",""e12426.dscb.akamaiedge.net""]",null,8,8,400,308,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.1.1.1:53""]",null,null,null,,
2026-03-12T11:24:21.904849652Z,null,null,,,,443,https://aaicamapi.fda.gov,aaicamapi.fda.gov,,Error 404--Not Found,https,,,,text/html,GET,aaicamapi.fda.gov,150.148.132.170,/,,,,,,101.093109ms,,null,"[""150.148.132.170""]",null,null,"[""HSTS""]",115,19,404,1164,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""1.0.0.1:53""]",null,null,null,,
2026-03-12T11:24:21.908658925Z,null,null,,,,443,https://animaldrugsatfda.fda.gov,animaldrugsatfda.fda.gov,https://animaldrugsatfda.fda.gov/adafda/views/,301 Moved Permanently,https,,,,text/html,GET,animaldrugsatfda.fda.gov,150.148.132.78,/,,,,,,107.378597ms,,null,"[""150.148.132.78""]","[""2607:f220:300:8008::4e""]",null,"[""HSTS""]",14,7,301,254,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53""]",null,null,null,,
2026-03-12T11:24:21.921577857Z,null,null,,,,443,https://animaldrugsatfda.preprod.fda.gov,animaldrugsatfda.preprod.fda.gov,https://animaldrugsatfda.preprod.fda.gov/adafda/views/,301 Moved Permanently,https,,,,text/html,GET,animaldrugsatfda.preprod.fda.gov,150.148.128.78,/,,,,,,119.9628ms,,null,"[""150.148.128.78""]","[""2607:f220:300:8208::4e""]",null,"[""HSTS""]",14,7,301,262,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""127.0.0.53:53""]",null,null,null,,
2026-03-12T11:24:21.941025816Z,null,null,,,,443,https://aaicamapi-mig.fda.gov,aaicamapi-mig.fda.gov,,Error 404--Not Found,https,,,,text/html,GET,aaicamapi-mig.fda.gov,150.148.132.170,/,,,,,,137.480595ms,,null,"[""150.148.132.170""]",null,"[""aaicamapi.fda.gov""]","[""HSTS""]",115,19,404,1164,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.0.0.1:53""]",null,null,null,,
2026-03-12T11:24:21.984973935Z,null,null,,,,443,https://agwaterassessment.fda.gov,agwaterassessment.fda.gov,,Agricultural Water,https,,nginx/1.24.0,,text/html,GET,agwaterassessment.fda.gov,150.148.26.120,/,,,,,,164.941946ms,,null,"[""150.148.26.120""]",null,null,"[""HSTS"",""Nginx:1.24.0""]",83,19,200,653,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""1.1.1.1:53""]",null,null,null,,
2026-03-12T11:24:22.038085494Z,null,null,,,,443,https://api-datadashboard.fda.gov,api-datadashboard.fda.gov,,,https,,,,application/json,GET,api-datadashboard.fda.gov,150.148.26.111,/,,,,,,237.177056ms,,null,"[""150.148.26.111""]",null,null,"[""HSTS""]",3,1,404,56,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""127.0.0.53:53""]",null,null,null,,
2026-03-12T11:24:22.059763339Z,null,null,,,,443,https://api-datadashboard.preprod.fda.gov,api-datadashboard.preprod.fda.gov,,503 Service Temporarily Unavailable,https,,awselb/2.0,,text/html,GET,api-datadashboard.preprod.fda.gov,150.148.26.110,/,,,,,,257.957433ms,,null,"[""150.148.26.110""]",null,null,"[""Amazon ELB"",""Amazon Web Services"",""HSTS""]",7,6,503,162,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.4.4:53""]",null,null,null,,
