timestamp,link_request,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,host_ip,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains,cpe,wordpress.Plugins,wordpress.Themes
2026-05-01T11:40:49.01529096Z,null,null,,,,443,https://ftc.gov,ftc.gov,https://www.ftc.gov/,,https,,AkamaiGHost,,,GET,ftc.gov,23.213.92.111,/,,,,,,48.457911ms,,null,"[""23.213.92.111""]","[""2600:1408:ec00:1081::2031"",""2600:1408:ec00:1084::2031""]",null,"[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53""]",null,null,null,,
2026-05-01T11:40:49.015526383Z,null,null,,,,443,https://bulkorder.ftc.gov,bulkorder.ftc.gov,https://www.bulkorder.ftc.gov/,,https,,AkamaiGHost,,,GET,bulkorder.ftc.gov,104.86.82.19,/,,,,,,50.474678ms,,null,"[""104.86.82.19""]","[""2600:1408:5400:b9d::2031"",""2600:1408:5400:b8d::2031""]",null,null,0,0,302,0,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""127.0.0.53:53""]",null,null,null,,
2026-05-01T11:40:49.019910856Z,null,null,,,,443,https://business.ftc.gov,business.ftc.gov,https://www.ftc.gov/tips-advice/business-center,,https,,AkamaiGHost,,,GET,business.ftc.gov,23.213.92.111,/,,,,,,54.705906ms,,null,"[""23.213.92.111""]","[""2600:1408:5400:b8d::2031"",""2600:1408:5400:b9d::2031""]","[""www.business.ftc.gov.edgekey.net"",""e8241.dscb.akamaiedge.net""]","[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53""]",null,null,null,,
2026-05-01T11:40:49.02346065Z,null,null,,,,443,https://bulkorder2.ftc.gov,bulkorder2.ftc.gov,,Invalid URL,https,,AkamaiGHost,,text/html,GET,bulkorder2.ftc.gov,23.213.92.111,/,,,,,,55.979534ms,,null,"[""23.213.92.111""]","[""2600:1408:ec00:1081::2031"",""2600:1408:ec00:1084::2031""]","[""bulkorder2.ftc.gov.edgekey.net"",""e8241.dscb.akamaiedge.net""]",null,8,8,400,312,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""1.0.0.1:53""]",null,null,null,,
2026-05-01T11:40:49.035377351Z,null,null,,,,443,https://edit.ftc.gov,edit.ftc.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,edit.ftc.gov,184.25.44.228,/,,,,,,65.026448ms,,null,"[""184.25.44.228""]","[""2600:1408:c400:78f::2031"",""2600:1408:c400:790::2031""]","[""edit.ftc.gov.edgekey.net"",""e8241.dscb.akamaiedge.net""]","[""HSTS""]",13,10,403,364,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.4.4:53""]",null,null,null,,
2026-05-01T11:40:49.035703511Z,null,null,,,,443,https://edit.bulkorder.ftc.gov,edit.bulkorder.ftc.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,edit.bulkorder.ftc.gov,104.86.82.19,/,,,,,,67.920352ms,,null,"[""104.86.82.19""]","[""2600:1408:c400:790::2031"",""2600:1408:c400:78f::2031""]","[""edit.bulkorder.ftc.gov.edgekey.net"",""e8241.dscb.akamaiedge.net""]","[""HSTS""]",13,10,403,380,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.8.8:53""]",null,null,null,,
2026-05-01T11:40:49.074693068Z,null,null,,,,443,https://adminefilingtest.ftc.gov,adminefilingtest.ftc.gov,,ServiceNow - Error report,https,,snow_adc,,text/html,GET,adminefilingtest.ftc.gov,149.96.186.75,/,,,,,,102.47568ms,,null,"[""149.96.186.75""]",null,"[""ftctest.servicenowservices.com""]","[""HSTS""]",43,1,403,664,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""8.8.4.4:53""]",null,null,"[{""product"":""servicenow"",""vendor"":""servicenow"",""cpe"":""cpe:2.3:a:servicenow:servicenow:*:*:*:*:*:*:*:*""}]",,
2026-05-01T11:40:49.147299881Z,null,null,,,,443,https://adminefiling.ftc.gov,adminefiling.ftc.gov,https://adminefiling.ftc.gov/ftcefile,,https,,snow_adc,,,GET,adminefiling.ftc.gov,149.96.186.75,/,,,,,,178.709031ms,,null,"[""149.96.186.75""]",null,"[""ftc.servicenowservices.com""]","[""HSTS"",""Java""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""8.8.8.8:53""]",null,null,null,,
2026-05-01T11:40:49.342775895Z,null,null,aws,cloud,,443,https://api.ftc.gov,api.ftc.gov,https://www.ftc.gov/developer,302 Found,https,,,,text/html,GET,api.ftc.gov,52.222.85.186,/,,,,,,373.257819ms,,null,"[""56.136.66.186"",""52.222.66.69"",""56.136.98.234"",""15.205.104.106"",""52.222.85.186"",""40.38.88.116""]","[""2600:1f12:18a:7d01:f052:e1e:ff47:5541"",""2600:1f12:18a:7d00:59c7:1c77:192a:f496"",""2600:1f12:18a:7d00:d705:d602:2bb9:9004"",""2600:1f12:18a:7d00:fa10:f5cc:72bd:bb73"",""2600:1f12:18a:7d01:80e9:355d:2c49:a44d"",""2600:1f12:18a:7d01:994e:7752:b067:1a02""]","[""api-ftc-gov.domains.api.data.gov"",""api.ftc.gov.external-domains-production.cloud.gov""]","[""HSTS""]",3,7,302,142,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53""]",null,null,null,,
2026-05-01T11:40:49.405886794Z,null,null,,,,443,https://hsrfilingtest.ftc.gov,hsrfilingtest.ftc.gov,,ServiceNow - Error report,https,,snow_adc,,text/html,GET,hsrfilingtest.ftc.gov,149.96.186.75,/,,,,,,86.181227ms,,null,"[""149.96.186.75""]",null,"[""ftctest.servicenowservices.com""]","[""HSTS""]",43,1,403,664,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.8.8:53""]",null,null,"[{""product"":""servicenow"",""vendor"":""servicenow"",""cpe"":""cpe:2.3:a:servicenow:servicenow:*:*:*:*:*:*:*:*""}]",,
2026-05-01T11:40:49.443691024Z,null,null,,,,443,https://www.business.ftc.gov,www.business.ftc.gov,https://www.ftc.gov/tips-advice/business-center,,https,,AkamaiGHost,,,GET,www.business.ftc.gov,23.213.92.111,/,,,,,,61.43296ms,,null,"[""23.213.92.111""]","[""2600:1408:c400:78f::2031"",""2600:1408:c400:790::2031""]","[""www.business.ftc.gov.edgekey.net"",""e8241.dscb.akamaiedge.net""]","[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53""]",null,null,null,,
2026-05-01T11:40:49.44972262Z,null,null,,,,443,https://rntest.ftc.gov,rntest.ftc.gov,,ServiceNow - Error report,https,,snow_adc,,text/html,GET,rntest.ftc.gov,149.96.186.75,/,,,,,,111.026497ms,,null,"[""149.96.186.75""]",null,"[""ftctest.servicenowservices.com""]","[""HSTS""]",43,1,403,664,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""1.1.1.1:53""]",null,null,"[{""product"":""servicenow"",""vendor"":""servicenow"",""cpe"":""cpe:2.3:a:servicenow:servicenow:*:*:*:*:*:*:*:*""}]",,
2026-05-01T11:40:49.45180389Z,null,null,,,,443,https://servicecenterdev.ftc.gov,servicecenterdev.ftc.gov,,ServiceNow - Error report,https,,snow_adc,,text/html,GET,servicecenterdev.ftc.gov,149.96.186.75,/,,,,,,107.956962ms,,null,"[""149.96.186.75""]",null,"[""ftcdev.servicenowservices.com""]","[""HSTS""]",43,1,403,664,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.4.4:53""]",null,null,"[{""product"":""servicenow"",""vendor"":""servicenow"",""cpe"":""cpe:2.3:a:servicenow:servicenow:*:*:*:*:*:*:*:*""}]",,
2026-05-01T11:40:49.462638132Z,null,null,,,,443,https://www.consumidor.ftc.gov,www.consumidor.ftc.gov,https://consumidor.ftc.gov/,,https,,AkamaiGHost,,,GET,www.consumidor.ftc.gov,23.213.92.111,/,,,,,,78.169844ms,,null,"[""23.213.92.111""]","[""2600:1408:ec00:1081::2031"",""2600:1408:ec00:1084::2031""]","[""www.consumer.ftc.gov.edgekey.net"",""e8241.dscb.akamaiedge.net""]","[""HSTS""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null,null,,
2026-05-01T11:40:49.463214816Z,null,null,,,,443,https://rn.ftc.gov,rn.ftc.gov,https://rn.ftc.gov/rns,,https,,snow_adc,,,GET,rn.ftc.gov,149.96.186.75,/,,,,,,133.253316ms,,null,"[""149.96.186.75""]",null,"[""ftc.servicenowservices.com""]","[""HSTS"",""Java""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""1.0.0.1:53""]",null,null,null,,
2026-05-01T11:40:49.476628608Z,null,null,cloudfront,cdn,,443,https://reportefraude.ftc.gov,reportefraude.ftc.gov,,ReportFraud.ftc.gov,https,,CloudFront,,text/html,GET,reportefraude.ftc.gov,13.226.238.86,/,,,,,,65.084807ms,,null,"[""13.226.238.106"",""13.226.238.86"",""13.226.238.34"",""13.226.238.91""]",null,null,"[""Amazon CloudFront"",""Amazon Web Services"",""Azure"",""Azure Monitor"",""HSTS"",""HTTP/3"",""dc.js""]",314,40,200,5408,false,false,false,true,false,false,,null,,,,"[""8.8.8.8:53"",""8.8.4.4:53""]",null,null,null,,
2026-05-01T11:40:49.49192188Z,null,null,cloudfront,cdn,,443,https://reportfraud.ftc.gov,reportfraud.ftc.gov,,ReportFraud.ftc.gov,https,,CloudFront,,text/html,GET,reportfraud.ftc.gov,18.67.65.80,/,,,,,,88.961601ms,,null,"[""18.67.65.17"",""18.67.65.20"",""18.67.65.59"",""18.67.65.80""]",null,null,"[""Amazon CloudFront"",""Amazon Web Services"",""Azure"",""Azure Monitor"",""HSTS"",""HTTP/3""]",313,40,200,5398,false,false,false,true,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.4.4:53""]",null,null,null,,
