timestamp,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains
2025-09-10T11:59:21.320536844Z,null,,,,443,https://bulkorder.ftc.gov,bulkorder.ftc.gov,https://www.bulkorder.ftc.gov/,,https,,AkamaiGHost,,,GET,23.204.167.82,/,,,,,,109.025661ms,,null,"[""23.204.167.82""]","[""2600:1404:6400:293::2031"",""2600:1404:6400:28d::2031""]",null,null,0,0,302,0,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.8.8:53""]",null,null
2025-09-10T11:59:21.366409739Z,null,,,,443,https://business.ftc.gov,business.ftc.gov,https://www.ftc.gov/tips-advice/business-center,,https,,AkamaiGHost,,,GET,72.247.207.26,/,,,,,,155.340319ms,,null,"[""72.247.207.26""]","[""2600:1404:1200:b80::2031"",""2600:1404:1200:b88::2031""]","[""www.business.ftc.gov.edgekey.net"",""e8241.dscb.akamaiedge.net""]","[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null
2025-09-10T11:59:21.384046599Z,null,,,,443,https://edit.bulkorder.ftc.gov,edit.bulkorder.ftc.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,72.247.207.26,/,,,,,,171.382942ms,,null,"[""72.247.207.26""]","[""2600:1404:1200:b80::2031"",""2600:1404:1200:b88::2031""]","[""edit.bulkorder.ftc.gov.edgekey.net"",""e8241.dscb.akamaiedge.net""]","[""HSTS""]",13,10,403,378,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.1.1.1:53""]",null,null
2025-09-10T11:59:21.384997548Z,null,,,,443,https://edit.ftc.gov,edit.ftc.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,72.247.207.26,/,,,,,,172.692927ms,,null,"[""72.247.207.26""]","[""2600:1404:1200:b88::2031"",""2600:1404:1200:b80::2031""]","[""edit.ftc.gov.edgekey.net"",""e8241.dscb.akamaiedge.net""]","[""HSTS""]",13,10,403,364,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53""]",null,null
2025-09-10T11:59:21.392585059Z,null,,,,443,https://ftc.gov,ftc.gov,https://www.ftc.gov/,,https,,AkamaiGHost,,,GET,96.17.39.185,/,,,,,,182.391063ms,,null,"[""96.17.39.185""]","[""2600:1406:5800:7a2::2031"",""2600:1406:5800:7a6::2031""]",null,"[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.4.4:53""]",null,null
2025-09-10T11:59:21.481149548Z,null,,,,443,https://adminefilingtest.ftc.gov,adminefilingtest.ftc.gov,,ServiceNow - Error report,https,,snow_adc,,text/html,GET,149.96.186.75,/,,,,,,265.445349ms,,null,"[""149.96.186.75""]",null,"[""ftctest.servicenowservices.com""]","[""HSTS""]",43,1,403,668,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53""]",null,null
2025-09-10T11:59:21.568941131Z,null,,,,443,https://adminefiling.ftc.gov,adminefiling.ftc.gov,https://adminefiling.ftc.gov/ftcefile,,https,,snow_adc,,,GET,149.96.186.75,/,,,,,,356.876622ms,,null,"[""149.96.186.75""]",null,"[""ftc.servicenowservices.com""]","[""HSTS"",""Java""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""8.8.4.4:53""]",null,null
2025-09-10T11:59:21.790451754Z,null,,,,443,https://bulkorder2.ftc.gov,bulkorder2.ftc.gov,,Invalid URL,https,,AkamaiGHost,,text/html,GET,72.247.207.26,/,,,,,,577.316918ms,,null,"[""72.247.207.26""]","[""2600:1404:6400:293::2031"",""2600:1404:6400:28d::2031""]","[""bulkorder2.ftc.gov.edgekey.net"",""e8241.dscb.akamaiedge.net""]",null,8,8,400,310,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""1.0.0.1:53""]",null,null
2025-09-10T11:59:21.792544692Z,null,,,,443,https://foiaxpresspal.ftc.gov,foiaxpresspal.ftc.gov,,FTC Public Access Link-Home,https,,,,text/html,GET,65.196.93.116,/,,,,,,431.388495ms,,null,"[""65.196.93.116""]",null,null,"[""Bootstrap"",""HSTS"",""Microsoft ASP.NET"",""Popper"",""jQuery:3.7.1""]",6968,492,200,24361,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.4.4:53""]",null,null
2025-09-10T11:59:22.102796019Z,null,,,,443,https://hsrfilingtest.ftc.gov,hsrfilingtest.ftc.gov,,ServiceNow - Error report,https,,snow_adc,,text/html,GET,149.96.186.75,/,,,,,,297.687553ms,,null,"[""149.96.186.75""]",null,"[""ftctest.servicenowservices.com""]","[""HSTS""]",43,1,403,668,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53""]",null,null
