timestamp,link_request,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,host_ip,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains,cpe,wordpress.Plugins,wordpress.Themes
2026-05-01T11:40:46.593075579Z,null,null,aws,cloud,,443,https://acm-test.data.mcaas.fcs.gsa.gov,acm-test.data.mcaas.fcs.gsa.gov,,403 Forbidden,https,,awselb/2.0,,text/html,GET,acm-test.data.mcaas.fcs.gsa.gov,52.71.43.241,/,,,,,,226.451795ms,,null,"[""52.71.43.241"",""44.209.27.79"",""34.197.218.1""]",null,"[""public-nlb.staging.data.mcaas.fcs.gsa.gov""]","[""Amazon ELB"",""Amazon Web Services""]",69,12,403,520,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""1.1.1.1:53""]",null,null,null,,
2026-05-01T11:40:46.593198413Z,null,null,aws,cloud,,443,https://8astars.fas.gsa.gov,8astars.fas.gsa.gov,https://8astars.fas.gsa.gov/GWACPriceTool/,301 Moved Permanently,https,,,,text/html,GET,8astars.fas.gsa.gov,44.209.106.138,/,,,,,,228.847404ms,,null,"[""54.175.168.242"",""100.29.140.68"",""44.209.106.138"",""35.170.14.33""]",null,"[""nlb.prod-acqit.helix.gsa.gov""]","[""HSTS""]",14,7,301,250,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""8.8.8.8:53""]",null,null,null,,
2026-05-01T11:40:46.624855292Z,null,null,,,,443,https://Test.oasis.gsa.gov,Test.oasis.gsa.gov,,,https,,,,text/html,GET,Test.oasis.gsa.gov,144.69.65.29,/,,,,,,258.351388ms,,null,"[""144.69.65.29""]",null,null,"[""HSTS"",""Java""]",9,6,200,158,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""127.0.0.53:53""]",null,null,null,,
2026-05-01T11:40:46.628361243Z,null,null,,,,443,https://DSS.GSA.GOV,DSS.GSA.GOV,https://auth.gsa.gov/home/gsauth_docusign_1/0oab3l34lwG2Ky0p34h7/alnb3l7yoiQF2QKa74h7,307 Temporary Redirect,https,,Apache,,text/html,GET,DSS.GSA.GOV,159.142.191.107,/,,,,,,263.059211ms,,null,"[""159.142.191.107""]",null,null,"[""Apache HTTP Server"",""HSTS""]",14,7,307,295,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.4.4:53""]",null,null,null,,
2026-05-01T11:40:46.633389716Z,null,null,aws,cloud,,443,https://889-stg.smartpay.gsa.gov,889-stg.smartpay.gsa.gov,,GSA 889 Representations Tool,https,,istio-envoy,,text/html,GET,889-stg.smartpay.gsa.gov,184.72.152.222,/,,,,,,233.860599ms,,null,"[""52.1.76.103"",""184.72.152.222"",""98.89.194.73""]",null,"[""public-nlb.staging.smartpay.mcaas.fcs.gsa.gov""]","[""Envoy"",""HSTS"",""USWDS""]",141,25,200,1358,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null,null,,
2026-05-01T11:40:46.751545993Z,null,null,aws,cloud,,443,https://889.smartpay.gsa.gov,889.smartpay.gsa.gov,,GSA 889 Representations Tool,https,,istio-envoy,,text/html,GET,889.smartpay.gsa.gov,44.208.182.130,/,,,,,,350.448168ms,,null,"[""44.223.227.224"",""44.208.182.130"",""23.23.62.114""]",null,"[""public-nlb.prod.smartpay.mcaas.fcs.gsa.gov""]","[""Envoy"",""HSTS"",""USWDS""]",141,25,200,1358,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53""]",null,null,null,,
2026-05-01T11:40:46.812956073Z,null,null,,,,443,https://aacinquiry.fas.gsa.gov,aacinquiry.fas.gsa.gov,,,https,,Apache,,text/html,GET,aacinquiry.fas.gsa.gov,159.142.122.136,/,,,,,,446.898564ms,,null,"[""159.142.122.135"",""159.142.122.136""]",null,null,"[""Apache HTTP Server"",""HSTS""]",3,5,200,128,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""8.8.4.4:53""]",null,null,null,,
2026-05-01T11:40:46.850637296Z,null,null,,,,443,https://ack.usaccess.gsa.gov,ack.usaccess.gsa.gov,,Peraton Assured Identity,https,,,,text/html,GET,ack.usaccess.gsa.gov,192.4.0.13,/,,,,,,244.189174ms,,null,"[""192.4.0.13""]",null,null,"[""Bootstrap"",""Font Awesome"",""HSTS"",""jQuery""]",241,92,200,83881,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""127.0.0.53:53""]",null,null,"[{""product"":""n8n"",""vendor"":""n8n"",""cpe"":""cpe:2.3:a:n8n:n8n:*:*:*:*:*:*:*:*""}]",,
2026-05-01T11:40:46.873919261Z,null,null,cloudfront,cdn,,443,https://10x.gsa.gov,10x.gsa.gov,,Home | 10x - Solutions for Better Civic Tech,https,,,,text/html,GET,10x.gsa.gov,108.156.91.111,/,,,,,,341.018614ms,,null,"[""108.156.91.53"",""108.156.91.103"",""108.156.91.111"",""108.156.91.68""]","[""2600:9000:2351:8600:3:1f3b:b980:93a1"",""2600:9000:2351:400:3:1f3b:b980:93a1"",""2600:9000:2351:f400:3:1f3b:b980:93a1"",""2600:9000:2351:7a00:3:1f3b:b980:93a1"",""2600:9000:2351:1a00:3:1f3b:b980:93a1"",""2600:9000:2351:8400:3:1f3b:b980:93a1"",""2600:9000:2351:8e00:3:1f3b:b980:93a1"",""2600:9000:2351:a00:3:1f3b:b980:93a1""]","[""10x.gsa.gov.external-domains-production.cloud.gov""]","[""Amazon CloudFront"",""Amazon Web Services"",""Google Analytics"",""Google Tag Manager"",""HSTS"",""USWDS""]",1262,13,200,20574,false,false,false,true,false,false,,null,,,,"[""8.8.8.8:53"",""1.1.1.1:53""]",null,null,"[{""product"":""webp_server_go"",""vendor"":""webp"",""cpe"":""cpe:2.3:a:webp:webp_server_go:*:*:*:*:*:*:*:*""}]",,
2026-05-01T11:40:46.888981194Z,null,null,,,,443,https://advantage.gsa.gov,advantage.gsa.gov,,,https,,Apache,,text/html,GET,advantage.gsa.gov,159.142.122.169,/,,,,,,524.842661ms,,null,"[""159.142.122.169"",""159.142.122.168""]",null,"[""www.gsaadvantage.gov""]","[""Apache HTTP Server"",""HSTS""]",3,5,200,142,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""1.1.1.1:53""]",null,null,null,,
