timestamp,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains
2025-09-14T11:55:18.350420429Z,null,,,,443,https://ADFSI.GSA.GOV,ADFSI.GSA.GOV,,Not Found,https,,Microsoft-HTTPAPI/2.0,,text/html,GET,159.142.213.214,/,,,,,,245.110686ms,,null,"[""159.142.213.214"",""159.142.122.34""]",null,null,"[""Microsoft HTTPAPI:2.0""]",19,6,404,315,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.1.1.1:53""]",null,null
2025-09-14T11:55:18.358593694Z,null,,,,443,https://acre.gsa.gov,acre.gsa.gov,https://acre.gsa.gov/Framework/Account/Login?ReturnUrl=%2F,,https,,,,,GET,159.142.128.225,/,,,,,,258.04183ms,,null,"[""159.142.128.225""]",null,null,"[""HSTS""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53""]",null,null
2025-09-14T11:55:18.454947549Z,null,,,,443,https://anywhere.gsa.gov,anywhere.gsa.gov,/logon/LogonPoint/tmindex.html,,https,,,,text/html,GET,159.142.60.141,/,,,,,,345.678966ms,,null,"[""159.142.60.141""]","[""2620:0:150:2800::112"",""2620:0:150:140f::202""]",null,"[""HSTS""]",20,1,302,413,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53""]",null,null
2025-09-14T11:55:18.458096942Z,null,,,,443,https://CERTAUTH.ADFSI.GSA.GOV,CERTAUTH.ADFSI.GSA.GOV,,Not Found,https,,Microsoft-HTTPAPI/2.0,,text/html,GET,159.142.213.214,/,,,,,,356.755686ms,,null,"[""159.142.122.34"",""159.142.213.214""]",null,null,"[""Microsoft HTTPAPI:2.0""]",19,6,404,315,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""127.0.0.53:53""]",null,null
2025-09-14T11:55:18.662655376Z,null,,,,443,https://MSA-pub.gsa.gov,MSA-pub.gsa.gov,https://g.zpa-auth.net:443/IevTunx4Bg/doauth?origurl=https%3A%2F%2Fmsa%2Dpub%2Egsa%2Egov%3A443%2F,,https,,ZBA/1.0,,text/html,GET,170.85.49.49,/,,,,,,562.13666ms,,null,"[""170.85.49.48"",""170.85.49.49""]","[""2605:4300:2c12:0:88e2:60b3:5ef5:51c7"",""2605:4300:2c12:1:8457:671c:d135:1343""]","[""4034.72057770131587072.h.g.zpa-app.net"",""exporter.zpagov.net"",""exporter.gslb.zpagov.net"",""was3.exporter.gslb.zpagov.net"",""exporter-lb-be09eb149ec1c51f.elb.us-gov-east-1.amazonaws.com""]","[""HSTS""]",0,0,303,0,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53""]",null,null
2025-09-14T11:55:18.746475401Z,null,,,,443,https://akamaisecure.qualtrics.com,akamaisecure.qualtrics.com,/login,,https,,,,text/html,GET,23.8.30.79,/,,,,,,646.233404ms,,null,"[""23.8.30.79""]",null,"[""akamaisecure.qualtrics.com.edgekey-staging.net"",""e8716.b.akamaiedge-staging.net""]","[""HSTS""]",2,1,302,29,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53""]",null,null
2025-09-14T11:55:18.794523484Z,null,,,,443,https://api-np.etsnext.fas.gsa.gov,api-np.etsnext.fas.gsa.gov,,403 Forbidden,https,,,,text/html,GET,3.30.187.88,/,,,,,,425.60643ms,,null,"[""3.30.192.167"",""3.30.187.88""]",null,"[""lbnp.lb-gprod-rt.anypointdns.net""]","[""HSTS""]",3,6,403,118,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""127.0.0.53:53""]",null,null
2025-09-14T11:55:18.826718249Z,null,,,,443,https://api.gsa.gov,api.gsa.gov,https://open.gsa.gov/api/,302 Found,https,,,,text/html,GET,56.136.42.235,/,,,,,,349.547232ms,,null,"[""56.136.42.235"",""52.61.36.133""]","[""2600:1f12:18a:7d01:a934:4d54:b57c:55d3"",""2600:1f12:18a:7d00:8821:137d:b79f:acbc""]","[""api-gsa-gov.domains.api.data.gov"",""api.gsa.gov.external-domains-production.cloud.gov""]","[""HSTS""]",3,7,302,142,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53""]",null,null
2025-09-14T11:55:19.03649232Z,null,,,,443,https://api.tacre.gsa.gov,api.tacre.gsa.gov,https://auth.tacre.gsa.gov/realms/ACRE/protocol/openid-connect/auth?client_id=UptickOidc&redirect_uri=https%3A%2F%2Ftacre.gsa.gov%2FFramework%2FPortalHome%2FPortal%2F&response_type=code&scope=openid%20profile%20email%20offline_access&code_challenge=Tb7XS78R8t6qYqrTjeWNf8ccaCRh5pz77EN9hdETpvA&code_challenge_method=S256&state=OpenIdConnect.AuthenticationProperties%3D8oVYWTm-u3O4_yxm3159OUP8obemlVndNzn5ZHn8yfKnI4GGDd630Xx-vLTZdg25Mu9Kr0tMfhvlg3SLAXyV1_qqE1AQBKaGRSFVn1uTlDpDJueNcJ33ZgBtizgL2ny2LpvbY12F2IFwR4ac2vKDOcpYmTdtaNIKQRkVbsFa3oqqBknnWLDgSVbYH3v0Bt60ODRDHJYA5t7jHShlBRUKAwNJI4tPtV1YAcSrbhRRazkztyQnSrrXJl3f5tyg1MUsVLsMSHktjGPvJEQthfrZLZP0QP58eerrjBkURgd_9GuwrTHm&response_mode=form_post&nonce=638934477190630316.NDcyMjg0YTItMjQ0Yy00Zjk4LTgwZTMtMjQwZTFlNTYyODUwZDQ3MzNlYWQtM2NhZC00MGI5LWIyM2YtOTc4MTAxMjU1ZDg2&x-client-SKU=ID_NET472&x-client-ver=8.6.0.0,,https,,,,,GET,159.142.68.24,/,,,,,,335.490127ms,,null,"[""159.142.68.24""]",null,null,"[""HSTS""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.4.4:53""]",null,null
2025-09-14T11:55:19.073487673Z,null,,,,443,https://aacinquiry.fas.gsa.gov,aacinquiry.fas.gsa.gov,,,https,,Apache,,text/html,GET,159.142.122.136,/,,,,,,971.909372ms,,null,"[""159.142.122.135"",""159.142.122.136""]",null,null,"[""Apache HTTP Server"",""HSTS""]",3,5,200,128,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.0.0.1:53""]",null,null
