timestamp,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains
2025-09-16T11:56:58.600511601Z,null,,,,443,https://aca.api.healthcare.gov,aca.api.healthcare.gov,,Access Denied,https,,,,text/html,GET,23.59.197.104,/,,,,,,90.941006ms,,null,"[""23.59.197.104""]","[""2600:1406:2e00:397::1fc4"",""2600:1406:2e00:3ac::1fc4""]","[""production.healthcare.gov.edgekey.net"",""e8132.dscx.akamaiedge.net""]","[""HSTS""]",13,10,403,378,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""127.0.0.53:53""]",null,null
2025-09-16T11:56:58.604294627Z,null,,,,443,https://adobe-ep.healthcare.gov,adobe-ep.healthcare.gov,,,https,,jag,,,GET,63.140.36.131,/,,,,,,96.263833ms,,null,"[""63.140.37.103"",""63.140.36.86"",""63.140.36.165"",""63.140.36.107"",""63.140.36.67"",""63.140.37.151"",""63.140.37.238"",""63.140.37.246"",""63.140.36.131"",""63.140.37.142""]",null,"[""kvop8mlpon.data.adobedc.net""]","[""HSTS""]",0,0,200,0,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.8.8:53""]",null,null
2025-09-16T11:56:58.61628572Z,null,,,,443,https://dev.marketplace-int.api.healthcare.gov,dev.marketplace-int.api.healthcare.gov,,Access Denied,https,,,,text/html,GET,23.61.246.151,/,,,,,,106.185782ms,,null,"[""23.61.246.151"",""23.61.246.156""]","[""2600:1406:2e00:49::172e:d8ce"",""2600:1406:2e00:49::172e:d8d1""]","[""nonprod2.healthcare.gov.edgekey.net"",""e199459.dscx.akamaiedge.net""]","[""HSTS""]",13,10,403,404,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.0.0.1:53""]",null,null
2025-09-16T11:56:58.621547124Z,null,,,,443,https://dev.marketplace.api.healthcare.gov,dev.marketplace.api.healthcare.gov,,Access Denied,https,,,,text/html,GET,23.61.246.156,/,,,,,,78.636954ms,,null,"[""23.61.246.156"",""23.61.246.151""]","[""2600:1406:2e00:49::172e:d8ce"",""2600:1406:2e00:49::172e:d8d1""]","[""nonprod2.healthcare.gov.edgekey.net"",""e199459.dscx.akamaiedge.net""]","[""HSTS""]",13,10,403,396,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53""]",null,null
2025-09-16T11:56:58.625711756Z,null,,,,443,https://data.healthcare.gov,data.healthcare.gov,,CMS Healthcare Data,https,,,,text/html,GET,23.59.197.104,/,,,,,,55.01419ms,,null,"[""23.59.197.104""]","[""2600:1406:2e00:3ac::1fc4"",""2600:1406:2e00:397::1fc4""]","[""production.healthcare.gov.edgekey.net"",""e8132.dscx.akamaiedge.net""]","[""Acquia Cloud Platform:next"",""Akamai"",""Amazon Web Services"",""Drupal:10"",""HSTS"",""PHP""]",623,65,200,12097,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.1.1.1:53""]",null,null
2025-09-16T11:56:58.631501706Z,null,,,,443,https://companyprofiles.imp.healthcare.gov,companyprofiles.imp.healthcare.gov,,Access Denied,https,,,,text/html,GET,23.61.246.147,/,,,,,,121.991824ms,,null,"[""23.61.246.147"",""23.61.246.150""]","[""2600:1406:d400::17df:f73b"",""2600:1406:d400::17df:f72a""]","[""nonprod.healthcare.gov.edgekey.net"",""e229198.dscx.akamaiedge.net""]","[""HSTS""]",13,10,403,390,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.4.4:53""]",null,null
2025-09-16T11:56:58.671833119Z,null,,,,443,https://dev.status.healthcare.gov,dev.status.healthcare.gov,,Access Denied,https,,,,text/html,GET,23.61.246.136,/,,,,,,63.656731ms,,null,"[""23.61.246.136"",""23.61.246.151""]","[""2600:1406:2e00:49::172e:d8c9"",""2600:1406:2e00:49::172e:d8c4""]","[""nonproduction3.healthcare.gov.edgekey.net"",""e257472.dscx.akamaiedge.net""]","[""HSTS""]",13,10,403,383,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53""]",null,null
2025-09-16T11:56:58.672489593Z,null,,,,443,https://companyprofiles.test.healthcare.gov,companyprofiles.test.healthcare.gov,,Access Denied,https,,,,text/html,GET,23.212.62.237,/,,,,,,161.408461ms,,null,"[""23.212.62.237"",""23.212.62.244""]","[""2600:1406:2e00:49::172e:d8c6"",""2600:1406:2e00:49::172e:d8ca""]","[""nonprod.healthcare.gov.edgekey.net"",""e229198.dscx.akamaiedge.net""]","[""HSTS""]",13,10,403,391,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""127.0.0.53:53""]",null,null
2025-09-16T11:56:58.672730869Z,null,,,,443,https://dev-t.healthcare.gov,dev-t.healthcare.gov,,Access Denied,https,,,,text/html,GET,23.61.246.156,/,,,,,,162.441007ms,,null,"[""23.61.246.156"",""23.61.246.151""]","[""2600:1406:2e00:49::172e:d8d1"",""2600:1406:2e00:49::172e:d8ce""]","[""nonprod2.healthcare.gov.edgekey.net"",""e199459.dscx.akamaiedge.net""]","[""Akamai"",""Akamai Bot Manager"",""HSTS""]",13,10,403,376,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null
2025-09-16T11:56:58.672838041Z,null,,,,443,https://api.finder.test.healthcare.gov,api.finder.test.healthcare.gov,,Access Denied,https,,,,text/html,GET,23.61.246.147,/,,,,,,163.577727ms,,null,"[""23.61.246.147"",""23.61.246.150""]","[""2600:1406:2e00:49::172e:d8ca"",""2600:1406:2e00:49::172e:d8c6""]","[""nonprod.healthcare.gov.edgekey.net"",""e229198.dscx.akamaiedge.net""]","[""HSTS""]",13,10,403,392,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.1.1.1:53""]",null,null
