timestamp,link_request,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,host_ip,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains,cpe,wordpress.Plugins,wordpress.Themes
2026-09-04T03:36:05.743077409Z,null,null,,,,443,https://ahrf-stage.hdw.hrsa.gov,ahrf-stage.hdw.hrsa.gov,,Access Denied,https,,,,text/html,GET,ahrf-stage.hdw.hrsa.gov,23.52.0.235,/,,,,,,117.364661ms,,null,"[""23.52.0.235"",""23.52.0.230""]","[""2600:1404:6400:20::17c6:7ab"",""2600:1404:6400:20::17c6:7ac""]","[""ahrf-stage.edgekey.net"",""e369638.dscb.akamaiedge.net""]","[""HSTS"",""HTTP/3""]",13,10,403,385,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.8.8:53""]",null,null,null,,
2026-09-04T03:36:05.759391398Z,null,null,,,,443,https://aka-www.hhs.gov,aka-www.hhs.gov,,Access Denied,https,,,,text/html,GET,aka-www.hhs.gov,23.50.49.33,/,,,,,,136.173118ms,,null,"[""23.50.49.33"",""23.50.49.40""]","[""2600:14a0:80::1732:3128"",""2600:14a0:80::1732:3121""]","[""wwwhhs.testhhs.akadns.net"",""e252903.dscx.akamaiedge-staging.net""]","[""HTTP/3""]",13,10,403,371,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""1.0.0.1:53""]",null,null,null,,
2026-09-04T03:36:05.768897306Z,null,null,,,,443,https://340bpricing.hrsa.gov,340bpricing.hrsa.gov,https://340bpricing.hrsa.gov/Account/Login?ReturnUrl=%2F,,https,,,,,GET,340bpricing.hrsa.gov,23.62.226.174,/,,,,,,146.529696ms,,null,"[""23.62.226.174"",""23.62.226.168""]","[""2600:1406:bc00:6b::1734:e6"",""2600:1406:bc00:6b::1734:f1""]","[""340bpricing.edgekey.net"",""e197743.dscb.akamaiedge.net""]","[""HSTS"",""HTTP/3""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null,null,,
2026-09-04T03:36:05.772612342Z,null,null,,,,443,https://akastage-bhw.hrsa.gov,akastage-bhw.hrsa.gov,,Access Denied,https,,,,text/html,GET,akastage-bhw.hrsa.gov,23.50.49.40,/,,,,,,148.912963ms,,null,"[""23.50.49.40"",""23.50.49.33""]","[""2600:14a0:20:1::1732:34f5"",""2600:14a0:20:1::1732:34f8""]","[""bhw-hrsa.testhhs.akadns.net"",""e252903.dsca.akamaiedge-staging.net""]","[""HSTS""]",13,10,403,377,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""8.8.8.8:53""]",null,null,null,,
2026-09-04T03:36:05.782790437Z,null,null,,,,443,https://appxtender.npdb.hrsa.gov,appxtender.npdb.hrsa.gov,,Access Denied,https,,,,text/html,GET,appxtender.npdb.hrsa.gov,23.43.51.68,/,,,,,,159.853763ms,,null,"[""23.43.51.68"",""23.43.51.76""]",null,"[""web-int.npdb.hrsa.gov.edgekey.net"",""e357468.b.akamaiedge.net""]","[""HTTP/3""]",13,10,403,382,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""127.0.0.53:53""]",null,null,null,,
2026-09-04T03:36:05.784410027Z,null,null,,,,443,https://akaprod-nhsc.hrsa.gov,akaprod-nhsc.hrsa.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,akaprod-nhsc.hrsa.gov,23.50.49.33,/,,,,,,161.088358ms,,null,"[""23.50.49.40"",""23.50.49.33""]","[""2600:14a0:80::1732:3128"",""2600:14a0:80::1732:3121""]","[""nhsc-hrsa.testhhs.akadns.net"",""e252903.dsca.akamaiedge-staging.net""]","[""HSTS""]",13,10,403,375,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.0.0.1:53""]",null,null,null,,
2026-09-04T03:36:05.785624231Z,null,null,,,,443,https://akaprod-bhw.hrsa.gov,akaprod-bhw.hrsa.gov,,Access Denied,https,,,,text/html,GET,akaprod-bhw.hrsa.gov,23.50.49.40,/,,,,,,162.724653ms,,null,"[""23.50.49.40"",""23.50.49.33""]","[""2600:14a0:80::1732:3128"",""2600:14a0:80::1732:3121""]","[""bhw-hrsa.testhhs.akadns.net"",""e252903.dsca.akamaiedge-staging.net""]","[""HSTS""]",13,10,403,374,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.1.1.1:53""]",null,null,null,,
2026-09-04T03:36:05.786009878Z,null,null,,,,443,https://akaprod-ryanwhite.hrsa.gov,akaprod-ryanwhite.hrsa.gov,,Access Denied,https,,,,text/html,GET,akaprod-ryanwhite.hrsa.gov,23.50.49.40,/,,,,,,161.979028ms,,null,"[""23.50.49.40"",""23.50.49.33""]","[""2600:14a0:20:1::1732:34f8"",""2600:14a0:20:1::1732:34f5""]","[""hab-hrsa.testhhs.akadns.net"",""e252903.dsca.akamaiedge-staging.net""]","[""HSTS"",""HTTP/3""]",13,10,403,380,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53""]",null,null,null,,
2026-09-04T03:36:05.790453303Z,null,null,,,,443,https://akastage-mchbgrandchallenges.hrsa.gov,akastage-mchbgrandchallenges.hrsa.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,akastage-mchbgrandchallenges.hrsa.gov,23.50.49.33,/,,,,,,166.682124ms,,null,"[""23.50.49.33"",""23.50.49.40""]","[""2600:14a0:80::1732:3121"",""2600:14a0:80::1732:3128""]","[""mchbgrandchallenges-hrsa.testhhs.akadns.net"",""e252903.dscx.akamaiedge-staging.net""]","[""HSTS""]",13,10,403,391,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53""]",null,null,null,,
2026-09-04T03:36:05.794512379Z,null,null,,,,443,https://akastage-nhsc.hrsa.gov,akastage-nhsc.hrsa.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,akastage-nhsc.hrsa.gov,23.50.49.40,/,,,,,,171.798762ms,,null,"[""23.50.49.40"",""23.50.49.33""]","[""2600:14a0:20:1::1732:34f5"",""2600:14a0:20:1::1732:34f8""]","[""nhsc-hrsa.testhhs.akadns.net"",""e252903.dsca.akamaiedge-staging.net""]","[""HSTS""]",13,10,403,378,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.4.4:53""]",null,null,null,,
