timestamp,link_request,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,host_ip,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains,cpe,wordpress.Plugins,wordpress.Themes
2026-04-05T11:24:14.111501068Z,null,null,,,,443,https://edit-preview.ice.gov,edit-preview.ice.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,edit-preview.ice.gov,23.1.51.247,/,,,,,,36.153013ms,,null,"[""23.1.51.247""]","[""2600:1408:c400:392::1b63"",""2600:1408:c400:388::1b63""]","[""edit-preview.ice.gov.edgekey.net"",""e7011.dsca.akamaiedge.net""]","[""HSTS""]",13,10,403,378,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""8.8.8.8:53""]",null,null,null,,
2026-04-05T11:24:14.119431903Z,null,null,,,,443,https://edit.ice.gov,edit.ice.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,edit.ice.gov,23.1.51.247,/,,,,,,46.225628ms,,null,"[""23.1.51.247""]","[""2600:1408:c400:388::1b63"",""2600:1408:c400:392::1b63""]","[""edit.ice.gov.edgekey.net"",""e7011.dsca.akamaiedge.net""]","[""HSTS""]",13,10,403,366,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53""]",null,null,null,,
2026-04-05T11:24:14.121496647Z,null,null,,,,443,https://careers.secretservice.gov,careers.secretservice.gov,https://www.secretservice.gov/careers,,https,,AkamaiGHost,,,GET,careers.secretservice.gov,184.25.41.118,/,,,,,,50.311546ms,,null,"[""184.25.41.118""]","[""2600:1408:c400:383::1cc7"",""2600:1408:c400:397::1cc7""]","[""careers.secretservice.gov.edgekey.net"",""e7367.dsca.akamaiedge.net""]","[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.8.8:53""]",null,null,null,,
2026-04-05T11:24:14.123321224Z,null,null,,,,443,https://m.ice.gov,m.ice.gov,https://www.ice.gov/mobile/,,https,,AkamaiGHost,,,GET,m.ice.gov,104.68.244.253,/,,,,,,51.570658ms,,null,"[""104.68.244.253""]","[""2600:1408:c400:389::1955"",""2600:1408:c400:38a::1955""]","[""m.ice.gov.edgekey.net"",""e6485.dsca.akamaiedge.net""]","[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""8.8.8.8:53""]",null,null,null,,
2026-04-05T11:24:14.124498397Z,null,null,,,,443,https://edit.secretservice.gov,edit.secretservice.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,edit.secretservice.gov,23.204.215.115,/,,,,,,49.815524ms,,null,"[""23.204.215.115""]","[""2600:1408:c400:392::1b63"",""2600:1408:c400:388::1b63""]","[""edit.secretservice.gov.edgekey.net"",""e7011.dsca.akamaiedge.net""]","[""HSTS""]",13,10,403,376,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.4.4:53""]",null,null,null,,
2026-04-05T11:24:14.125522012Z,null,null,cloudflare,waf,,443,https://ffmstrans.ice.gov,ffmstrans.ice.gov,,,https,,cloudflare,,text/plain,GET,ffmstrans.ice.gov,172.65.90.26,/,,,,,,53.491816ms,,null,"[""172.65.90.24"",""172.65.90.27"",""172.65.90.25"",""172.65.90.26""]","[""2606:4700:78::90:0:180"",""2606:4700:78::90:0:182"",""2606:4700:78::90:0:181"",""2606:4700:78::90:0:183""]",null,"[""Cloudflare""]",3,1,403,16,false,false,false,true,false,false,,null,,,,"[""8.8.8.8:53"",""1.0.0.1:53""]",null,null,null,,
2026-04-05T11:24:14.12794756Z,null,null,,,,443,https://edit-testint.secretservice.gov,edit-testint.secretservice.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,edit-testint.secretservice.gov,104.100.40.20,/,,,,,,53.832551ms,,null,"[""104.100.40.20""]","[""2600:1408:24:380::1b63"",""2600:1408:24:384::1b63""]","[""edit-testint.secretservice.gov.edgekey-staging.net"",""e7011.dsca.akamaiedge-staging.net""]","[""HSTS""]",13,10,403,382,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""1.1.1.1:53""]",null,null,null,,
2026-04-05T11:24:14.131445481Z,null,null,cloudflare,waf,,443,https://ffmstest.ice.gov,ffmstest.ice.gov,,,https,,cloudflare,,text/plain,GET,ffmstest.ice.gov,172.65.90.27,/,,,,,,59.948376ms,,null,"[""172.65.90.24"",""172.65.90.25"",""172.65.90.27"",""172.65.90.26""]","[""2606:4700:78::90:0:181"",""2606:4700:78::90:0:182"",""2606:4700:78::90:0:183"",""2606:4700:78::90:0:180""]",null,"[""Cloudflare""]",3,1,403,16,false,false,false,true,false,false,,null,,,,"[""127.0.0.53:53"",""1.1.1.1:53""]",null,null,null,,
2026-04-05T11:24:14.133251253Z,null,null,,,,443,https://ice.gov,ice.gov,https://www.ice.gov/,,https,,AkamaiGHost,,,GET,ice.gov,23.207.152.237,/,,,,,,61.738907ms,,null,"[""23.207.152.237""]","[""2600:1408:ec00:284::447a"",""2600:1408:ec00:28f::447a""]",null,"[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.0.0.1:53""]",null,null,null,,
2026-04-05T11:24:14.13692765Z,null,null,,,,443,https://join.ice.gov,join.ice.gov,https://www.ice.gov/join,,https,,AkamaiGHost,,,GET,join.ice.gov,23.1.61.7,/,,,,,,64.991945ms,,null,"[""23.1.61.7""]","[""2600:1408:ec00:284::447a"",""2600:1408:ec00:28f::447a""]","[""join.ice.gov.edgekey.net"",""e17530.dsca.akamaiedge.net""]","[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null,null,,
