timestamp,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains
2025-09-14T11:55:09.901369546Z,null,,,,443,https://justice.gov,justice.gov,https://www.justice.gov/,,https,,,,,GET,149.101.82.100,/,,,,,,33.690706ms,,null,"[""149.101.82.100""]",null,null,"[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""1.1.1.1:53""]",null,null
2025-09-14T11:55:09.911743662Z,null,,,,443,https://dev.justice.gov,dev.justice.gov,,403 Access Denied,https,,nginx,,text/html,GET,75.101.132.112,/,,,,,,41.307855ms,,null,"[""75.101.132.112""]",null,null,"[""Nginx"",""Varnish""]",76,17,403,449,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""8.8.8.8:53""]",null,null
2025-09-14T11:55:09.913240569Z,null,,,,443,https://GRANTSNET.JUSTICE.GOV,GRANTSNET.JUSTICE.GOV,https://www.justice.gov/grants,,https,,BigIP,,,GET,149.101.127.83,/,,,,,,45.935255ms,,null,"[""149.101.127.83""]","[""2607:f330:5fa1:1021::53""]",null,"[""F5 BigIP"",""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""1.0.0.1:53""]",null,null
2025-09-14T11:55:09.933236105Z,null,,,,443,https://jconv.civ.justice.gov,jconv.civ.justice.gov,/my.policy,,https,,BigIP,,,GET,149.101.228.50,/,,,,,,65.515548ms,,null,"[""149.101.228.50""]",null,"[""jconv1.civ.justice.gov""]","[""F5 BigIP"",""HSTS""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.8.8:53""]",null,null
2025-09-14T11:55:09.933482526Z,null,,,,443,https://jconx1.civ.justice.gov,jconx1.civ.justice.gov,/my.policy,,https,,BigIP,,,GET,149.101.228.50,/,,,,,,65.000065ms,,null,"[""149.101.228.50""]",null,null,"[""F5 BigIP"",""HSTS""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.0.0.1:53""]",null,null
2025-09-14T11:55:09.934059744Z,null,,,,443,https://dojsts1.idms.justice.gov,dojsts1.idms.justice.gov,,Not Found,https,,Microsoft-HTTPAPI/2.0,,text/html,GET,149.101.82.68,/,,,,,,63.146013ms,,null,"[""149.101.82.68""]",null,null,"[""Microsoft HTTPAPI:2.0""]",19,6,404,315,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53""]",null,null
2025-09-14T11:55:09.940422771Z,null,,,,443,https://UAT.GRANTSNET.JUSTICE.GOV,UAT.GRANTSNET.JUSTICE.GOV,,Network Error VA99,https,,,,text/html,GET,149.101.127.203,/,,,,,,64.52135ms,,null,"[""149.101.127.203""]","[""2607:f330:5fa1:1021::cb""]",null,null,114,102,403,2096,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""8.8.4.4:53""]",null,null
2025-09-14T11:55:09.947138824Z,null,,,,443,https://dojsts1-t.idms.justice.gov,dojsts1-t.idms.justice.gov,,Not Found,https,,Microsoft-HTTPAPI/2.0,,text/html,GET,149.101.82.67,/,,,,,,76.819334ms,,null,"[""149.101.82.67""]",null,null,"[""Microsoft HTTPAPI:2.0""]",19,6,404,315,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""127.0.0.53:53""]",null,null
2025-09-14T11:55:09.957922533Z,null,,,,443,https://preprod.justice.gov,preprod.justice.gov,,403 Access Denied,https,,nginx,,text/html,GET,75.101.132.112,/,,,,,,42.477961ms,,null,"[""75.101.132.112""]",null,null,"[""Nginx"",""Varnish""]",76,17,403,449,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53""]",null,null
2025-09-14T11:55:09.965682128Z,null,,,,443,https://grantsnet.justice.gov,grantsnet.justice.gov,https://www.justice.gov/grants,,https,,BigIP,,,GET,149.101.127.83,/,,,,,,97.963517ms,,null,"[""149.101.127.83""]","[""2607:f330:5fa1:1021::53""]",null,"[""F5 BigIP"",""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.8.8:53""]",null,null
2025-09-14T11:55:09.966040336Z,null,,,,443,https://dev.d9.justice.gov,dev.d9.justice.gov,,403 Access Denied,https,,nginx,,text/html,GET,75.101.132.112,/,,,,,,96.567147ms,,null,"[""75.101.132.112""]",null,null,"[""Nginx"",""Varnish""]",76,17,403,449,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""8.8.8.8:53""]",null,null
2025-09-14T11:55:09.96837239Z,null,,,,443,https://case-access.eoir.justice.gov,case-access.eoir.justice.gov,https://doj-login-ext.okta-gov.com/app/template_wsfed/exkdyoa8bCIn30jMk0j6/sso/wsfed/passive?wa=wsignin1.0&wtrealm=https%3a%2f%2fcase-access.eoir.justice.gov&wctx=rm%3d0%26id%3dpassive%26ru%3d%252f&wct=2025-09-14T11%3a55%3a09Z&wreply=https%3a%2f%2fcase-access.eoir.justice.gov%2fdisclaimer,Object moved,https,,Microsoft-IIS/10.0,,text/html,GET,149.101.107.25,/,,,,,,98.123632ms,,null,"[""149.101.107.25""]",null,null,"[""HSTS"",""IIS:10.0"",""Microsoft ASP.NET:4.0.30319"",""Windows Server""]",6,3,302,422,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null
2025-09-14T11:55:09.974622129Z,null,,,,443,https://jconx2.civ.justice.gov,jconx2.civ.justice.gov,/my.policy,,https,,BigIP,,,GET,149.101.228.100,/,,,,,,106.32052ms,,null,"[""149.101.228.100""]",null,null,"[""F5 BigIP"",""HSTS""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53""]",null,null
2025-09-14T11:55:09.983289376Z,null,,,,443,https://jconx.civ.justice.gov,jconx.civ.justice.gov,/my.policy,,https,,BigIP,,,GET,149.101.228.50,/,,,,,,115.518639ms,,null,"[""149.101.228.50""]",null,"[""jconx1.civ.justice.gov""]","[""F5 BigIP"",""HSTS""]",0,0,302,0,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53""]",null,null
2025-09-14T11:55:09.988332914Z,null,,,,443,https://uat-www.grantsnet.justice.gov,uat-www.grantsnet.justice.gov,,Network Error VA99,https,,,,text/html,GET,149.101.127.134,/,,,,,,38.910665ms,,null,"[""149.101.127.134""]","[""2607:f330:5fa1:1021::86""]",null,"[""HSTS""]",114,102,403,2096,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53""]",null,null
2025-09-14T11:55:09.994018214Z,null,,,,443,https://connect.justice.gov,connect.justice.gov,,,https,,,,text/html,GET,149.101.92.7,/,,,,,,123.907781ms,,null,"[""149.101.92.7""]",null,null,"[""HSTS""]",113,9,200,345,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.0.0.1:53""]",null,null
2025-09-14T11:55:09.993756138Z,null,,,,443,https://stg.d9.justice.gov,stg.d9.justice.gov,,403 Access Denied,https,,nginx,,text/html,GET,75.101.132.112,/,,,,,,60.657829ms,,null,"[""75.101.132.112""]",null,null,"[""Nginx"",""Varnish""]",76,17,403,449,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null
2025-09-14T11:55:09.996079599Z,null,,,,443,https://stg.justice.gov,stg.justice.gov,,403 Access Denied,https,,nginx,,text/html,GET,75.101.132.112,/,,,,,,60.157265ms,,null,"[""75.101.132.112""]",null,null,"[""Nginx"",""Varnish""]",76,17,403,449,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""127.0.0.53:53""]",null,null
2025-09-14T11:55:10.00137209Z,null,,,,443,https://dhs-portal.eoir.justice.gov,dhs-portal.eoir.justice.gov,https://doj-login-ext.okta-gov.com/app/template_wsfed/sso/wsfed/passive?wa=wsignin1.0&wtrealm=urn%3aokta%3aapp%3aexklvm1gdRfDZsNnR0j6&wctx=rm%3d1%26id%3dpassive%26ru%3d%252f&wct=2025-09-14T11%3a55%3a09Z&wreply=https%3a%2f%2fdhs-portal.eoir.justice.gov%2fdisclaimer,Object moved,https,,Microsoft-IIS/10.0,,text/html,GET,149.101.107.122,/,,,,,,131.70225ms,,null,"[""149.101.107.122""]",null,null,"[""HSTS"",""IIS:10.0"",""Microsoft ASP.NET:4.0.30319"",""Windows Server""]",6,3,302,397,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53""]",null,null
2025-09-14T11:55:10.005504682Z,null,,,,443,https://portal.eoir.justice.gov,portal.eoir.justice.gov,/Disclaimer,Object moved,https,,Microsoft-IIS/10.0,,text/html,GET,149.101.107.129,/,,,,,,91.38907ms,,null,"[""149.101.107.129""]",null,null,"[""HSTS"",""IIS:10.0"",""Microsoft ASP.NET:4.0.30319"",""Windows Server""]",6,3,302,128,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""1.1.1.1:53""]",null,null
