timestamp,link_request,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,host_ip,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains,cpe,wordpress.Plugins,wordpress.Themes
2026-01-24T12:15:43.479417898Z,null,null,,,,443,https://cdan.nhtsa.gov,cdan.nhtsa.gov,https://cdan.dot.gov/,,https,,,,,GET,cdan.nhtsa.gov,23.56.125.209,/,,,,,,43.090171ms,,null,"[""23.56.125.209""]","[""2600:1406:2e00:989::27ea"",""2600:1406:2e00:98d::27ea""]","[""cdan.nhtsa.gov.edgekey.net"",""e10218.dsca.akamaiedge.net""]","[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""8.8.8.8:53""]",null,null,null,,
2026-01-24T12:15:43.481896214Z,null,null,,,,443,https://artemis-notes-api.nhtsa.gov,artemis-notes-api.nhtsa.gov,,Access Denied,https,,,,text/html,GET,artemis-notes-api.nhtsa.gov,23.56.125.209,/,,,,,,44.169192ms,,null,"[""23.56.125.209""]","[""2600:1406:2e00:98d::27ea"",""2600:1406:2e00:989::27ea""]","[""artemis-notes-api.nhtsa.gov.edgekey.net"",""e10218.dsca.akamaiedge.net""]","[""HSTS""]",13,10,403,389,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.4.4:53""]",null,null,null,,
2026-01-24T12:15:43.484017411Z,null,null,,,,443,https://artemis-search-api-stage.nhtsa.gov,artemis-search-api-stage.nhtsa.gov,,Access Denied,https,,,,text/html,GET,artemis-search-api-stage.nhtsa.gov,23.56.125.209,/,,,,,,47.783057ms,,null,"[""23.56.125.209""]","[""2600:1406:2e00:98d::27ea"",""2600:1406:2e00:989::27ea""]","[""artemis-search-api-stage.nhtsa.gov.edgekey.net"",""e10218.dsca.akamaiedge.net""]","[""HSTS""]",13,10,403,400,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53""]",null,null,null,,
2026-01-24T12:15:43.484082374Z,null,null,,,,443,https://artemis-recalls-ext-api-stage.nhtsa.gov,artemis-recalls-ext-api-stage.nhtsa.gov,,Access Denied,https,,,,text/html,GET,artemis-recalls-ext-api-stage.nhtsa.gov,23.56.125.209,/,,,,,,47.558356ms,,null,"[""23.56.125.209""]","[""2600:1406:2e00:98d::27ea"",""2600:1406:2e00:989::27ea""]","[""artemis-recalls-ext-api-stage.nhtsa.gov.edgekey.net"",""e10218.dsca.akamaiedge.net""]","[""HSTS""]",13,10,403,409,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.8.8:53""]",null,null,null,,
2026-01-24T12:15:43.492020928Z,null,null,,,,443,https://artemis-mcp-api-stage.nhtsa.gov,artemis-mcp-api-stage.nhtsa.gov,,Access Denied,https,,,,text/html,GET,artemis-mcp-api-stage.nhtsa.gov,23.56.125.209,/,,,,,,56.251161ms,,null,"[""23.56.125.209""]","[""2600:1406:2e00:98d::27ea"",""2600:1406:2e00:989::27ea""]","[""artemis-mcp-api-stage.nhtsa.gov.edgekey.net"",""e10218.dsca.akamaiedge.net""]","[""HSTS""]",13,10,403,397,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.8.8:53""]",null,null,null,,
2026-01-24T12:15:43.509783814Z,null,null,,,,443,https://artemis-sdi-api-stage.nhtsa.gov,artemis-sdi-api-stage.nhtsa.gov,,Access Denied,https,,,,text/html,GET,artemis-sdi-api-stage.nhtsa.gov,23.56.125.209,/,,,,,,73.880594ms,,null,"[""23.56.125.209""]","[""2600:1406:2e00:98d::27ea"",""2600:1406:2e00:989::27ea""]","[""artemis-sdi-api-stage.nhtsa.gov.edgekey.net"",""e10218.dsca.akamaiedge.net""]","[""HSTS""]",13,10,403,397,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""8.8.4.4:53""]",null,null,null,,
2026-01-24T12:15:43.527186901Z,null,null,,,,443,https://artemis-sdi-api.nhtsa.gov,artemis-sdi-api.nhtsa.gov,,Access Denied,https,,,,text/html,GET,artemis-sdi-api.nhtsa.gov,23.56.125.209,/,,,,,,90.436344ms,,null,"[""23.56.125.209""]","[""2600:1406:2e00:98d::27ea"",""2600:1406:2e00:989::27ea""]","[""artemis-sdi-api.nhtsa.gov.edgekey.net"",""e10218.dsca.akamaiedge.net""]","[""HSTS""]",13,10,403,387,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""8.8.4.4:53""]",null,null,null,,
2026-01-24T12:15:43.527171195Z,null,null,,,,443,https://artemis-notes-api-stage.nhtsa.gov,artemis-notes-api-stage.nhtsa.gov,,Access Denied,https,,,,text/html,GET,artemis-notes-api-stage.nhtsa.gov,23.56.125.209,/,,,,,,90.804661ms,,null,"[""23.56.125.209""]","[""2600:1406:2e00:989::27ea"",""2600:1406:2e00:98d::27ea""]","[""artemis-notes-api-stage.nhtsa.gov.edgekey.net"",""e10218.dsca.akamaiedge.net""]","[""HSTS""]",13,10,403,399,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""127.0.0.53:53""]",null,null,null,,
2026-01-24T12:15:43.539967915Z,null,null,,,,443,https://artemis-internal-ewr-api-stage.nhtsa.gov,artemis-internal-ewr-api-stage.nhtsa.gov,,Access Denied,https,,,,text/html,GET,artemis-internal-ewr-api-stage.nhtsa.gov,23.56.125.209,/,,,,,,104.443806ms,,null,"[""23.56.125.209""]","[""2600:1406:2e00:989::27ea"",""2600:1406:2e00:98d::27ea""]","[""artemis-internal-ewr-api-stage.nhtsa.gov.edgekey.net"",""e10218.dsca.akamaiedge.net""]","[""HSTS""]",13,10,403,410,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""8.8.4.4:53""]",null,null,null,,
2026-01-24T12:15:43.567733043Z,null,null,,,,443,https://artemis-user-api.nhtsa.gov,artemis-user-api.nhtsa.gov,,Access Denied,https,,,,text/html,GET,artemis-user-api.nhtsa.gov,23.56.125.209,/,,,,,,131.992069ms,,null,"[""23.56.125.209""]","[""2600:1406:3a00:78c::27ea"",""2600:1406:3a00:78e::27ea""]","[""artemis-user-api.nhtsa.gov.edgekey.net"",""e10218.dsca.akamaiedge.net""]","[""HSTS""]",13,10,403,388,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""1.1.1.1:53""]",null,null,null,,
2026-01-24T12:15:43.589455479Z,null,null,,,,443,https://artemis-recalls-ext-api.nhtsa.gov,artemis-recalls-ext-api.nhtsa.gov,,Access Denied,https,,,,text/html,GET,artemis-recalls-ext-api.nhtsa.gov,23.67.33.42,/,,,,,,152.70446ms,,null,"[""23.67.33.35"",""23.67.33.42""]","[""2600:1406:3a00:33::170b:cfe8"",""2600:1406:3a00:33::170b:cfe6""]","[""artemis-recalls-ext-api.nhtsa.gov.edgekey.net"",""e363333.dsca.akamaiedge.net""]","[""HSTS""]",13,10,403,399,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53""]",null,null,null,,
2026-01-24T12:15:43.595310968Z,null,null,cloudfront,cdn,,443,https://dev-internal.nhtsa.gov,dev-internal.nhtsa.gov,,ERROR: The request could not be satisfied,https,,CloudFront,,text/html,GET,dev-internal.nhtsa.gov,65.8.180.81,/,,,,,,109.684453ms,,null,"[""65.8.180.91"",""65.8.180.81"",""65.8.180.64"",""65.8.180.69""]",null,"[""internal.dev.artemis.delegated.nhtsa.dot.gov""]","[""Amazon CloudFront"",""Amazon Web Services"",""HSTS""]",91,20,403,919,false,false,false,true,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null,null,,
2026-01-24T12:15:43.604842092Z,null,null,,,,443,https://artemis-internal-ewr-api.nhtsa.gov,artemis-internal-ewr-api.nhtsa.gov,,Access Denied,https,,,,text/html,GET,artemis-internal-ewr-api.nhtsa.gov,23.56.125.209,/,,,,,,168.908371ms,,null,"[""23.56.125.209""]","[""2600:1406:2e00:98d::27ea"",""2600:1406:2e00:989::27ea""]","[""artemis-internal-ewr-api.nhtsa.gov.edgekey.net"",""e10218.dsca.akamaiedge.net""]","[""HSTS""]",13,10,403,400,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""127.0.0.53:53""]",null,null,null,,
