timestamp,link_request,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,host_ip,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains,cpe,wordpress.Plugins,wordpress.Themes
2026-06-28T11:55:22.965090443Z,null,null,cloudfront,cdn,,443,https://beta-search.certifications.sba.gov,beta-search.certifications.sba.gov,https://search.certifications.sba.gov/,,https,,CloudFront,,,GET,beta-search.certifications.sba.gov,13.32.205.98,/,,,,,,85.913342ms,,null,"[""13.32.205.3"",""13.32.205.98"",""13.32.205.61"",""13.32.205.123""]","[""2600:9000:2015:7a00:6:4ed5:a540:93a1"",""2600:9000:2015:7600:6:4ed5:a540:93a1"",""2600:9000:2015:c600:6:4ed5:a540:93a1"",""2600:9000:2015:da00:6:4ed5:a540:93a1"",""2600:9000:2015:fe00:6:4ed5:a540:93a1"",""2600:9000:2015:2000:6:4ed5:a540:93a1"",""2600:9000:2015:4800:6:4ed5:a540:93a1"",""2600:9000:2015:5000:6:4ed5:a540:93a1""]",null,"[""Amazon CloudFront"",""Amazon Web Services"",""HSTS""]",0,0,302,0,false,false,false,true,false,false,,null,,,,"[""8.8.8.8:53"",""127.0.0.53:53""]",null,null,null,,
2026-06-28T11:55:22.966436Z,null,null,cloudfront,cdn,,443,https://beta.rulesengine.lending.sba.gov,beta.rulesengine.lending.sba.gov,,Rules Engine,https,,nginx/1.28.3,,text/html,GET,beta.rulesengine.lending.sba.gov,3.167.138.119,/,,,,,,77.611667ms,,null,"[""3.167.138.30"",""3.167.138.53"",""3.167.138.119"",""3.167.138.129""]",null,null,"[""Amazon CloudFront"",""Amazon Web Services"",""HSTS"",""Nginx:1.28.3""]",123,22,200,744,false,false,false,true,false,false,,null,,,,"[""1.0.0.1:53""]",null,null,null,,
2026-06-28T11:55:22.976385818Z,null,null,cloudfront,cdn,,443,https://beta.rulesengine.veterans.certify.sba.gov,beta.rulesengine.veterans.certify.sba.gov,,ERROR: The request could not be satisfied,https,,CloudFront,,text/html,GET,beta.rulesengine.veterans.certify.sba.gov,13.32.164.86,/,,,,,,94.833625ms,,null,"[""13.32.164.103"",""13.32.164.58"",""13.32.164.12"",""13.32.164.86""]",null,null,"[""Amazon CloudFront"",""Amazon Web Services""]",91,20,403,919,false,false,false,true,false,false,,null,,,,"[""127.0.0.53:53""]",null,null,null,,
2026-06-28T11:55:22.979462021Z,null,null,cloudfront,cdn,,443,https://alpha.cls.sba.gov,alpha.cls.sba.gov,,,https,,awselb/2.0,,text/plain,GET,alpha.cls.sba.gov,3.162.163.81,/,,,,,,101.716941ms,,null,"[""3.162.163.31"",""3.162.163.23"",""3.162.163.101"",""3.162.163.81""]",null,null,"[""Amazon CloudFront"",""Amazon ELB"",""Amazon Web Services"",""HSTS""]",0,0,404,0,false,false,false,true,false,false,,null,,,,"[""8.8.4.4:53"",""1.0.0.1:53""]",null,null,null,,
2026-06-28T11:55:22.981186649Z,null,null,cloudfront,cdn,,443,https://alpha.rulesengine.lending.sba.gov,alpha.rulesengine.lending.sba.gov,,ERROR: The request could not be satisfied,https,,CloudFront,,text/html,GET,alpha.rulesengine.lending.sba.gov,3.170.152.71,/,,,,,,98.352339ms,,null,"[""3.170.152.103"",""3.170.152.84"",""3.170.152.71"",""3.170.152.33""]",null,null,"[""Amazon CloudFront"",""Amazon Web Services"",""HSTS""]",91,20,403,919,false,false,false,true,false,false,,null,,,,"[""8.8.4.4:53"",""127.0.0.53:53""]",null,null,null,,
2026-06-28T11:55:22.981252139Z,null,null,office365,cloud,,80,http://autodiscover.sba.gov,autodiscover.sba.gov,https://autodiscover.sba.gov/,,http,,Microsoft-HTTPAPI/2.0,,text/plain,GET,autodiscover.sba.gov,52.96.226.168,/,,,,,,1.799816ms,,null,"[""52.96.242.40"",""52.96.226.168"",""52.96.157.104"",""52.96.163.8""]","[""2603:1036:207:45b::8"",""2603:1036:302:40e0::8"",""2603:1036:302:4832::8"",""2603:1036:302:4833::8"",""2603:1036:302:4834::8"",""2603:1036:302:4836::8"",""2603:1036:302:4842::8"",""2603:1036:302:5061::8""]","[""autodiscover.outlook.com"",""autodiscover.outlook.cloud.microsoft"",""acdcatm.autodiscover.mira.tm.svc.cloud.microsoft"",""autod.ms-acdc-autod.office.com"",""atm.autodiscover.mira.tm.svc.cloud.microsoft""]","[""Microsoft HTTPAPI:2.0""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""1.0.0.1:53""]",null,null,null,,
2026-06-28T11:55:22.994243117Z,null,null,cloudfront,cdn,,443,https://beta.cls.sba.gov,beta.cls.sba.gov,,,https,,awselb/2.0,,text/plain,GET,beta.cls.sba.gov,3.170.185.94,/,,,,,,115.988061ms,,null,"[""3.170.185.94"",""3.170.185.120"",""3.170.185.97"",""3.170.185.65""]",null,null,"[""Amazon CloudFront"",""Amazon ELB"",""Amazon Web Services"",""HSTS""]",0,0,404,0,false,false,false,true,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null,null,,
2026-06-28T11:55:22.997754882Z,null,null,cloudfront,cdn,,443,https://beta.mailer.lending.sba.gov,beta.mailer.lending.sba.gov,,listmonk - Mailing list,https,,,,text/html,GET,beta.mailer.lending.sba.gov,3.167.138.53,/,,,,,,102.650634ms,,null,"[""3.167.138.53"",""3.167.138.119"",""3.167.138.129"",""3.167.138.30""]",null,null,"[""Amazon CloudFront"",""Amazon Web Services"",""HSTS""]",70,55,200,1444,false,false,false,true,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.4.4:53""]",null,null,null,,
2026-06-28T11:55:23.002490589Z,null,null,cloudfront,cdn,,443,https://alpha.mailer.lending.sba.gov,alpha.mailer.lending.sba.gov,,listmonk - Mailing list,https,,,,text/html,GET,alpha.mailer.lending.sba.gov,3.170.152.84,/,,,,,,109.437931ms,,null,"[""3.170.152.84"",""3.170.152.71"",""3.170.152.103"",""3.170.152.33""]",null,null,"[""Amazon CloudFront"",""Amazon Web Services"",""HSTS""]",70,55,200,1436,false,false,false,true,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.8.8:53""]",null,null,null,,
2026-06-28T11:55:23.027141334Z,null,null,cloudfront,cdn,,443,https://beta-search.certify.sba.gov,beta-search.certify.sba.gov,https://search.certifications.sba.gov/,,https,,CloudFront,,,GET,beta-search.certify.sba.gov,13.32.205.123,/,,,,,,149.308137ms,,null,"[""13.32.205.98"",""13.32.205.3"",""13.32.205.61"",""13.32.205.123""]","[""2600:9000:2015:3000:6:4ed5:a540:93a1"",""2600:9000:2015:9400:6:4ed5:a540:93a1"",""2600:9000:2015:de00:6:4ed5:a540:93a1"",""2600:9000:2015:7200:6:4ed5:a540:93a1"",""2600:9000:2015:2000:6:4ed5:a540:93a1"",""2600:9000:2015:f400:6:4ed5:a540:93a1"",""2600:9000:2015:5a00:6:4ed5:a540:93a1"",""2600:9000:2015:5000:6:4ed5:a540:93a1""]",null,"[""Amazon CloudFront"",""Amazon Web Services"",""HSTS""]",0,0,302,0,false,false,false,true,false,false,,null,,,,"[""127.0.0.53:53"",""1.0.0.1:53""]",null,null,null,,
