timestamp,link_request,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,host_ip,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains,cpe,wordpress.Plugins,wordpress.Themes
2026-07-28T12:08:06.730661638Z,null,null,,,,443,https://a.links.ssa.gov,a.links.ssa.gov,,,https,,,,,GET,a.links.ssa.gov,23.205.106.72,/,,,,,,85.14378ms,,null,"[""23.205.106.72"",""23.205.106.70""]","[""2600:1408:ec00:10::1730:cb09"",""2600:1408:ec00:10::1730:cb06""]","[""a.usssa.links.govdelivery.com"",""san1.govdelivery.com.edgekey.net"",""e177958.dscb.akamaiedge.net""]","[""HTTP/3""]",0,0,400,0,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""8.8.4.4:53""]",null,null,null,,
2026-07-28T12:08:06.741562669Z,null,null,,,,443,https://apiauthete.ssa.gov,apiauthete.ssa.gov,,socialsecurity.gov Redirect,https,,,,text/html,GET,apiauthete.ssa.gov,137.200.42.59,/,,,,,,91.629621ms,,null,"[""137.200.42.59""]","[""2001:1930:d0a::26""]",null,"[""HSTS""]",16,7,200,345,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.0.0.1:53""]",null,null,null,,
2026-07-28T12:08:06.742876913Z,null,null,,,,443,https://best.ssa.gov,best.ssa.gov,https://www.ssa.gov/,,https,,,,,GET,best.ssa.gov,137.200.39.62,/,,,,,,99.279384ms,,null,"[""137.200.39.62""]","[""2001:1930:d07::37""]","[""vanities.ssa.gov""]","[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""1.0.0.1:53""]",null,null,null,,
2026-07-28T12:08:06.757941131Z,null,null,,,,443,https://beta.ssa.gov,beta.ssa.gov,,Access Denied,https,,,,text/html,GET,beta.ssa.gov,23.53.35.140,/,,,,,,113.14443ms,,null,"[""23.53.35.140"",""23.53.35.132""]","[""2600:1408:c400:11::17cd:6b4d"",""2600:1408:c400:11::17cd:6b5b"",""2600:1408:c400:11::17cd:6b52"",""2600:1408:c400:11::17cd:6b4c""]","[""beta.ssa.gov.edgekey.net"",""e82396.dsca.akamaiedge.net""]","[""HSTS"",""HTTP/3""]",13,10,403,366,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""1.1.1.1:53""]",null,null,null,,
2026-07-28T12:08:06.771305947Z,null,null,,,,443,https://DREVPN.SSA.GOV,DREVPN.SSA.GOV,,,https,,,,text/html,GET,DREVPN.SSA.GOV,137.200.36.55,/,,,,,,124.967144ms,,null,"[""137.200.36.55""]",null,null,"[""HSTS""]",113,9,200,345,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.0.0.1:53""]",null,null,"[{""product"":""adaptive-security-appliance-software"",""vendor"":""cisco"",""cpe"":""cpe:2.3:a:cisco:adaptive-security-appliance-software:*:*:*:*:*:*:*:*""}]",,
2026-07-28T12:08:06.776387792Z,null,null,,,,443,https://apiauth.ssa.gov,apiauth.ssa.gov,,socialsecurity.gov Redirect,https,,,,text/html,GET,apiauth.ssa.gov,137.200.40.9,/,,,,,,127.46675ms,,null,"[""137.200.40.9""]","[""2001:1930:d08::19""]",null,"[""HSTS""]",16,7,200,345,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""1.1.1.1:53""]",null,null,null,,
2026-07-28T12:08:06.784813623Z,null,null,,,,443,https://blog.ssa.gov,blog.ssa.gov,https://www.ssa.gov/blog/en/,,https,,,,,GET,blog.ssa.gov,137.200.4.21,/,,,,,,141.845896ms,,null,"[""137.200.4.21""]","[""2001:1930:e03::16""]","[""vanities.ssa.gov""]","[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53""]",null,null,null,,
2026-07-28T12:08:06.817120062Z,null,null,,,,443,https://ecbsvws.ssa.gov,ecbsvws.ssa.gov,,,https,,,,application/json,GET,ecbsvws.ssa.gov,137.200.41.15,/,,,,,,172.800786ms,,null,"[""137.200.41.15""]","[""2001:1930:e06::13"",""2001:1930:d09::18""]",null,"[""HSTS"",""IBM DataPower""]",13,1,401,153,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""8.8.8.8:53""]",null,null,null,,
2026-07-28T12:08:06.822751109Z,null,null,,,,443,https://design.ssa.gov,design.ssa.gov,https://www.ssa.gov/design/,,https,,,,,GET,design.ssa.gov,137.200.4.21,/,,,,,,179.691997ms,,null,"[""137.200.4.21""]","[""2001:1930:d07::37""]","[""vanities.ssa.gov""]","[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""8.8.8.8:53""]",null,null,null,,
2026-07-28T12:08:06.830664432Z,null,null,,,,443,https://ai.ssa.gov,ai.ssa.gov,https://www.ssa.gov/,,https,,,,,GET,ai.ssa.gov,137.200.4.21,/,,,,,,186.52345ms,,null,"[""137.200.4.21""]","[""2001:1930:d07::37""]","[""vanities.ssa.gov""]","[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.4.4:53""]",null,null,null,,
