timestamp,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains
2025-09-08T12:02:42.590122158Z,null,,,,443,https://authenticate2-test.mohela.studentaid.gov,authenticate2-test.mohela.studentaid.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,23.212.251.19,/,,,,,,66.01922ms,,null,"[""23.212.251.19"",""23.212.251.25""]","[""2600:1408:5400:d::170c:9396"",""2600:1408:5400:d::170c:939f""]","[""authenticate2-test.mohela.studentaid.gov.edgekey.net"",""e237259.dscb.akamaiedge.net""]","[""HSTS"",""HTTP/3""]",13,10,403,402,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.0.0.1:53""]",null,null
2025-09-08T12:02:42.595052186Z,null,,,,443,https://NP-customercare.edfinancial.studentaid.gov,NP-customercare.edfinancial.studentaid.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,23.53.11.172,/,,,,,,73.326849ms,,null,"[""23.53.11.170"",""23.53.11.172""]","[""2600:1408:7400::17de:4fe9"",""2600:1408:7400::17de:4fea""]","[""np.edfinancial.studentaid.gov.edgekey.net"",""e249292.dscb.akamaiedge.net""]","[""HSTS"",""HTTP/3""]",13,10,403,404,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.4.4:53""]",null,null
2025-09-08T12:02:42.595740365Z,null,,,,443,https://authenticate1-test.mohela.studentaid.gov,authenticate1-test.mohela.studentaid.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,23.53.11.177,/,,,,,,73.220626ms,,null,"[""23.53.11.174"",""23.53.11.177""]","[""2600:1408:ec00:2e::1735:bae"",""2600:1408:ec00:2e::1735:bb1""]","[""authenticate1-test.mohela.studentaid.gov.edgekey.net"",""e237259.dscb.akamaiedge.net""]","[""HSTS"",""HTTP/3""]",13,10,403,402,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53""]",null,null
2025-09-08T12:02:42.598961845Z,null,,,,443,https://NP-masstextStatusCallback.edfinancial.studentaid.gov,NP-masstextStatusCallback.edfinancial.studentaid.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,23.212.251.6,/,,,,,,76.836571ms,,null,"[""23.212.251.6"",""23.212.251.25""]","[""2600:1408:ec00:2e::1735:bac"",""2600:1408:ec00:2e::1735:baa""]","[""np.edfinancial.studentaid.gov.edgekey.net"",""e249292.dscb.akamaiedge.net""]","[""HSTS"",""HTTP/3""]",13,10,403,412,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null
2025-09-08T12:02:42.601970118Z,null,,,,443,https://NP-masstextInboundCallback.edfinancial.studentaid.gov,NP-masstextInboundCallback.edfinancial.studentaid.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,23.212.251.6,/,,,,,,80.253847ms,,null,"[""23.212.251.6"",""23.212.251.25""]","[""2600:1408:9000::17d9:74e1"",""2600:1408:9000::17d9:7499""]","[""np.edfinancial.studentaid.gov.edgekey.net"",""e249292.dscb.akamaiedge.net""]","[""HSTS"",""HTTP/3""]",13,10,403,413,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null
2025-09-08T12:02:42.611739922Z,null,,,,443,https://apig-test-api-dcc.studentaid.gov,apig-test-api-dcc.studentaid.gov,,Access Denied,https,,,,text/html,GET,23.48.9.30,/,,,,,,88.537881ms,,null,"[""23.48.9.30""]","[""2600:1408:5400:b93::17d0"",""2600:1408:5400:b8c::17d0""]","[""preprod-dcc.studentaid.gov.edgekey.net"",""e6096.dscb.akamaiedge.net""]","[""HSTS""]",13,10,403,398,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53""]",null,null
2025-09-08T12:02:42.611914442Z,null,,,,443,https://apig-pft-api-dcc.studentaid.gov,apig-pft-api-dcc.studentaid.gov,,Access Denied,https,,,,text/html,GET,23.48.9.30,/,,,,,,88.742497ms,,null,"[""23.48.9.30""]","[""2600:1408:ec00:1087::17d0"",""2600:1408:ec00:1080::17d0""]","[""preprod-dcc.studentaid.gov.edgekey.net"",""e6096.dscb.akamaiedge.net""]","[""HSTS""]",13,10,403,397,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53""]",null,null
2025-09-08T12:02:42.620555731Z,null,,,,443,https://NP-ivrwebservice.edfinancial.studentaid.gov,NP-ivrwebservice.edfinancial.studentaid.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,23.212.251.6,/,,,,,,97.743184ms,,null,"[""23.212.251.25"",""23.212.251.6""]","[""2600:1408:7400::17de:4fea"",""2600:1408:7400::17de:4fe9""]","[""np.edfinancial.studentaid.gov.edgekey.net"",""e249292.dscb.akamaiedge.net""]","[""HSTS"",""HTTP/3""]",13,10,403,405,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""8.8.4.4:53""]",null,null
2025-09-08T12:02:42.638776635Z,null,google,cdn,,443,https://contentmma.guides.nelnet.com,contentmma.guides.nelnet.com,,,https,,UploadServer,,application/xml,GET,34.111.138.51,/,,,,,,116.303303ms,,null,"[""34.111.138.51""]",null,"[""5767638279389184-content.customer.pendo.io"",""cdn-cname.pendo.io"",""51.138.111.34.bc.googleusercontent.com""]","[""Google Cloud"",""Google Cloud CDN"",""HSTS""]",26,1,403,300,false,false,false,true,false,false,,null,,,,"[""8.8.4.4:53"",""1.0.0.1:53""]",null,null
2025-09-08T12:02:42.645123493Z,null,,,,443,https://accountrecovery.studentaid.gov,accountrecovery.studentaid.gov,,Attention Required! | Cloudflare,https,,cloudflare,,text/html,GET,172.83.72.35,/,,,,,,91.501256ms,,null,"[""172.83.72.35"",""172.83.73.221""]",null,"[""accountrecovery.studentaid.gov.cdn.cloudflare.net""]","[""Cloudflare"",""Cloudflare Bot Management""]",620,93,403,4532,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""1.1.1.1:53""]",null,null
