timestamp,link_request,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,host_ip,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains,cpe,wordpress.Plugins,wordpress.Themes
2026-02-21T12:20:07.203775178Z,null,null,,,,443,https://myaccount.uscis.gov,myaccount.uscis.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,myaccount.uscis.gov,23.43.213.174,/,,,,,,88.241465ms,,null,"[""23.43.213.174""]","[""2600:1407:3c00:158a::1955"",""2600:1407:3c00:1586::1955""]","[""myaccount.uscis.gov.edgekey.net"",""e6485.dsca.akamaiedge.net""]","[""HSTS""]",13,10,403,373,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.0.0.1:53""]",null,null,null,,
2026-02-21T12:20:07.214932871Z,null,null,,,,443,https://blog-es.uscis.gov,blog-es.uscis.gov,https://www.uscis.gov/es,,https,,AkamaiGHost,,,GET,blog-es.uscis.gov,23.210.153.6,/,,,,,,103.882086ms,,null,"[""23.210.153.6""]","[""2600:1407:3c00:1580::447a"",""2600:1407:3c00:1581::447a""]","[""blog-es.uscis.gov.edgekey.net"",""e17530.dsca.akamaiedge.net""]","[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""1.0.0.1:53""]",null,null,null,,
2026-02-21T12:20:07.254509607Z,null,null,,,,443,https://nonprod-everify.uscis.gov,nonprod-everify.uscis.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,nonprod-everify.uscis.gov,96.16.240.65,/,,,,,,141.446034ms,,null,"[""96.16.240.65""]","[""2600:1404:1200:c8a::2325"",""2600:1404:1200:c85::2325""]","[""nonprod-everify.uscis.gov.edgekey.net"",""e8997.dsca.akamaiedge.net""]",null,13,10,403,383,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""1.1.1.1:53""]",null,null,null,,
2026-02-21T12:20:07.254516857Z,null,null,,,,443,https://login-dev.uscis.gov,login-dev.uscis.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,login-dev.uscis.gov,23.62.83.10,/,,,,,,140.242611ms,,null,"[""23.62.83.10""]","[""2600:1404:1200:c80::1506"",""2600:1404:1200:c8d::1506""]","[""login-dev.uscis.gov.edgekey.net"",""e5382.dsca.akamaiedge.net""]","[""HSTS""]",13,10,403,377,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""1.1.1.1:53""]",null,null,null,,
2026-02-21T12:20:07.284686037Z,null,null,,,,443,https://login.uscis.gov,login.uscis.gov,https://login.uscis.gov:443/dashboard,301 Moved Permanently,https,,awselb/2.0,,text/html,GET,login.uscis.gov,23.62.83.10,/,,,,,,170.405914ms,,null,"[""23.62.83.10""]","[""2600:1404:1200:c80::1506"",""2600:1404:1200:c8d::1506""]","[""login.uscis.gov.edgekey.net"",""e5382.dsca.akamaiedge.net""]","[""Amazon ELB"",""Amazon Web Services"",""HSTS""]",5,6,301,134,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53""]",null,null,null,,
2026-02-21T12:20:07.292165025Z,null,null,,,,443,https://edit.beta-staging.uscis.gov,edit.beta-staging.uscis.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,edit.beta-staging.uscis.gov,23.8.23.194,/,,,,,,171.281749ms,,null,"[""23.8.23.194""]","[""2600:1407:e800:1380::1b63"",""2600:1407:e800:1385::1b63""]","[""edit.beta-staging.uscis.gov.edgekey-staging.net"",""e7011.dsca.akamaiedge-staging.net""]","[""HSTS""]",13,10,403,385,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.8.8:53""]",null,null,null,,
2026-02-21T12:20:07.29316954Z,null,null,,,,443,https://edit.beta-testint.uscis.gov,edit.beta-testint.uscis.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,edit.beta-testint.uscis.gov,23.8.23.194,/,,,,,,181.641468ms,,null,"[""23.8.23.194""]","[""2600:1407:e800:1385::1b63"",""2600:1407:e800:1380::1b63""]","[""edit.beta-testint.uscis.gov.edgekey-staging.net"",""e7011.dsca.akamaiedge-staging.net""]","[""HSTS""]",13,10,403,385,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53""]",null,null,null,,
2026-02-21T12:20:07.297582498Z,null,null,,,,443,https://everify.uscis.gov,everify.uscis.gov,,USCIS E-Verify,https,,,,text/html,GET,everify.uscis.gov,184.86.160.162,/,,,,,,143.543236ms,,null,"[""184.86.160.162""]","[""2600:1407:3c00:1589::1cc7"",""2600:1407:3c00:158c::1cc7""]","[""everify.uscis.gov.edgekey.net"",""e7367.dsca.akamaiedge.net""]","[""Express"",""HSTS"",""Node.js""]",1307,106,200,4137,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""1.0.0.1:53""]",null,null,"[{""product"":""element"",""vendor"":""matrix"",""cpe"":""cpe:2.3:a:matrix:element:*:*:*:*:*:*:*:*""}]",,
2026-02-21T12:20:07.301629594Z,null,null,,,,443,https://edit.staging.uscis.gov,edit.staging.uscis.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,edit.staging.uscis.gov,23.8.31.107,/,,,,,,189.27484ms,,null,"[""23.8.31.107""]","[""2600:1407:e800:1384::2325"",""2600:1407:e800:1381::2325""]","[""edit.staging.uscis.gov.edgekey-staging.net"",""e8997.dsca.akamaiedge-staging.net""]","[""HSTS""]",13,10,403,376,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.0.0.1:53""]",null,null,null,,
2026-02-21T12:20:07.302394483Z,null,null,,,,443,https://edit-beta.uscis.gov,edit-beta.uscis.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,edit-beta.uscis.gov,23.43.215.194,/,,,,,,187.553863ms,,null,"[""23.43.215.194""]","[""2600:1404:1200:c8a::1b63"",""2600:1404:1200:c87::1b63""]","[""edit-beta.uscis.gov.edgekey.net"",""e7011.dsca.akamaiedge.net""]","[""HSTS""]",13,10,403,377,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.1.1.1:53""]",null,null,null,,
