timestamp,link_request,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,host_ip,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains,cpe,wordpress.Plugins,wordpress.Themes
2026-02-19T12:34:40.199352099Z,null,null,,,,443,https://JuryInstruction.ca7.uscourts.gov,JuryInstruction.ca7.uscourts.gov,,403 Forbidden,https,,,,text/html,GET,JuryInstruction.ca7.uscourts.gov,199.107.17.30,/,,,,,,306.202089ms,,null,"[""199.107.17.30""]",null,null,null,14,7,403,199,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.0.0.1:53""]",null,null,null,,
2026-02-19T12:34:40.203384208Z,null,null,,,,443,https://akb.qa.uscourts.gov,akb.qa.uscourts.gov,https://www-akb.qa.uscourts.gov/,301 Moved Permanently,https,,,,text/html,GET,akb.qa.uscourts.gov,199.107.17.218,/,,,,,,309.783253ms,,null,"[""199.107.17.218""]",null,"[""cst-web.qa.uscourts.gov"",""qaweb.cst-uscourts.akadns.net""]","[""HSTS""]",14,7,301,240,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""1.1.1.1:53""]",null,null,null,,
2026-02-19T12:34:40.197952675Z,null,null,,,,443,https://AttorneyRegistration.cacb.uscourts.gov,AttorneyRegistration.cacb.uscourts.gov,,Registration,https,,,,text/html,GET,AttorneyRegistration.cacb.uscourts.gov,63.241.41.204,/,,,,,,95.279972ms,,null,"[""63.241.41.204""]",null,null,"[""Bootstrap"",""HSTS"",""Microsoft ASP.NET"",""jQuery:3.5.1""]",3835,496,200,27957,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""127.0.0.53:53""]",null,null,null,,
2026-02-19T12:34:40.2118244Z,null,null,,,,443,https://akd.qa.uscourts.gov,akd.qa.uscourts.gov,https://www-akd.qa.uscourts.gov/,301 Moved Permanently,https,,,,text/html,GET,akd.qa.uscourts.gov,199.107.17.218,/,,,,,,319.633568ms,,null,"[""199.107.17.218""]",null,"[""cst-web.qa.uscourts.gov"",""qaweb.cst-uscourts.akadns.net""]","[""HSTS""]",14,7,301,240,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""8.8.8.8:53""]",null,null,null,,
2026-02-19T12:34:40.231927989Z,null,null,,,,443,https://akp.qa.uscourts.gov,akp.qa.uscourts.gov,,Request Rejected,https,,,,text/html,GET,akp.qa.uscourts.gov,199.107.17.218,/,,,,,,337.589612ms,,null,"[""199.107.17.218""]",null,"[""cst-web.qa.uscourts.gov"",""qaweb.cst-uscourts.akadns.net""]",null,17,1,200,246,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""127.0.0.53:53""]",null,null,null,,
2026-02-19T12:34:40.341342859Z,null,null,,,,443,https://analytics.cand.uscourts.gov,analytics.cand.uscourts.gov,,,https,,,,text/plain,GET,analytics.cand.uscourts.gov,63.241.41.219,/,,,,,,100.432995ms,,null,"[""63.241.41.219""]",null,null,null,10,1,400,52,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""1.1.1.1:53""]",null,null,null,,
2026-02-19T12:34:40.526211752Z,null,null,,,,443,https://almb.qa.uscourts.gov,almb.qa.uscourts.gov,https://www-almb.qa.uscourts.gov/,301 Moved Permanently,https,,,,text/html,GET,almb.qa.uscourts.gov,199.107.17.218,/,,,,,,372.773158ms,,null,"[""199.107.17.218""]",null,"[""cst-web.qa.uscourts.gov"",""qaweb.cst-uscourts.akadns.net""]","[""HSTS""]",14,7,301,241,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""1.0.0.1:53""]",null,null,null,,
2026-02-19T12:34:40.546195767Z,null,null,,,,443,https://almba.qa.uscourts.gov,almba.qa.uscourts.gov,https://www-almba.qa.uscourts.gov/,301 Moved Permanently,https,,,,text/html,GET,almba.qa.uscourts.gov,199.107.17.218,/,,,,,,347.254683ms,,null,"[""199.107.17.218""]",null,"[""cst-web.qa.uscourts.gov"",""qaweb.cst-uscourts.akadns.net""]","[""HSTS""]",14,7,301,242,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""8.8.8.8:53""]",null,null,null,,
2026-02-19T12:34:40.565487569Z,null,null,,,,443,https://alnba.qa.uscourts.gov,alnba.qa.uscourts.gov,,Request Rejected,https,,,,text/html,GET,alnba.qa.uscourts.gov,199.107.17.218,/,,,,,,350.191608ms,,null,"[""199.107.17.218""]",null,"[""cst-web.qa.uscourts.gov"",""qaweb.cst-uscourts.akadns.net""]",null,17,1,200,247,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""8.8.8.8:53""]",null,null,null,,
2026-02-19T12:34:40.570144462Z,null,null,,,,443,https://alnb.qa.uscourts.gov,alnb.qa.uscourts.gov,,Request Rejected,https,,,,text/html,GET,alnb.qa.uscourts.gov,199.107.17.218,/,,,,,,356.947368ms,,null,"[""199.107.17.218""]",null,"[""cst-web.qa.uscourts.gov"",""qaweb.cst-uscourts.akadns.net""]",null,17,1,200,246,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53""]",null,null,null,,
2026-02-19T12:34:40.575958959Z,null,null,,,,443,https://alnd.qa.uscourts.gov,alnd.qa.uscourts.gov,,Request Rejected,https,,,,text/html,GET,alnd.qa.uscourts.gov,199.107.17.218,/,,,,,,354.32582ms,,null,"[""199.107.17.218""]",null,"[""cst-web.qa.uscourts.gov"",""qaweb.cst-uscourts.akadns.net""]",null,17,1,200,246,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null,null,,
2026-02-19T12:34:40.594873404Z,null,null,azure,cloud,,443,https://aousvc-e-en01.vc.uscourts.gov,aousvc-e-en01.vc.uscourts.gov,/webapp2/,302 Found,https,,Pexip Infinity,,text/html,GET,aousvc-e-en01.vc.uscourts.gov,20.65.120.58,/,,,,,,321.408783ms,,null,"[""20.65.120.58""]",null,null,"[""HSTS""]",3,7,302,138,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53""]",null,null,null,,
2026-02-19T12:34:40.626681688Z,null,null,,,,443,https://alnp.qa.uscourts.gov,alnp.qa.uscourts.gov,,Request Rejected,https,,,,text/html,GET,alnp.qa.uscourts.gov,199.107.17.218,/,,,,,,401.936459ms,,null,"[""199.107.17.218""]",null,"[""cst-web.qa.uscourts.gov"",""qaweb.cst-uscourts.akadns.net""]",null,17,1,200,246,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""127.0.0.53:53""]",null,null,null,,
2026-02-19T12:34:40.632739969Z,null,null,,,,443,https://alsb.qa.uscourts.gov,alsb.qa.uscourts.gov,https://www-alsb.qa.uscourts.gov/,301 Moved Permanently,https,,,,text/html,GET,alsb.qa.uscourts.gov,199.107.17.218,/,,,,,,396.493171ms,,null,"[""199.107.17.218""]",null,"[""cst-web.qa.uscourts.gov"",""qaweb.cst-uscourts.akadns.net""]","[""HSTS""]",14,7,301,241,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""127.0.0.53:53""]",null,null,null,,
2026-02-19T12:34:40.657418103Z,null,null,,,,443,https://alsd.qa.uscourts.gov,alsd.qa.uscourts.gov,,Request Rejected,https,,,,text/html,GET,alsd.qa.uscourts.gov,199.107.17.218,/,,,,,,416.627963ms,,null,"[""199.107.17.218""]",null,"[""cst-web.qa.uscourts.gov"",""qaweb.cst-uscourts.akadns.net""]",null,17,1,200,246,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""1.0.0.1:53""]",null,null,null,,
