timestamp,link_request,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,host_ip,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains,cpe,wordpress.Plugins,wordpress.Themes
2026-06-16T13:03:21.986675828Z,null,null,cloudflare,waf,,443,https://catalog.usmint.gov,catalog.usmint.gov,https://www.usmint.gov/,301 Moved Permanently,https,,cloudflare,,text/html,GET,catalog.usmint.gov,104.17.6.185,/,,,,,,23.255546ms,,null,"[""104.17.5.185"",""104.17.6.185""]",null,"[""catalog.usmint.gov.cdn.cloudflare.net""]","[""Cloudflare"",""Cloudflare Bot Management"",""HSTS""]",5,7,301,167,false,false,false,true,false,false,,null,,,,"[""1.1.1.1:53"",""1.0.0.1:53""]",null,null,null,,
2026-06-16T13:03:21.996367179Z,null,null,cloudflare,waf,,443,https://www.catalog.usmint.gov,www.catalog.usmint.gov,https://www.usmint.gov/,301 Moved Permanently,https,,cloudflare,,text/html,GET,www.catalog.usmint.gov,104.17.5.185,/,,,,,,33.710606ms,,null,"[""104.17.5.185"",""104.17.6.185""]",null,"[""www.catalog.usmint.gov.cdn.cloudflare.net""]","[""Cloudflare"",""Cloudflare Bot Management"",""HSTS""]",5,7,301,167,false,false,false,true,false,false,,null,,,,"[""1.0.0.1:53"",""127.0.0.53:53""]",null,null,null,,
2026-06-16T13:03:22.01053677Z,null,null,,,,443,https://stg.kids.usmint.gov,stg.kids.usmint.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,stg.kids.usmint.gov,23.62.46.171,/,,,,,,44.605461ms,,null,"[""23.62.46.169"",""23.62.46.171""]","[""2600:1406:2e00:49::172e:d8ca"",""2600:1406:2e00:49::172e:d8cc""]","[""stg.kids.usmint.gov.edgekey.net"",""e314569.dscb.akamaiedge.net""]","[""HSTS"",""HTTP/3""]",13,10,403,375,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53""]",null,null,null,,
2026-06-16T13:03:22.016208768Z,null,null,,,,443,https://edit.kids.usmint.gov,edit.kids.usmint.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,edit.kids.usmint.gov,23.62.46.171,/,,,,,,56.533451ms,,null,"[""23.62.46.171"",""23.62.46.169""]","[""2600:1406:2e00:49::172e:d8ca"",""2600:1406:2e00:49::172e:d8cc""]","[""www.kids.usmint.gov.edgekey.net"",""e314569.dscb.akamaiedge.net""]","[""HSTS"",""HTTP/3""]",13,10,403,376,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""8.8.4.4:53""]",null,null,null,,
2026-06-16T13:03:22.026370278Z,null,null,,,,443,https://uat.kids.usmint.gov,uat.kids.usmint.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,uat.kids.usmint.gov,23.46.216.202,/,,,,,,65.240328ms,,null,"[""23.46.216.202"",""23.46.216.204""]","[""2600:1406:2e00:49::172e:d8cc"",""2600:1406:2e00:49::172e:d8ca""]","[""stg.kids.usmint.gov.edgekey.net"",""e314569.dscb.akamaiedge.net""]","[""HSTS"",""HTTP/3""]",13,10,403,377,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53"",""8.8.8.8:53""]",null,null,null,,
2026-06-16T13:03:22.060008589Z,null,null,cloudflare,waf,,443,https://development.usmint.gov,development.usmint.gov,,Just a moment...,https,,cloudflare,,text/html,GET,development.usmint.gov,104.17.5.185,/,,,,,,38.546738ms,,null,"[""104.17.6.185"",""104.17.5.185""]",null,"[""development.usmint.gov.cdn.cloudflare.net""]","[""Cloudflare"",""Cloudflare Bot Management"",""HSTS""]",139,1,403,5669,false,false,false,true,false,false,,null,,,,"[""127.0.0.53:53"",""1.0.0.1:53""]",null,null,null,,
2026-06-16T13:03:22.060124675Z,null,null,cloudflare,waf,,443,https://dev-publish.usmint.gov,dev-publish.usmint.gov,,Just a moment...,https,,cloudflare,,text/html,GET,dev-publish.usmint.gov,172.64.154.120,/,,,,,,56.193657ms,,null,"[""104.18.33.136"",""172.64.154.120""]",null,"[""dev-publish.usmint.gov.cdn.cloudflare.net""]","[""Cloudflare"",""Cloudflare Bot Management"",""HSTS""]",139,1,403,5669,false,false,false,true,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.4.4:53""]",null,null,null,,
2026-06-16T13:03:22.06948186Z,null,null,,,,443,https://dev.kids.usmint.gov,dev.kids.usmint.gov,,Access Denied,https,,AkamaiGHost,,text/html,GET,dev.kids.usmint.gov,23.46.216.202,/,,,,,,108.950089ms,,null,"[""23.46.216.202"",""23.46.216.204""]","[""2600:1406:2e00:49::172e:d8cc"",""2600:1406:2e00:49::172e:d8ca""]","[""stg.kids.usmint.gov.edgekey.net"",""e314569.dscb.akamaiedge.net""]","[""HSTS"",""HTTP/3""]",13,10,403,377,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.1.1.1:53""]",null,null,null,,
2026-06-16T13:03:22.070994725Z,null,null,cloudflare,waf,,443,https://dev-author.usmint.gov,dev-author.usmint.gov,,Just a moment...,https,,cloudflare,,text/html,GET,dev-author.usmint.gov,172.64.154.120,/,,,,,,41.217935ms,,null,"[""104.18.33.136"",""172.64.154.120""]",null,"[""dev-author.usmint.gov.cdn.cloudflare.net""]","[""Cloudflare"",""Cloudflare Bot Management"",""HSTS""]",139,1,403,5604,false,false,false,true,false,false,,null,,,,"[""1.1.1.1:53"",""1.0.0.1:53""]",null,null,null,,
2026-06-16T13:03:22.072131505Z,null,null,cloudflare,waf,,443,https://author.usmint.gov,author.usmint.gov,,Just a moment...,https,,cloudflare,,text/html,GET,author.usmint.gov,104.18.33.136,/,,,,,,51.313901ms,,null,"[""172.64.154.120"",""104.18.33.136""]",null,"[""author.usmint.gov.cdn.cloudflare.net""]","[""Cloudflare"",""Cloudflare Bot Management"",""HSTS""]",139,1,403,5664,false,false,false,true,false,false,,null,,,,"[""8.8.4.4:53"",""8.8.8.8:53""]",null,null,null,,
