timestamp,link_request,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,host_ip,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains,cpe,wordpress.Plugins,wordpress.Themes
2026-09-21T01:53:04.018338519Z,null,null,,,,443,https://a-eais-sft1.uspto.gov,a-eais-sft1.uspto.gov,,,https,,SecureTransport 5.5-20241128 (build: 3215) - Linux,,text/html,GET,a-eais-sft1.uspto.gov,151.207.240.21,/,,,,,,134.489405ms,,null,"[""151.207.240.21""]",null,null,"[""HSTS""]",397,58,200,6083,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""127.0.0.53:53""]",null,null,null,,
2026-09-21T01:53:04.051871263Z,null,null,cloudfront,cdn,,443,https://account-pvt.etc.uspto.gov,account-pvt.etc.uspto.gov,,ERROR: The request could not be satisfied,https,,CloudFront,,text/html,GET,account-pvt.etc.uspto.gov,3.167.163.114,/,,,,,,169.149002ms,,null,"[""3.167.163.114"",""3.167.163.56"",""3.167.163.31"",""3.167.163.90""]",null,"[""d3162cy2lgfipt.cloudfront.net""]","[""Amazon CloudFront"",""Amazon Web Services"",""HSTS""]",91,20,403,919,false,false,false,true,false,false,,null,,,,"[""8.8.4.4:53""]",null,null,null,,
2026-09-21T01:53:04.088828377Z,null,null,,,,443,https://a-eais-sft2.uspto.gov,a-eais-sft2.uspto.gov,,,https,,SecureTransport 5.5-20241128 (build: 3215) - Linux,,text/html,GET,a-eais-sft2.uspto.gov,151.207.240.23,/,,,,,,192.903945ms,,null,"[""151.207.240.23""]",null,null,"[""HSTS""]",397,58,200,6083,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53""]",null,null,null,,
2026-09-21T01:53:05.112916426Z,null,null,cloudfront,cdn,,443,https://PROD-Web-ALB-tg.uspto.gov,PROD-Web-ALB-tg.uspto.gov,,United States Patent and Trademark Office,https,,Apache,,text/html,GET,PROD-Web-ALB-tg.uspto.gov,3.167.138.38,/,,,,,,202.059767ms,,null,"[""3.167.138.111"",""3.167.138.38"",""3.167.138.121"",""3.167.138.42""]","[""2600:9000:27d4:d200:a:d49f:be80:93a1"",""2600:9000:27d4:d800:a:d49f:be80:93a1"",""2600:9000:27d4:600:a:d49f:be80:93a1"",""2600:9000:27d4:3400:a:d49f:be80:93a1"",""2600:9000:27d4:b200:a:d49f:be80:93a1"",""2600:9000:27d4:7000:a:d49f:be80:93a1"",""2600:9000:27d4:0:a:d49f:be80:93a1"",""2600:9000:27d4:6600:a:d49f:be80:93a1""]","[""d2r9i8htk9mf3u.cloudfront.net""]","[""Amazon CloudFront"",""Amazon Web Services"",""Apache HTTP Server"",""Font Awesome"",""HSTS"",""jQuery""]",8292,2,200,193935,false,false,false,true,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.8.8:53""]",null,null,"[{""product"":""webp_server_go"",""vendor"":""webp"",""cpe"":""cpe:2.3:a:webp:webp_server_go:*:*:*:*:*:*:*:*""}]",,
2026-09-21T01:53:05.213660859Z,null,null,aws,cloud,,443,https://accommodationpoint.uspto.gov,accommodationpoint.uspto.gov,https://accommodationpoint.uspto.gov/s/,,https,,,,,GET,accommodationpoint.uspto.gov,18.253.117.20,/,,,,,,1.345164185s,,null,"[""18.252.199.17"",""18.253.117.20"",""18.253.252.111""]",null,"[""accommodationpoint.uspto.gov.00d820000008cm6eaa.live.siteforce.com"",""usa9002.inst.sfdc-pu91w7.siteforce.com""]","[""HSTS""]",0,0,301,0,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.8.8:53"",""8.8.4.4:53""]",null,null,null,,
2026-09-21T01:53:05.251142294Z,null,null,cloudfront,cdn,,443,https://account.uspto.gov,account.uspto.gov,,MyUSPTO,https,,nginx/1.30.4,,text/html,GET,account.uspto.gov,143.204.204.64,/,,,,,,1.337972115s,,null,"[""143.204.204.114"",""143.204.204.64"",""143.204.204.109"",""143.204.204.33""]",null,"[""dvmc4a9fd4nxg.cloudfront.net""]","[""Amazon CloudFront"",""Amazon Web Services"",""HSTS"",""Nginx:1.30.4""]",673,66,200,16291,false,false,false,true,false,false,,null,,,,"[""8.8.8.8:53"",""1.0.0.1:53""]",null,null,null,,
2026-09-21T01:53:05.948044281Z,null,null,aws,cloud,,443,https://api-dev.etc.uspto.gov,api-dev.etc.uspto.gov,,,https,,,,application/json,GET,api-dev.etc.uspto.gov,34.194.18.135,/,,,,,,175.614876ms,,null,"[""35.175.45.38"",""3.232.195.24"",""34.194.18.135"",""52.20.108.27""]",null,null,null,3,1,403,42,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53""]",null,null,null,,
2026-09-21T01:53:06.073462748Z,null,null,cloudfront,cdn,,443,https://account-dev.etc.uspto.gov,account-dev.etc.uspto.gov,,ERROR: The request could not be satisfied,https,,CloudFront,,text/html,GET,account-dev.etc.uspto.gov,18.154.110.128,/,,,,,,2.200848666s,,null,"[""18.154.110.128"",""18.154.110.109"",""18.154.110.19"",""18.154.110.23""]",null,"[""d3lk95ru6ps88q.cloudfront.net""]","[""Amazon CloudFront"",""Amazon Web Services"",""HSTS""]",91,20,403,919,false,false,false,true,false,false,,null,,,,"[""1.0.0.1:53"",""127.0.0.53:53""]",null,null,null,,
2026-09-21T01:53:06.238016702Z,null,null,cloudflare,waf,,443,https://api-exap.uspto.gov,api-exap.uspto.gov,,,https,,cloudflare,,application/json,GET,api-exap.uspto.gov,104.18.12.69,/,,,,,,376.717821ms,,null,"[""104.18.12.69"",""104.18.13.69""]","[""2606:4700::6812:d45"",""2606:4700::6812:c45""]","[""origin.gov.patlytics.ai""]","[""Cloudflare"",""Envoy"",""Google Cloud"",""Google Cloud CDN"",""HSTS""]",4,1,401,44,false,false,false,true,false,false,,null,,,,"[""1.0.0.1:53"",""127.0.0.53:53""]",null,null,null,,
2026-09-21T01:53:07.098607463Z,null,null,cloudfront,cdn,,80,http://account-prod-aws.uspto.gov,account-prod-aws.uspto.gov,,ERROR: The request could not be satisfied,http,,CloudFront,,text/html,GET,account-prod-aws.uspto.gov,143.204.204.33,/,,,,,,18.054367ms,,null,"[""143.204.204.114"",""143.204.204.109"",""143.204.204.64"",""143.204.204.33""]",null,"[""dvmc4a9fd4nxg.cloudfront.net""]","[""Amazon CloudFront"",""Amazon Web Services""]",91,20,403,915,false,false,false,true,false,false,,null,,,,"[""8.8.4.4:53"",""1.0.0.1:53"",""8.8.8.8:53""]",null,null,null,,
2026-09-21T01:53:07.196567014Z,null,null,cloudfront,cdn,,80,http://accountadmin-prod-aws.uspto.gov,accountadmin-prod-aws.uspto.gov,,ERROR: The request could not be satisfied,http,,CloudFront,,text/html,GET,accountadmin-prod-aws.uspto.gov,143.204.204.109,/,,,,,,20.063111ms,,null,"[""143.204.204.33"",""143.204.204.114"",""143.204.204.109"",""143.204.204.64""]",null,"[""dvmc4a9fd4nxg.cloudfront.net""]","[""Amazon CloudFront"",""Amazon Web Services""]",91,20,403,915,false,false,false,true,false,false,,null,,,,"[""8.8.4.4:53"",""127.0.0.53:53""]",null,null,null,,
2026-09-21T01:53:07.304747697Z,null,null,aws,cloud,,443,https://api-test.etc.uspto.gov,api-test.etc.uspto.gov,,,https,,,,application/json,GET,api-test.etc.uspto.gov,44.218.40.240,/,,,,,,1.285202073s,,null,"[""54.159.250.69"",""44.218.40.240"",""3.89.230.6""]",null,"[""d-3xb94bhizj.execute-api.us-east-1.amazonaws.com""]",null,1,1,403,23,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""1.0.0.1:53"",""127.0.0.53:53""]",null,null,null,,
