timestamp,link_request,extract_regex,cdn_name,cdn_type,sni,port,url,input,location,title,scheme,error,webserver,body_preview,content_type,method,host,host_ip,path,favicon,favicon_md5,favicon_path,favicon_url,final_url,time,jarm_hash,chain_status_codes,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,resolvers,body_fqdn,body_domains,cpe,wordpress.Plugins,wordpress.Themes
2026-05-18T12:26:05.492740964Z,null,null,,,,443,https://www.staging.vaccines.gov,www.staging.vaccines.gov,https://www.staging.vaccines.gov/en/,Document Moved,https,,,,text/html,GET,www.staging.vaccines.gov,23.209.84.136,/,,,,,,81.329658ms,,null,"[""23.209.84.136"",""23.209.84.153""]","[""2600:1405:8400:8::17d1:5499"",""2600:1405:8400:8::17d1:5488""]","[""vaccines.hhs.gov.edgekey.net"",""e365113.dsca.akamaiedge.net""]","[""Azure"",""Azure Front Door"",""HSTS"",""Microsoft ASP.NET""]",9,2,301,159,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""8.8.4.4:53""]",null,null,null,,
2026-05-18T12:26:05.549612609Z,null,null,,,,443,https://wecandothis.hhs.gov,wecandothis.hhs.gov,,Access Denied,https,,,,text/html,GET,wecandothis.hhs.gov,23.209.84.142,/,,,,,,137.991161ms,,null,"[""23.209.84.142"",""23.209.84.135""]","[""2600:1406:5400::170f:f169"",""2600:1406:5400::170f:f15b""]","[""wecandothis.hhs.gov.edgekey.net"",""e102848.dsca.akamaiedge.net""]","[""HSTS"",""HTTP/3""]",13,10,403,373,false,false,false,false,false,false,,null,,,,"[""8.8.8.8:53"",""1.1.1.1:53""]",null,null,null,,
2026-05-18T12:26:05.650519207Z,null,null,aws,cloud,,443,https://hhs.gov,hhs.gov,https://www.hhs.gov/,301 Moved Permanently,https,,Apache,,text/html,GET,hhs.gov,52.7.111.176,/,,,,,,238.800846ms,,null,"[""52.7.111.176""]",null,null,"[""Apache HTTP Server"",""HSTS""]",14,7,301,228,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""1.0.0.1:53""]",null,null,null,,
2026-05-18T12:26:05.659100966Z,null,null,,,,443,https://www.vaccines.gov,www.vaccines.gov,https://www.vaccines.gov/en/,Document Moved,https,,,,text/html,GET,www.vaccines.gov,23.32.152.5,/,,,,,,246.84957ms,,null,"[""23.32.152.5"",""23.32.152.12""]","[""2600:1406:5400::170f:f169"",""2600:1406:5400::170f:f149""]","[""vaccines.hhs.gov.edgekey.net"",""e365113.dsca.akamaiedge.net""]","[""Azure"",""Azure Front Door"",""HSTS"",""Microsoft ASP.NET""]",9,2,301,151,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""1.0.0.1:53""]",null,null,null,,
2026-05-18T12:26:05.669902698Z,null,null,,,,443,https://vaccines.gov,vaccines.gov,https://www.vaccines.gov/,Document Moved,https,,,,text/html,GET,vaccines.gov,198.246.102.49,/,,,,,,259.234924ms,,null,"[""198.246.102.49""]",null,null,"[""HSTS""]",9,2,301,148,false,false,false,false,false,false,,null,,,,"[""1.1.1.1:53"",""8.8.4.4:53""]",null,null,null,,
2026-05-18T12:26:05.783135663Z,null,null,,,,443,https://Wwwns.vaccines.gov,Wwwns.vaccines.gov,,Access Denied,https,,,,text/html,GET,Wwwns.vaccines.gov,23.51.195.126,/,,,,,,369.990727ms,,null,"[""23.51.195.126""]","[""2600:1405:8400:297::2461"",""2600:1405:8400:292::2461""]","[""wwwns-vaccines.akam.cdc.gov""]","[""HSTS""]",13,10,403,372,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.4.4:53""]",null,null,null,,
2026-05-18T12:26:05.913589633Z,null,null,,,,443,https://www.cdc.gov,www.cdc.gov,,Centers for Disease Control and Prevention | CDC,https,,,,text/html,GET,www.cdc.gov,23.52.209.116,/,,,,,,36.918584ms,,null,"[""23.52.209.116""]","[""2600:1405:8400:297::2461"",""2600:1405:8400:292::2461""]",null,"[""Azure"",""Azure Front Door"",""Bootstrap:5"",""HSTS"",""Microsoft ASP.NET"",""WOW"",""jQuery""]",2176,1150,200,60362,false,false,false,false,false,false,,null,,,,"[""8.8.4.4:53"",""127.0.0.53:53""]",null,null,"[{""product"":""element"",""vendor"":""matrix"",""cpe"":""cpe:2.3:a:matrix:element:*:*:*:*:*:*:*:*""}]",,
2026-05-18T12:26:06.189246711Z,null,null,,,,443,https://akastage-www.vaccines.gov,akastage-www.vaccines.gov,,Vaccines.gov,https,,,,text/html,GET,akastage-www.vaccines.gov,23.50.52.247,/,,,,,,246.210042ms,,null,"[""23.50.52.247"",""23.50.52.248""]","[""2600:14a0:e0::1732:372a"",""2600:14a0:e0::1732:3730""]","[""akastage-www.vaccines.gov.edgekey-staging.net"",""e102848.dsca.akamaiedge-staging.net""]","[""Akamai"",""Drupal:11"",""Google Tag Manager"",""HSTS"",""HTTP/3"",""PHP"",""jQuery""]",9055,2173,200,84003,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""8.8.8.8:53""]",null,null,null,,
2026-05-18T12:26:06.2174637Z,null,null,,,,443,https://origin.vaccines.gov,origin.vaccines.gov,https://origin.vaccines.gov/en/,Document Moved,https,,,,text/html,GET,origin.vaccines.gov,198.246.102.49,/,,,,,,805.609438ms,,null,"[""198.246.102.49""]",null,"[""origin.glb.cdc.gov""]","[""HSTS""]",9,2,301,154,false,false,false,false,false,false,,null,,,,"[""127.0.0.53:53""]",null,null,null,,
2026-05-18T12:26:06.277613001Z,null,null,azure,cloud,,443,https://www-new.cdc.gov,www-new.cdc.gov,,Page not found,https,,,,text/html,GET,www-new.cdc.gov,150.171.109.146,/,,,,,,197.316015ms,,null,"[""150.171.109.146""]","[""2603:1061:14:92::1""]","[""ocio-origin-3.cdc.gov"",""ocio-prd-fd-bwcbaqgdfze5faaa.a01.azurefd.net"",""mr-a01.tm-azurefd.net""]","[""Azure"",""Azure Front Door""]",2535,315,404,266478,false,false,false,false,false,false,,null,,,,"[""1.0.0.1:53"",""127.0.0.53:53""]",null,null,"[{""product"":""n8n"",""vendor"":""n8n"",""cpe"":""cpe:2.3:a:n8n:n8n:*:*:*:*:*:*:*:*""}]",,
