hospital,asn_name,asn
UPMC,UPMC-AS122,AS122
Greater Baltimore Medical Center Inc,GBMC-TOW,AS572
White Plains Hospital,WHITE-PLAINS-HOSPITAL,AS836
University of Nebraska Medical Center,UNMC-AS,AS1252
Christus Health,CHNETWORK,AS1415
Meridian Health System,HACKENSACK-MERIDIAN-HEALTH,AS1436
Southern Maine Medical Center,MEHEALTH-SOUTH,AS1974
BJC HEALTH SYSTEM,BJCHE-1,AS2705
Saint Joseph's Hospital & Medical Center,SJHMC_CHW,AS2755
"Kaiser Foundation Health Plan, Inc.",KAISER-NCAL,AS3379
Prisma Health,PRISMA-HEALTH,AS3565
Hospital for Special Surgery,HSS-1,AS3688
Essentia Health East,ESSENTIAHEALTH-3789,AS3789
Luthern General Health System,LGHS,AS3802
University of Calif. S.F. - Hospital Info Sys,UCSF-HISD,AS3898
Egleston Children's Hospital,ECHNET,AS4169
Robert Wood Johnson University Hospital,RWJNET,AS4253
Grady Memorial Hospital,EGINTERLINK,AS4503
Tarrant County Hospital District,TCHD,AS4884
Montgomery County Hospital District,ASN1,AS4900
"ADVENTIST HEALTH SYSTEM/SUNBELT, INC.",FHIS,AS6111
OLEAN GENERAL HOSPITAL,OLEAN-GENERAL-HOSPITAL,AS6645
The Children's Hospital of Philadelphia,CHOP,AS7328
"Allina Health System, Inc.",ALLINA-HEALTH-SYSTEM-INC,AS7800
Mayo Foundation for Medical Education and Research,MAYO,AS7973
University of Alabama at Birmingham Medical Center,UABMC,AS8064
Sapient Health Network,SHN-AS,AS10258
"Monument Health Rapid City Hospital, Inc.",RAPID-CITY-REGIONAL,AS10551
Connecticut Hospital Assoc.,CHIME,AS10583
Texas Children's Hospital,TCH-AS,AS11015
North Valley Hospital,NVH-ASN,AS11021
Hartford Hospital,HHCC-ASN1,AS11047
"Intermountain Health Care, Inc.",IHC-NET,AS11052
Dartmouth-Hitchcock Medical Center,DART-HITCH,AS11197
Prisma Health,BMH-ASN,AS11304
Thibodaux Regional Medical Center,TRMC-MAIN-CAMPUS,AS11322
NorthWestern Medical Center,NORTHWESTERN-MEDICAL-CENTER,AS11350
Carolinas Healthcare System,CAROLINAS-HEALTHCARE-SYSTEM,AS11354
HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY,HEALTH-AND-HOSPITAL-CORPORATION-OF-MARION-COUNTY,AS11386
"Temple University Health System, Inc.",TEMPLE-UNIVERSITY-HEALTH-SYSTEM,AS11424
Frederick Memorial Healthcare System,FREDERICK-MEMORIAL-HOSPITAL,AS11441
"H. Lee Moffitt Cancer Center & Research Institute, Inc.",AS-HLEEM,AS11523
University of Kansas Medical Center,KUMC,AS11659
City of Hope Medical Center,CITY-OF-HOPE,AS11687
Children's Hospital Los Angeles,CHLA,AS11756
The University Of Texas M.D. Anderson Cancer Center,UTMDACC,AS11773
Columbus Regional Hospital,COLUMBUSREGIONALHOSPIAL,AS11874
Methodist Hospital of Southern California,MHSC-BGP-ASN,AS12020
"Gundersen Lutheran Medical Center, Inc.",GUNDERSEN-LUTHERAN,AS12047
St. Joseph Health System,STJHS,AS12122
Peninsula Regional Medical Center,PRMC-ASN,AS12245
Saint Bernard Hospital,STBH,AS12263
Lower Umpqua Hospital District,LUHDREEDSPORT-001,AS13312
Porter Hospital,PORTER-HOSPITAL,AS13547
Marcus Daly Memorial Hospital Corporation,MDMH,AS13590
Heritage Valley Health System,HVHS-AS,AS13615
Bradford Regional Medical Center,BRADFORD-REGIONAL-MC,AS13766
SHORE MEMORIAL HOSPITAL,SMH,AS13785
St. John's Riverside Hospital,SJRH,AS13844
The Children's Mercy Hospital,CMH,AS13930
Washington Hospital Healthcare Sysem,WHHS,AS13932
University of Texas Southwestern Medical Center,SWMED,AS13998
Valley Health System,SVH-TVH-AS1,AS14070
"Hugh Chatham Memorial Hospital, Inc.",HCMH-3-AS,AS14095
Prisma Health,OMH-INET-BLCK,AS14194
"The Union Hospital of Cecil County, Inc.",UHCC,AS14533
Mother Frances Hospital Regional Health Care Center,TMFHC,AS14572
"Columbia/HCA Healthcare, Inc.",COLUMBIA-HCA,AS14626
Cameron Memorial Community Hospital Inc,CAMERON,AS14790
Memorial Sloan-Kettering Cancer Center,MSKCC,AS14822
BANNER HEALTH,BANNER-HEALTH-ARIZONA,AS14851
"Covenant Medical Center, Inc.",CHS-MI,AS14893
